company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Adventure Turbo,Engine Type,1.2 l Turbocharged
TATA,PUNCH,Punch Adventure Turbo,Displacement,1199 cc
TATA,PUNCH,Punch Adventure Turbo,Max Power,118bhp@5500rpm
TATA,PUNCH,Punch Adventure Turbo,Max Torque,170Nm@1750-4000rpm
TATA,PUNCH,Punch Adventure Turbo,No. of Cylinders,3
TATA,PUNCH,Punch Adventure Turbo,Valves Per Cylinder,4
TATA,PUNCH,Punch Adventure Turbo,Turbo Charger,YES
TATA,PUNCH,Punch Adventure Turbo,Transmission Type,Manual
TATA,PUNCH,Punch Adventure Turbo,Gearbox,6-Speed
TATA,PUNCH,Punch Adventure Turbo,Drive Type,FWD
TATA,PUNCH,Punch Adventure Turbo,Fuel Type,Petrol
TATA,PUNCH,Punch Adventure Turbo,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Adventure Turbo,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Adventure Turbo,Top Speed,150 kmph
TATA,PUNCH,Punch Adventure Turbo,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Adventure Turbo,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Adventure Turbo,Steering Type,Electric
TATA,PUNCH,Punch Adventure Turbo,Steering Column,Tilt
TATA,PUNCH,Punch Adventure Turbo,Front Brake Type,Disc
TATA,PUNCH,Punch Adventure Turbo,Rear Brake Type,Drum
TATA,PUNCH,Punch Adventure Turbo,Length,3876 mm
TATA,PUNCH,Punch Adventure Turbo,Width,1742 mm
TATA,PUNCH,Punch Adventure Turbo,Height,1615 mm
TATA,PUNCH,Punch Adventure Turbo,Boot Space,366 Litres
TATA,PUNCH,Punch Adventure Turbo,Seating Capacity,5
TATA,PUNCH,Punch Adventure Turbo,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Adventure Turbo,Wheel Base,2445 mm
TATA,PUNCH,Punch Adventure Turbo,No. of Doors,5
TATA,PUNCH,Punch Adventure Turbo,Power Steering,YES
TATA,PUNCH,Punch Adventure Turbo,Air Conditioner,YES
TATA,PUNCH,Punch Adventure Turbo,Heater,YES
TATA,PUNCH,Punch Adventure Turbo,Adjustable Steering,Height only
TATA,PUNCH,Punch Adventure Turbo,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Adventure Turbo,Automatic Climate Control,YES
TATA,PUNCH,Punch Adventure Turbo,Air Quality Control,YES
TATA,PUNCH,Punch Adventure Turbo,Accessory Power Outlet,YES
TATA,PUNCH,Punch Adventure Turbo,Vanity Mirror,YES
TATA,PUNCH,Punch Adventure Turbo,Rear Seat Headrest,Integrated
TATA,PUNCH,Punch Adventure Turbo,Adjustable Headrest,YES
TATA,PUNCH,Punch Adventure Turbo,Rear Seat Centre Arm Rest,NO
TATA,PUNCH,Punch Adventure Turbo,Rear AC Vents,YES
TATA,PUNCH,Punch Adventure Turbo,Cruise Control,YES
TATA,PUNCH,Punch Adventure Turbo,Parking Sensors,Rear
TATA,PUNCH,Punch Adventure Turbo,KeyLess Entry,YES
TATA,PUNCH,Punch Adventure Turbo,Engine Start/Stop Button,YES
TATA,PUNCH,Punch Adventure Turbo,Cooled Glovebox,NO
TATA,PUNCH,Punch Adventure Turbo,Paddle Shifters,NO
TATA,PUNCH,Punch Adventure Turbo,USB Charger,Front & Rear
TATA,PUNCH,Punch Adventure Turbo,Central Console Armrest,YES
TATA,PUNCH,Punch Adventure Turbo,Drive Modes,2
TATA,PUNCH,Punch Adventure Turbo,Idle Start-Stop System,YES
TATA,PUNCH,Punch Adventure Turbo,Follow Me Home Headlamps,YES
TATA,PUNCH,Punch Adventure Turbo,Voice assisted sunroof,NO
TATA,PUNCH,Punch Adventure Turbo,Power Windows,Front & Rear
TATA,PUNCH,Punch Adventure Turbo,Tachometer,YES
TATA,PUNCH,Punch Adventure Turbo,Leather Wrapped Steering Wheel,NO
TATA,PUNCH,Punch Adventure Turbo,Leather wrap gear-shift selector,NO
TATA,PUNCH,Punch Adventure Turbo,Glove Box,YES
TATA,PUNCH,Punch Adventure Turbo,Digital Cluster,YES
TATA,PUNCH,Punch Adventure Turbo,Digital Cluster Size,4
TATA,PUNCH,Punch Adventure Turbo,Rain Sensing Wiper,YES
