company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Pure CNG,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Pure CNG,Displacement,1199 cc
TATA,PUNCH,Punch Pure CNG,Max Power,72bhp@6000rpm
TATA,PUNCH,Punch Pure CNG,Max Torque,103Nm@3500rpm
TATA,PUNCH,Punch Pure CNG,No. of Cylinders,3
TATA,PUNCH,Punch Pure CNG,Valves Per Cylinder,4
TATA,PUNCH,Punch Pure CNG,Turbo Charger,NO
TATA,PUNCH,Punch Pure CNG,Transmission Type,Manual
TATA,PUNCH,Punch Pure CNG,Gearbox,5-Speed
TATA,PUNCH,Punch Pure CNG,Drive Type,FWD
TATA,PUNCH,Punch Pure CNG,Fuel Type,CNG
TATA,PUNCH,Punch Pure CNG,CNG Fuel Tank Capacity,60 Litres
TATA,PUNCH,Punch Pure CNG,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Pure CNG,Top Speed,150 kmph
TATA,PUNCH,Punch Pure CNG,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Pure CNG,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Pure CNG,Steering Type,Electric
TATA,PUNCH,Punch Pure CNG,Steering Column,Tilt
TATA,PUNCH,Punch Pure CNG,Front Brake Type,Disc
TATA,PUNCH,Punch Pure CNG,Rear Brake Type,Drum
TATA,PUNCH,Punch Pure CNG,Length,3876 mm
TATA,PUNCH,Punch Pure CNG,Width,1742 mm
TATA,PUNCH,Punch Pure CNG,Height,1615 mm
TATA,PUNCH,Punch Pure CNG,Boot Space,210 Litres
TATA,PUNCH,Punch Pure CNG,Seating Capacity,5
TATA,PUNCH,Punch Pure CNG,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Pure CNG,Wheel Base,2445 mm
TATA,PUNCH,Punch Pure CNG,No. of Doors,5
TATA,PUNCH,Punch Pure CNG,Power Steering,YES
TATA,PUNCH,Punch Pure CNG,Air Conditioner,YES
TATA,PUNCH,Punch Pure CNG,Heater,YES
TATA,PUNCH,Punch Pure CNG,Adjustable Steering,Height only
TATA,PUNCH,Punch Pure CNG,Height Adjustable Driver Seat,NO
TATA,PUNCH,Punch Pure CNG,Automatic Climate Control,NO
TATA,PUNCH,Punch Pure CNG,Air Quality Control,NO
TATA,PUNCH,Punch Pure CNG,Accessory Power Outlet,YES
TATA,PUNCH,Punch Pure CNG,Vanity Mirror,NO
TATA,PUNCH,Punch Pure CNG,Rear Seat Headrest,Integrated
TATA,PUNCH,Punch Pure CNG,Adjustable Headrest,YES
TATA,PUNCH,Punch Pure CNG,Rear Seat Centre Arm Rest,NO
TATA,PUNCH,Punch Pure CNG,Rear AC Vents,YES
TATA,PUNCH,Punch Pure CNG,Cruise Control,NO
TATA,PUNCH,Punch Pure CNG,Parking Sensors,NO
TATA,PUNCH,Punch Pure CNG,Real-Time Vehicle Tracking,NO
TATA,PUNCH,Punch Pure CNG,KeyLess Entry,YES
TATA,PUNCH,Punch Pure CNG,Engine Start/Stop Button,NO
TATA,PUNCH,Punch Pure CNG,Cooled Glovebox,NO
TATA,PUNCH,Punch Pure CNG,Paddle Shifters,NO
TATA,PUNCH,Punch Pure CNG,USB Charger,Front
TATA,PUNCH,Punch Pure CNG,Central Console Armrest,YES
TATA,PUNCH,Punch Pure CNG,Drive Modes,2
TATA,PUNCH,Punch Pure CNG,Idle Start-Stop System,YES
TATA,PUNCH,Punch Pure CNG,Follow Me Home Headlamps,YES
TATA,PUNCH,Punch Pure CNG,Voice assisted sunroof,NO
TATA,PUNCH,Punch Pure CNG,Power Windows,Front & Rear
TATA,PUNCH,Punch Pure CNG,Tachometer,YES
TATA,PUNCH,Punch Pure CNG,Leather Wrapped Steering Wheel,NO
TATA,PUNCH,Punch Pure CNG,Leather wrap gear-shift selector,NO
TATA,PUNCH,Punch Pure CNG,Glove Box,YES
TATA,PUNCH,Punch Pure CNG,Digital Cluster,YES
TATA,PUNCH,Punch Pure CNG,Digital Cluster Size,4
TATA,PUNCH,Punch Pure CNG,Rain Sensing Wiper,NO
