company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Pure Plus AMT,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Pure Plus AMT,Displacement,1199 cc
TATA,PUNCH,Punch Pure Plus AMT,Max Power,87bhp@6000rpm
TATA,PUNCH,Punch Pure Plus AMT,Max Torque,115Nm@3250rpm
TATA,PUNCH,Punch Pure Plus AMT,No. of Cylinders,3
TATA,PUNCH,Punch Pure Plus AMT,Valves Per Cylinder,4
TATA,PUNCH,Punch Pure Plus AMT,Turbo Charger,NO
TATA,PUNCH,Punch Pure Plus AMT,Transmission Type,Automatic
TATA,PUNCH,Punch Pure Plus AMT,Gearbox,5-Speed
TATA,PUNCH,Punch Pure Plus AMT,Drive Type,FWD
TATA,PUNCH,Punch Pure Plus AMT,Fuel Type,Petrol
TATA,PUNCH,Punch Pure Plus AMT,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Pure Plus AMT,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Pure Plus AMT,Top Speed,150 kmph
TATA,PUNCH,Punch Pure Plus AMT,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Pure Plus AMT,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Pure Plus AMT,Steering Type,Electric
TATA,PUNCH,Punch Pure Plus AMT,Steering Column,Tilt
TATA,PUNCH,Punch Pure Plus AMT,Front Brake Type,Disc
TATA,PUNCH,Punch Pure Plus AMT,Rear Brake Type,Drum
TATA,PUNCH,Punch Pure Plus AMT,Length,3876 mm
TATA,PUNCH,Punch Pure Plus AMT,Width,1742 mm
TATA,PUNCH,Punch Pure Plus AMT,Height,1615 mm
TATA,PUNCH,Punch Pure Plus AMT,Boot Space,366 Litres
TATA,PUNCH,Punch Pure Plus AMT,Seating Capacity,5
TATA,PUNCH,Punch Pure Plus AMT,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Pure Plus AMT,Wheel Base,2445 mm
TATA,PUNCH,Punch Pure Plus AMT,No. of Doors,5
TATA,PUNCH,Punch Pure Plus AMT,Power Steering,YES
TATA,PUNCH,Punch Pure Plus AMT,Air Conditioner,YES
TATA,PUNCH,Punch Pure Plus AMT,Heater,YES
TATA,PUNCH,Punch Pure Plus AMT,Adjustable Steering,Height only
TATA,PUNCH,Punch Pure Plus AMT,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Pure Plus AMT,Automatic Climate Control,NO
TATA,PUNCH,Punch Pure Plus AMT,Air Quality Control,NO
TATA,PUNCH,Punch Pure Plus AMT,Accessory Power Outlet,YES
TATA,PUNCH,Punch Pure Plus AMT,Vanity Mirror,YES
