company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Pure Plus CNG,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Pure Plus CNG,Displacement,1199 cc
TATA,PUNCH,Punch Pure Plus CNG,Max Power,72bhp@6000rpm
TATA,PUNCH,Punch Pure Plus CNG,Max Torque,103Nm@3500rpm
TATA,PUNCH,Punch Pure Plus CNG,No. of Cylinders,3
TATA,PUNCH,Punch Pure Plus CNG,Valves Per Cylinder,4
TATA,PUNCH,Punch Pure Plus CNG,Turbo Charger,NO
TATA,PUNCH,Punch Pure Plus CNG,Transmission Type,Manual
TATA,PUNCH,Punch Pure Plus CNG,Gearbox,5-Speed
TATA,PUNCH,Punch Pure Plus CNG,Drive Type,FWD
TATA,PUNCH,Punch Pure Plus CNG,Fuel Type,CNG
TATA,PUNCH,Punch Pure Plus CNG,CNG Fuel Tank Capacity,60 Litres
TATA,PUNCH,Punch Pure Plus CNG,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Pure Plus CNG,Top Speed,150 kmph
TATA,PUNCH,Punch Pure Plus CNG,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Pure Plus CNG,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Pure Plus CNG,Steering Type,Electric
TATA,PUNCH,Punch Pure Plus CNG,Steering Column,Tilt
TATA,PUNCH,Punch Pure Plus CNG,Front Brake Type,Disc
TATA,PUNCH,Punch Pure Plus CNG,Rear Brake Type,Drum
TATA,PUNCH,Punch Pure Plus CNG,Length,3876 mm
TATA,PUNCH,Punch Pure Plus CNG,Width,1742 mm
TATA,PUNCH,Punch Pure Plus CNG,Height,1615 mm
TATA,PUNCH,Punch Pure Plus CNG,Boot Space,210 Litres
TATA,PUNCH,Punch Pure Plus CNG,Seating Capacity,5
TATA,PUNCH,Punch Pure Plus CNG,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Pure Plus CNG,Wheel Base,2445 mm
TATA,PUNCH,Punch Pure Plus CNG,No. of Doors,5
TATA,PUNCH,Punch Pure Plus CNG,Power Steering,YES
TATA,PUNCH,Punch Pure Plus CNG,Air Conditioner,YES
TATA,PUNCH,Punch Pure Plus CNG,Heater,YES
TATA,PUNCH,Punch Pure Plus CNG,Adjustable Steering,Height only
