company,model,variant,feature_name,feature_details
TATA,PUNCH,Punch Pure Plus,Engine Type,1.2 l Revotron
TATA,PUNCH,Punch Pure Plus,Displacement,1199 cc
TATA,PUNCH,Punch Pure Plus,Max Power,87bhp@6000rpm
TATA,PUNCH,Punch Pure Plus,Max Torque,115Nm@3250rpm
TATA,PUNCH,Punch Pure Plus,No. of Cylinders,3
TATA,PUNCH,Punch Pure Plus,Valves Per Cylinder,4
TATA,PUNCH,Punch Pure Plus,Turbo Charger,NO
TATA,PUNCH,Punch Pure Plus,Transmission Type,Manual
TATA,PUNCH,Punch Pure Plus,Gearbox,5-Speed
TATA,PUNCH,Punch Pure Plus,Drive Type,FWD
TATA,PUNCH,Punch Pure Plus,Fuel Type,Petrol
TATA,PUNCH,Punch Pure Plus,Petrol Fuel Tank Capacity,37 Litres
TATA,PUNCH,Punch Pure Plus,Emission Norm Compliance,BS VI 2.0
TATA,PUNCH,Punch Pure Plus,Top Speed,150 kmph
TATA,PUNCH,Punch Pure Plus,Front Suspension,MacPherson Strut suspension
TATA,PUNCH,Punch Pure Plus,Rear Suspension,Rear twist beam
TATA,PUNCH,Punch Pure Plus,Steering Type,Electric
TATA,PUNCH,Punch Pure Plus,Steering Column,Tilt
TATA,PUNCH,Punch Pure Plus,Front Brake Type,Disc
TATA,PUNCH,Punch Pure Plus,Rear Brake Type,Drum
TATA,PUNCH,Punch Pure Plus,Length,3876 mm
TATA,PUNCH,Punch Pure Plus,Width,1742 mm
TATA,PUNCH,Punch Pure Plus,Height,1615 mm
TATA,PUNCH,Punch Pure Plus,Boot Space,366 Litres
TATA,PUNCH,Punch Pure Plus,Seating Capacity,5
TATA,PUNCH,Punch Pure Plus,Ground Clearance Unladen,193 mm
TATA,PUNCH,Punch Pure Plus,Wheel Base,2445 mm
TATA,PUNCH,Punch Pure Plus,No. of Doors,5
TATA,PUNCH,Punch Pure Plus,Power Steering,YES
TATA,PUNCH,Punch Pure Plus,Air Conditioner,YES
TATA,PUNCH,Punch Pure Plus,Heater,YES
TATA,PUNCH,Punch Pure Plus,Adjustable Steering,Height only
TATA,PUNCH,Punch Pure Plus,Height Adjustable Driver Seat,YES
TATA,PUNCH,Punch Pure Plus,Automatic Climate Control,NO
