company,model,variant,feature_name,feature_details
TOYOTA,HYRYDER,Hyryder V Dual Tone,Engine Type,K15B
TOYOTA,HYRYDER,Hyryder V Dual Tone,Displacement,1462 cc
TOYOTA,HYRYDER,Hyryder V Dual Tone,Max Power,101.64bhp@6000rpm
TOYOTA,HYRYDER,Hyryder V Dual Tone,Max Torque,136.8Nm@4400rpm
TOYOTA,HYRYDER,Hyryder V Dual Tone,No. of Cylinders,4
TOYOTA,HYRYDER,Hyryder V Dual Tone,Valves Per Cylinder,4
TOYOTA,HYRYDER,Hyryder V Dual Tone,Transmission Type,Manual
TOYOTA,HYRYDER,Hyryder V Dual Tone,Gearbox,5-Speed
TOYOTA,HYRYDER,Hyryder V Dual Tone,Drive Type,FWD
TOYOTA,HYRYDER,Hyryder V Dual Tone,Fuel Type,Petrol
TOYOTA,HYRYDER,Hyryder V Dual Tone,Petrol Mileage ARAI,21.12 kmpl
TOYOTA,HYRYDER,Hyryder V Dual Tone,Petrol Fuel Tank Capacity,45 Litres
TOYOTA,HYRYDER,Hyryder V Dual Tone,Emission Norm Compliance,BS VI 2.0
TOYOTA,HYRYDER,Hyryder V Dual Tone,Top Speed,180 kmph
TOYOTA,HYRYDER,Hyryder V Dual Tone,Front Suspension,MacPherson Strut suspension
TOYOTA,HYRYDER,Hyryder V Dual Tone,Rear Suspension,Rear twist beam
TOYOTA,HYRYDER,Hyryder V Dual Tone,Steering Type,Electric
TOYOTA,HYRYDER,Hyryder V Dual Tone,Steering Column,Tilt & Telescopic
TOYOTA,HYRYDER,Hyryder V Dual Tone,Turning Radius,5.4 m
TOYOTA,HYRYDER,Hyryder V Dual Tone,Front Brake Type,Ventilated Disc
TOYOTA,HYRYDER,Hyryder V Dual Tone,Rear Brake Type,Solid Disc
TOYOTA,HYRYDER,Hyryder V Dual Tone,Alloy Wheel Size Front,17 Inch
TOYOTA,HYRYDER,Hyryder V Dual Tone,Alloy Wheel Size Rear,17 Inch
TOYOTA,HYRYDER,Hyryder V Dual Tone,Length,4365 mm
TOYOTA,HYRYDER,Hyryder V Dual Tone,Width,1795 mm
