company,model,variant,feature_name,feature_details
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Engine Type,M15D-FXE
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Displacement,1490 cc
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Max Power,91.18bhp@5500rpm
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Max Torque,122Nm@4400-4800rpm
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,No. of Cylinders,3
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Valves Per Cylinder,4
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Transmission Type,Automatic
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Gearbox,5-Speed
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Drive Type,FWD
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Fuel Type,Petrol
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Petrol Mileage ARAI,27.97 kmpl
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Petrol Fuel Tank Capacity,45 Litres
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Emission Norm Compliance,BS VI 2.0
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Top Speed,180 kmph
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Front Suspension,MacPherson Strut suspension
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Rear Suspension,Rear twist beam
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Steering Type,Electric
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Steering Column,Tilt & Telescopic
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Turning Radius,5.4 m
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Front Brake Type,Ventilated Disc
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Rear Brake Type,Solid Disc
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Alloy Wheel Size Front,17 Inch
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Alloy Wheel Size Rear,17 Inch
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Length,4365 mm
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Width,1795 mm
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Height,1645 mm
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Boot Space,273 Litres
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Seating Capacity,5
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Wheel Base,2600 mm
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Kerb Weight,1265-1295 kg
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Gross Weight,1755 kg
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,No. of Doors,5
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Reported Boot Space,373 Litres
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Power Steering,YES
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Air Conditioner,YES
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Heater,YES
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Height Adjustable Driver Seat,YES
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Ventilated Seats,YES
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Automatic Climate Control,YES
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Air Quality Control,YES
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Accessory Power Outlet,YES
TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone,Trunk Light,YES
