company,model,variant,feature_name,feature_details
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Engine Type,K15B
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Displacement,1462 cc
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Max Power,101.64bhp@6000rpm
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Max Torque,136.8Nm@4400rpm
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,No. of Cylinders,4
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Valves Per Cylinder,4
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Transmission Type,Manual
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Gearbox,5-Speed
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Drive Type,FWD
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Fuel Type,Petrol
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Petrol Mileage ARAI,21.12 kmpl
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Petrol Fuel Tank Capacity,45 Litres
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Emission Norm Compliance,BS VI 2.0
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Top Speed,180 kmph
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Front Suspension,MacPherson Strut suspension
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Rear Suspension,Rear twist beam
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Steering Type,Electric
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Steering Column,Tilt & Telescopic
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Turning Radius,5.4 m
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Front Brake Type,Ventilated Disc
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Rear Brake Type,Solid Disc
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Alloy Wheel Size Front,17 Inch
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Alloy Wheel Size Rear,17 Inch
TOYOTA,HYRYDER,Urban Cruiser Hyryder V,Length,4365 mm
