date,company,model,monthly_sales,total_sales
Aug-21,Citroen,C5 Aircross,50.0,50.0
Aug-21,Fiat,COMPASS,1.2K,1.2K
Aug-21,Ford,Figo,7.0,7.0
Aug-21,Ford,FREESTYLE,83.0,83.0
Aug-21,Ford,Aspire,94.0,94.0
Aug-21,Ford,Ecosport,396.0,396.0
Aug-21,Ford,Endeavour,928.0,928.0
Aug-21,Honda,Amaze,6.6K,6.6K
Aug-21,Honda,Jazz,630.0,630.0
Aug-21,Honda,City,3.3K,3.3K
Aug-21,Honda,WRV,672.0,672.0
Aug-21,Hyundai,Santro,1.7K,1.7K
Aug-21,Hyundai,Grand i10,8.0K,8.0K
Aug-21,Hyundai,i20 Elite,7.3K,7.3K
Aug-21,Hyundai,Xcent/Aura,3.1K,3.1K
Aug-21,Hyundai,Venue,8.4K,8.4K
Aug-21,Hyundai,Creta,12.6K,12.6K
Aug-21,Hyundai,Verna,2.1K,2.1K
Aug-21,Hyundai,ALCAZAR,3.5K,3.5K
Aug-21,Hyundai,Elantra,20.0,20.0
Aug-21,Hyundai,Tucson,117.0,117.0
Aug-21,Hyundai,KONA,1.0,1.0
Aug-21,Kia,SELTOS,8.6K,8.6K
Aug-21,Kia,SONET,7.8K,7.8K
Aug-21,Kia,CARNIVAL,379.0,379.0
Aug-21,Mahindra,KUV 100,2.0,2.0
Aug-21,Mahindra,Bolero,3.2K,3.2K
Aug-21,Mahindra,Thar,3.5K,3.5K
Aug-21,Mahindra,XUV 300,5.9K,5.9K
Aug-21,Mahindra,Marazzo,181.0,181.0
Aug-21,Mahindra,Alturas G4,42.0,42.0
Aug-21,Mahindra,Scorpio,2.6K,2.6K
Aug-21,Mahindra,XUV 500,383.0,383.0
Aug-21,Maruti,Alto,13.2K,13.2K
Aug-21,Maruti,Eeco,10.7K,10.7K
Aug-21,Maruti,S Presso,7.2K,7.2K
Aug-21,Maruti,Wagon R,9.6K,9.6K
Aug-21,Maruti,IGNIS,2.1K,2.1K
Aug-21,Maruti,Ertiga,6.3K,6.3K
Aug-21,Maruti,XL6,2.7K,2.7K
Aug-21,Maruti,CELERIO,53.0,53.0
Aug-21,Maruti,Vitara Brezza,12.9K,12.9K
Aug-21,Maruti,Swift,12.5K,12.5K
Aug-21,Maruti,Baleno,15.6K,15.6K
Aug-21,Maruti,DZIRE,5.7K,5.7K
Aug-21,Maruti,S-Cross,2.5K,2.5K
Aug-21,Maruti,Ciaz,2.1K,2.1K
Aug-21,Morris Garage,Hector,3.3K,3.3K
Aug-21,Morris Garage,Gloster,351.0,351.0
Aug-21,Morris Garage,ZS EV,273.0,273.0
Aug-21,Nissan,Redi-GO,32.0,32.0
Aug-21,Nissan,GO,3.0,3.0
Aug-21,Nissan,GO+,4.0,4.0
Aug-21,Nissan,MAGNITE,3.0K,3.0K
Aug-21,Nissan,KICKS,186.0,186.0
Aug-21,Renault,KWID,3.0K,3.0K
Aug-21,Renault,KIGER,2.7K,2.7K
Aug-21,Renault,TRIBER,3.9K,3.9K
Aug-21,Renault,Duster,153.0,153.0
Aug-21,Skoda,Octavia,150.0,150.0
Aug-21,Skoda,Rapid,595.0,595.0
Aug-21,Skoda,KUSHAQ,2.9K,2.9K
Aug-21,Skoda,SUPERB,180.0,180.0
Aug-21,Tata,Tiago,5.7K,5.7K
Aug-21,Tata,ALTROZ,6.2K,6.2K
Aug-21,Tata,TIGOR,1.7K,1.7K
Aug-21,Tata,NEXON,10.0K,10.0K
Aug-21,Tata,SAFARI,1.8K,1.8K
Aug-21,Tata,HARRIER,2.7K,2.7K
Aug-21,Toyota,Innova + Hycross,5.8K,5.8K
Aug-21,Toyota,URBAN CRUISER,2.7K,2.7K
Aug-21,Toyota,GLANZA,1.8K,1.8K
Aug-21,Toyota,Fortuner,2.4K,2.4K
Aug-21,Toyota,Camry,87.0,87.0
Aug-21,Toyota,VELLFIRE,54.0,54.0
Aug-21,Volkswagen,Polo,1.3K,1.3K
Aug-21,Volkswagen,Vento,175.0,175.0
Aug-21,Volkswagen,T-ROC,150.0,150.0
Aug-21,Grand Total,Grand Total,2.6L,2.6L
