date,company,model,monthly_sales,total_sales
Dec-21,Citroen,C5 Aircross,24.0,24.0
Dec-21,Fiat,COMPASS,916.0,916.0
Dec-21,Honda,Amaze,3.7K,3.7K
Dec-21,Honda,Jazz,486.0,486.0
Dec-21,Honda,City,3.7K,3.7K
Dec-21,Honda,WRV,85.0,85.0
Dec-21,Hyundai,Santro,1.3K,1.3K
Dec-21,Hyundai,Grand i10,6.2K,6.2K
Dec-21,Hyundai,i20 Elite,3.1K,3.1K
Dec-21,Hyundai,Xcent/Aura,1.7K,1.7K
Dec-21,Hyundai,Venue,10.4K,10.4K
Dec-21,Hyundai,Creta,7.6K,7.6K
Dec-21,Hyundai,Verna,982.0,982.0
Dec-21,Hyundai,ALCAZAR,1.0K,1.0K
Dec-21,Hyundai,Tucson,35.0,35.0
Dec-21,Hyundai,KONA,10.0,10.0
Dec-21,Kia,SELTOS,4.0K,4.0K
Dec-21,Kia,SONET,3.6K,3.6K
Dec-21,Kia,CARNIVAL,207.0,207.0
Dec-21,Mahindra,Verito,7.0,7.0
Dec-21,Mahindra,XUV 700,4.0K,4.0K
Dec-21,Mahindra,Bolero,5.3K,5.3K
Dec-21,Mahindra,Thar,2.1K,2.1K
Dec-21,Mahindra,XUV 300,4.3K,4.3K
Dec-21,Mahindra,Marazzo,2.0,2.0
Dec-21,Mahindra,Alturas G4,18.0,18.0
Dec-21,Mahindra,Scorpio,1.8K,1.8K
Dec-21,Maruti,Alto,11.2K,11.2K
Dec-21,Maruti,Eeco,9.2K,9.2K
Dec-21,Maruti,S Presso,5.2K,5.2K
Dec-21,Maruti,Wagon R,19.7K,19.7K
Dec-21,Maruti,IGNIS,3.2K,3.2K
Dec-21,Maruti,Ertiga,11.8K,11.8K
Dec-21,Maruti,XL6,4.1K,4.1K
Dec-21,Maruti,CELERIO,5.7K,5.7K
Dec-21,Maruti,Vitara Brezza,9.5K,9.5K
Dec-21,Maruti,Swift,15.7K,15.7K
Dec-21,Maruti,Baleno,14.5K,14.5K
Dec-21,Maruti,DZIRE,10.6K,10.6K
Dec-21,Maruti,S-Cross,1.5K,1.5K
Dec-21,Maruti,Ciaz,1.2K,1.2K
Dec-21,Morris Garage,Hector,1.2K,1.2K
Dec-21,Morris Garage,Gloster,108.0,108.0
Dec-21,Morris Garage,Astor,1.1K,1.1K
Dec-21,Morris Garage,ZS EV,102.0,102.0
Dec-21,Nissan,Redi-GO,227.0,227.0
Dec-21,Nissan,MAGNITE,2.7K,2.7K
Dec-21,Nissan,KICKS,130.0,130.0
Dec-21,Renault,KWID,1.1K,1.1K
Dec-21,Renault,KIGER,2.1K,2.1K
Dec-21,Renault,TRIBER,2.9K,2.9K
Dec-21,Renault,Duster,56.0,56.0
Dec-21,Skoda,Octavia,164.0,164.0
Dec-21,Skoda,Rapid,158.0,158.0
Dec-21,Skoda,KUSHAQ,2.8K,2.8K
Dec-21,Skoda,KODIAQ,55.0,55.0
Dec-21,Skoda,SUPERB,16.0,16.0
Dec-21,Tata,Tiago,3.7K,3.7K
Dec-21,Tata,PUNCH,8.0K,8.0K
Dec-21,Tata,ALTROZ,5.0K,5.0K
Dec-21,Tata,TIGOR,2.0K,2.0K
Dec-21,Tata,NEXON,12.9K,12.9K
Dec-21,Tata,SAFARI,1.5K,1.5K
Dec-21,Tata,HARRIER,2.2K,2.2K
Dec-21,Toyota,Innova + Hycross,4.0K,4.0K
Dec-21,Toyota,URBAN CRUISER,2.4K,2.4K
Dec-21,Toyota,GLANZA,2.6K,2.6K
Dec-21,Toyota,Fortuner,1.8K,1.8K
Dec-21,Toyota,Camry,1.0,1.0
Dec-21,Toyota,VELLFIRE,23.0,23.0
Dec-21,Volkswagen,Polo,762.0,762.0
Dec-21,Volkswagen,Vento,70.0,70.0
Dec-21,Volkswagen,TAIGUN,2.8K,2.8K
Dec-21,Volkswagen,TIGUAN,40.0,40.0
Dec-21,Grand Total,Grand Total,2.5L,2.5L
