date,company,model,monthly_sales,total_sales
Jan-22,Citroen,C5 Aircross,40.0,40.0
Jan-22,Fiat,COMPASS,861.0,861.0
Jan-22,Honda,Amaze,5.4K,5.4K
Jan-22,Honda,Jazz,588.0,588.0
Jan-22,Honda,City,4.0K,4.0K
Jan-22,Honda,WRV,494.0,494.0
Jan-22,Hyundai,Santro,1.3K,1.3K
Jan-22,Hyundai,Grand i10,6.8K,6.8K
Jan-22,Hyundai,i20 Elite,6.5K,6.5K
Jan-22,Hyundai,Xcent/Aura,3.3K,3.3K
Jan-22,Hyundai,Venue,11.4K,11.4K
Jan-22,Hyundai,Creta,9.9K,9.9K
Jan-22,Hyundai,Verna,1.6K,1.6K
Jan-22,Hyundai,ALCAZAR,3.2K,3.2K
Jan-22,Hyundai,Tucson,48.0,48.0
Jan-22,Hyundai,KONA,7.0,7.0
Jan-22,Kia,SELTOS,11.5K,11.5K
Jan-22,Kia,SONET,6.9K,6.9K
Jan-22,Kia,CARENS,575.0,575.0
Jan-22,Kia,CARNIVAL,357.0,357.0
Jan-22,Mahindra,Verito,12.0,12.0
Jan-22,Mahindra,KUV 100,1.0,1.0
Jan-22,Mahindra,XUV 700,4.1K,4.1K
Jan-22,Mahindra,Bolero,3.5K,3.5K
Jan-22,Mahindra,Thar,4.6K,4.6K
Jan-22,Mahindra,XUV 300,4.5K,4.5K
Jan-22,Mahindra,Scorpio,3.0K,3.0K
Jan-22,Maruti,Alto,12.3K,12.3K
Jan-22,Maruti,Eeco,10.5K,10.5K
Jan-22,Maruti,S Presso,6.3K,6.3K
Jan-22,Maruti,Wagon R,20.3K,20.3K
Jan-22,Maruti,IGNIS,2.0K,2.0K
Jan-22,Maruti,Ertiga,11.8K,11.8K
Jan-22,Maruti,XL6,3.1K,3.1K
Jan-22,Maruti,CELERIO,8.3K,8.3K
Jan-22,Maruti,Vitara Brezza,9.6K,9.6K
Jan-22,Maruti,Swift,19.1K,19.1K
Jan-22,Maruti,Baleno,6.8K,6.8K
Jan-22,Maruti,DZIRE,15.0K,15.0K
Jan-22,Maruti,S-Cross,2.1K,2.1K
Jan-22,Maruti,Ciaz,1.7K,1.7K
Jan-22,Morris Garage,Hector,2.0K,2.0K
Jan-22,Morris Garage,Gloster,143.0,143.0
Jan-22,Morris Garage,Astor,2.1K,2.1K
Jan-22,Morris Garage,ZS EV,56.0,56.0
Jan-22,Nissan,Redi-GO,273.0,273.0
Jan-22,Nissan,MAGNITE,3.8K,3.8K
Jan-22,Nissan,KICKS,150.0,150.0
Jan-22,Renault,KWID,2.3K,2.3K
Jan-22,Renault,KIGER,3.1K,3.1K
Jan-22,Renault,TRIBER,2.7K,2.7K
Jan-22,Skoda,Octavia,166.0,166.0
Jan-22,Skoda,KUSHAQ,2.6K,2.6K
Jan-22,Skoda,KODIAQ,113.0,113.0
Jan-22,Skoda,SUPERB,122.0,122.0
Jan-22,Tata,Tiago,5.2K,5.2K
Jan-22,Tata,PUNCH,10.0K,10.0K
Jan-22,Tata,ALTROZ,4.5K,4.5K
Jan-22,Tata,TIGOR,3.0K,3.0K
Jan-22,Tata,NEXON,13.8K,13.8K
Jan-22,Tata,SAFARI,1.6K,1.6K
Jan-22,Tata,HARRIER,2.7K,2.7K
Jan-22,Toyota,Innova + Hycross,2.4K,2.4K
Jan-22,Toyota,URBAN CRUISER,2.6K,2.6K
Jan-22,Toyota,GLANZA,1.3K,1.3K
Jan-22,Toyota,Fortuner,811.0,811.0
Jan-22,Toyota,Camry,141.0,141.0
Jan-22,Toyota,VELLFIRE,6.0,6.0
Jan-22,Volkswagen,Polo,891.0,891.0
Jan-22,Volkswagen,Vento,139.0,139.0
Jan-22,Volkswagen,TAIGUN,2.4K,2.4K
Jan-22,Volkswagen,TIGUAN,61.0,61.0
Jan-22,Grand Total,Grand Total,2.9L,2.9L
