date,company,model,monthly_sales,total_sales
Jul-23,Citroen,C3,331.0,331.0
Jul-23,Citroen,Ë C3,49.0,49.0
Jul-23,Citroen,C5 Aircross,8.0,8.0
Jul-23,Fiat,COMPASS,277.0,277.0
Jul-23,Fiat,Meridian,164.0,164.0
Jul-23,Honda,Amaze,3.4K,3.4K
Jul-23,Honda,City,1.5K,1.5K
Jul-23,Hyundai,Grand i10,5.3K,5.3K
Jul-23,Hyundai,i20 Elite,5.0K,5.0K
Jul-23,Hyundai,Xcent/Aura,4.5K,4.5K
Jul-23,Hyundai,EXTER,7.0K,7.0K
Jul-23,Hyundai,Venue,10.1K,10.1K
Jul-23,Hyundai,Creta,14.1K,14.1K
Jul-23,Hyundai,Verna,2.9K,2.9K
Jul-23,Hyundai,ALCAZAR,1.4K,1.4K
Jul-23,Hyundai,Tucson,239.0,239.0
Jul-23,Hyundai,KONA,60.0,60.0
Jul-23,Hyundai,IONIQ 5,125.0,125.0
Jul-23,Kia,SELTOS,9.7K,9.7K
Jul-23,Kia,SONET,4.2K,4.2K
Jul-23,Kia,CARENS,6.0K,6.0K
Jul-23,Kia,EV6,15.0,15.0
Jul-23,Mahindra,XUV 700,6.2K,6.2K
Jul-23,Mahindra,Bolero,8.9K,8.9K
Jul-23,Mahindra,Thar,5.3K,5.3K
Jul-23,Mahindra,XUV 300,4.5K,4.5K
Jul-23,Mahindra,XUV 400,707.0,707.0
Jul-23,Mahindra,Marazzo,81.0,81.0
Jul-23,Mahindra,Scorpio,10.5K,10.5K
Jul-23,Maruti,Alto,7.1K,7.1K
Jul-23,Maruti,Eeco,12.0K,12.0K
Jul-23,Maruti,S Presso,2.5K,2.5K
Jul-23,Maruti,Wagon R,13.0K,13.0K
Jul-23,Maruti,IGNIS,3.2K,3.2K
Jul-23,Maruti,Ertiga,14.4K,14.4K
Jul-23,Maruti,XL6,4.3K,4.3K
Jul-23,Maruti,CELERIO,2.9K,2.9K
Jul-23,Maruti,Vitara Brezza,16.5K,16.5K
Jul-23,Maruti,Swift,17.9K,17.9K
Jul-23,Maruti,Baleno,16.7K,16.7K
Jul-23,Maruti,FRONX,13.2K,13.2K
Jul-23,Maruti,JIMNY,3.8K,3.8K
Jul-23,Maruti,INVICTO,757.0,757.0
Jul-23,Maruti,DZIRE,13.4K,13.4K
Jul-23,Maruti,Ciaz,1.3K,1.3K
Jul-23,Maruti,Grand Vitara,9.1K,9.1K
Jul-23,Morris Garage,Hector,2.1K,2.1K
Jul-23,Morris Garage,Gloster,251.0,251.0
Jul-23,Morris Garage,Astor,954.0,954.0
Jul-23,Morris Garage,COMET,1.1K,1.1K
Jul-23,Morris Garage,ZS EV,587.0,587.0
Jul-23,Nissan,MAGNITE,2.2K,2.2K
Jul-23,Renault,KWID,762.0,762.0
Jul-23,Renault,KIGER,1.0K,1.0K
Jul-23,Renault,TRIBER,1.8K,1.8K
Jul-23,Skoda,KUSHAQ,2.4K,2.4K
Jul-23,Skoda,SLAVIA,1.7K,1.7K
Jul-23,Skoda,KODIAQ,159.0,159.0
Jul-23,Tata,Tiago,9.0K,9.0K
Jul-23,Tata,PUNCH,12.0K,12.0K
Jul-23,Tata,ALTROZ,7.8K,7.8K
Jul-23,Tata,TIGOR,2.7K,2.7K
Jul-23,Tata,NEXON,12.3K,12.3K
Jul-23,Tata,SAFARI,1.7K,1.7K
Jul-23,Tata,HARRIER,2.1K,2.1K
Jul-23,Toyota,Innova + Hycross,8.9K,8.9K
Jul-23,Toyota,GLANZA,4.9K,4.9K
Jul-23,Toyota,Fortuner,3.1K,3.1K
Jul-23,Toyota,Camry,190.0,190.0
Jul-23,Toyota,HYRYDER,3.4K,3.4K
Jul-23,Toyota,HILUX,216.0,216.0
Jul-23,Volkswagen,VIRTUS,1.7K,1.7K
Jul-23,Volkswagen,TAIGUN,1.9K,1.9K
Jul-23,Volkswagen,TIGUAN,169.0,169.0
Jul-23,Grand Total,Grand Total,3.5L,3.5L
