date,company,model,monthly_sales,total_sales
Jun-24,Citroen,C3,77.0,77.0
Jun-24,Citroen,Ë C3,126.0,126.0
Jun-24,Citroen,C3 Aircross,136.0,136.0
Jun-24,Fiat,COMPASS,216.0,216.0
Jun-24,Fiat,Meridian,65.0,65.0
Jun-24,Honda,Amaze,1.8K,1.8K
Jun-24,Honda,City,859.0,859.0
Jun-24,Honda,ELEVATE,2.2K,2.2K
Jun-24,Hyundai,Grand i10,4.9K,4.9K
Jun-24,Hyundai,i20 Elite,5.3K,5.3K
Jun-24,Hyundai,Xcent/Aura,4.3K,4.3K
Jun-24,Hyundai,EXTER,6.9K,6.9K
Jun-24,Hyundai,Venue,9.9K,9.9K
Jun-24,Hyundai,Creta,16.3K,16.3K
Jun-24,Hyundai,Verna,1.4K,1.4K
Jun-24,Hyundai,ALCAZAR,882.0,882.0
Jun-24,Hyundai,Tucson,114.0,114.0
Jun-24,Hyundai,IONIQ 5,30.0,30.0
Jun-24,Kia,SELTOS,6.3K,6.3K
Jun-24,Kia,SONET,9.8K,9.8K
Jun-24,Kia,CARENS,5.2K,5.2K
Jun-24,Kia,EV6,24.0,24.0
Jun-24,Mahindra,XUV 700,5.9K,5.9K
Jun-24,Mahindra,Bolero,7.4K,7.4K
Jun-24,Mahindra,Thar,5.4K,5.4K
Jun-24,Mahindra,XUV 300,8.5K,8.5K
Jun-24,Mahindra,XUV 400,534.0,534.0
Jun-24,Mahindra,Marazzo,12.0,12.0
Jun-24,Mahindra,Scorpio,12.3K,12.3K
Jun-24,Maruti,Alto,7.8K,7.8K
Jun-24,Maruti,Eeco,10.8K,10.8K
Jun-24,Maruti,S Presso,1.6K,1.6K
Jun-24,Maruti,Wagon R,13.8K,13.8K
Jun-24,Maruti,IGNIS,2.5K,2.5K
Jun-24,Maruti,Ertiga,15.9K,15.9K
Jun-24,Maruti,XL6,3.3K,3.3K
Jun-24,Maruti,CELERIO,3.0K,3.0K
Jun-24,Maruti,Vitara Brezza,13.2K,13.2K
Jun-24,Maruti,Swift,16.4K,16.4K
Jun-24,Maruti,Baleno,14.9K,14.9K
Jun-24,Maruti,FRONX,9.7K,9.7K
Jun-24,Maruti,JIMNY,481.0,481.0
Jun-24,Maruti,INVICTO,128.0,128.0
Jun-24,Maruti,DZIRE,13.4K,13.4K
Jun-24,Maruti,Ciaz,572.0,572.0
Jun-24,Maruti,Grand Vitara,9.7K,9.7K
Jun-24,Morris Garage,Hector,1.7K,1.7K
Jun-24,Morris Garage,Gloster,132.0,132.0
Jun-24,Morris Garage,Astor,938.0,938.0
Jun-24,Morris Garage,COMET,1.3K,1.3K
Jun-24,Morris Garage,ZS EV,561.0,561.0
Jun-24,Nissan,MAGNITE,2.1K,2.1K
Jun-24,Renault,KWID,603.0,603.0
Jun-24,Renault,KIGER,1.1K,1.1K
Jun-24,Renault,TRIBER,1.8K,1.8K
Jun-24,Skoda,KUSHAQ,1.2K,1.2K
Jun-24,Skoda,SLAVIA,1.2K,1.2K
Jun-24,Skoda,KODIAQ,137.0,137.0
Jun-24,Skoda,SUPERB,1.0,1.0
Jun-24,Tata,Tiago,5.2K,5.2K
Jun-24,Tata,PUNCH,18.2K,18.2K
Jun-24,Tata,ALTROZ,3.9K,3.9K
Jun-24,Tata,TIGOR,1.4K,1.4K
Jun-24,Tata,NEXON,12.1K,12.1K
Jun-24,Tata,SAFARI,1.4K,1.4K
Jun-24,Tata,HARRIER,1.3K,1.3K
Jun-24,Toyota,Innova + Hycross,9.4K,9.4K
Jun-24,Toyota,Taisor,3.2K,3.2K
Jun-24,Toyota,GLANZA,4.1K,4.1K
Jun-24,Toyota,Fortuner,2.7K,2.7K
Jun-24,Toyota,Camry,143.0,143.0
Jun-24,Toyota,RUMION,1.6K,1.6K
Jun-24,Toyota,HYRYDER,4.3K,4.3K
Jun-24,Toyota,HILUX,236.0,236.0
Jun-24,Toyota,VELLFIRE,142.0,142.0
Jun-24,Volkswagen,VIRTUS,1.7K,1.7K
Jun-24,Volkswagen,TAIGUN,1.5K,1.5K
Jun-24,Volkswagen,TIGUAN,85.0,85.0
Jun-24,Grand Total,Grand Total,3.4L,3.4L
