date,company,model,monthly_sales,total_sales
Mar-21,Fiat,COMPASS,1.4K,1.4K
Mar-21,Ford,Figo,219.0,219.0
Mar-21,Ford,FREESTYLE,689.0,689.0
Mar-21,Ford,Aspire,327.0,327.0
Mar-21,Ford,Ecosport,5.5K,5.5K
Mar-21,Ford,Endeavour,1.0K,1.0K
Mar-21,Honda,Amaze,4.6K,4.6K
Mar-21,Honda,Jazz,707.0,707.0
Mar-21,Honda,City,815.0,815.0
Mar-21,Honda,WRV,978.0,978.0
Mar-21,Honda,Civic,6.0,6.0
Mar-21,Honda,CR-V,1.0,1.0
Mar-21,Hyundai,Santro,2.2K,2.2K
Mar-21,Hyundai,Grand i10,11.0K,11.0K
Mar-21,Hyundai,i20 Elite,9.0K,9.0K
Mar-21,Hyundai,Xcent/Aura,4.0K,4.0K
Mar-21,Hyundai,Venue,10.7K,10.7K
Mar-21,Hyundai,Creta,12.6K,12.6K
Mar-21,Hyundai,Verna,2.8K,2.8K
Mar-21,Hyundai,Elantra,53.0,53.0
Mar-21,Hyundai,Tucson,143.0,143.0
Mar-21,Hyundai,KONA,11.0,11.0
Mar-21,Kia,SELTOS,10.6K,10.6K
Mar-21,Kia,SONET,8.5K,8.5K
Mar-21,Kia,CARNIVAL,45.0,45.0
Mar-21,Mahindra,KUV 100,1.0,1.0
Mar-21,Mahindra,Bolero,8.9K,8.9K
Mar-21,Mahindra,Thar,1.9K,1.9K
Mar-21,Mahindra,XUV 300,2.6K,2.6K
Mar-21,Mahindra,Marazzo,255.0,255.0
Mar-21,Mahindra,Alturas G4,49.0,49.0
Mar-21,Mahindra,Scorpio,2.3K,2.3K
Mar-21,Mahindra,XUV 500,603.0,603.0
Mar-21,Maruti,Alto,17.4K,17.4K
Mar-21,Maruti,Eeco,11.5K,11.5K
Mar-21,Maruti,S Presso,7.3K,7.3K
Mar-21,Maruti,Wagon R,18.8K,18.8K
Mar-21,Maruti,IGNIS,4.4K,4.4K
Mar-21,Maruti,Ertiga,9.3K,9.3K
Mar-21,Maruti,XL6,3.1K,3.1K
Mar-21,Maruti,CELERIO,4.7K,4.7K
Mar-21,Maruti,Vitara Brezza,11.3K,11.3K
Mar-21,Maruti,Swift,21.7K,21.7K
Mar-21,Maruti,Baleno,21.2K,21.2K
Mar-21,Maruti,DZIRE,11.4K,11.4K
Mar-21,Maruti,S-Cross,2.5K,2.5K
Mar-21,Maruti,Ciaz,1.6K,1.6K
Mar-21,Morris Garage,Hector,4.7K,4.7K
Mar-21,Morris Garage,Gloster,505.0,505.0
Mar-21,Morris Garage,ZS EV,303.0,303.0
Mar-21,Nissan,Redi-GO,835.0,835.0
Mar-21,Nissan,GO,19.0,19.0
Mar-21,Nissan,GO+,30.0,30.0
Mar-21,Nissan,MAGNITE,3.0K,3.0K
Mar-21,Nissan,KICKS,141.0,141.0
Mar-21,Renault,KWID,4.1K,4.1K
Mar-21,Renault,KIGER,3.8K,3.8K
Mar-21,Renault,TRIBER,4.1K,4.1K
Mar-21,Renault,Duster,252.0,252.0
Mar-21,Skoda,Octavia,5.0,5.0
Mar-21,Skoda,Rapid,903.0,903.0
Mar-21,Skoda,Karoq,1.0,1.0
Mar-21,Skoda,SUPERB,250.0,250.0
Mar-21,Tata,Tiago,6.9K,6.9K
Mar-21,Tata,ALTROZ,7.5K,7.5K
Mar-21,Tata,TIGOR,2.1K,2.1K
Mar-21,Tata,NEXON,8.7K,8.7K
Mar-21,Tata,SAFARI,2.1K,2.1K
Mar-21,Tata,HARRIER,2.3K,2.3K
Mar-21,Toyota,Innova + Hycross,5.7K,5.7K
Mar-21,Toyota,YARIS,871.0,871.0
Mar-21,Toyota,URBAN CRUISER,3.2K,3.2K
Mar-21,Toyota,GLANZA,3.0K,3.0K
Mar-21,Toyota,Fortuner,2.1K,2.1K
Mar-21,Toyota,Camry,31.0,31.0
Mar-21,Toyota,VELLFIRE,65.0,65.0
Mar-21,Volkswagen,Polo,1.9K,1.9K
Mar-21,Volkswagen,Vento,137.0,137.0
Mar-21,Grand Total,Grand Total,3.2L,3.2L
