date,company,model,monthly_sales,total_sales
Nov-20,Fiat,COMPASS,702.0,702.0
Nov-20,Fiat,WRANGLER,7.0,7.0
Nov-20,Ford,Figo,353.0,353.0
Nov-20,Ford,FREESTYLE,1.1K,1.1K
Nov-20,Ford,Aspire,267.0,267.0
Nov-20,Ford,Ecosport,1.6K,1.6K
Nov-20,Ford,Endeavour,647.0,647.0
Nov-20,Honda,Amaze,4.7K,4.7K
Nov-20,Honda,Jazz,633.0,633.0
Nov-20,Honda,City,3.5K,3.5K
Nov-20,Honda,WRV,958.0,958.0
Nov-20,Honda,Civic,143.0,143.0
Nov-20,Honda,CR-V,27.0,27.0
Nov-20,Hyundai,Santro,2.8K,2.8K
Nov-20,Hyundai,Grand i10,10.9K,10.9K
Nov-20,Hyundai,i20 Elite,9.1K,9.1K
Nov-20,Hyundai,Xcent/Aura,3.1K,3.1K
Nov-20,Hyundai,Venue,9.3K,9.3K
Nov-20,Hyundai,Creta,12.0K,12.0K
Nov-20,Hyundai,Verna,1.5K,1.5K
Nov-20,Hyundai,Elantra,38.0,38.0
Nov-20,Hyundai,Tucson,76.0,76.0
Nov-20,Kia,SELTOS,9.2K,9.2K
Nov-20,Kia,SONET,11.4K,11.4K
Nov-20,Kia,CARNIVAL,400.0,400.0
Nov-20,Mahindra,KUV 100,23.0,23.0
Nov-20,Mahindra,Bolero,6.1K,6.1K
Nov-20,Mahindra,Thar,2.6K,2.6K
Nov-20,Mahindra,XUV 300,4.5K,4.5K
Nov-20,Mahindra,Marazzo,226.0,226.0
Nov-20,Mahindra,Alturas G4,23.0,23.0
Nov-20,Mahindra,Scorpio,3.7K,3.7K
Nov-20,Mahindra,XUV 500,892.0,892.0
Nov-20,Maruti,Alto,15.3K,15.3K
Nov-20,Maruti,Eeco,11.2K,11.2K
Nov-20,Maruti,S Presso,7.0K,7.0K
Nov-20,Maruti,Wagon R,16.3K,16.3K
Nov-20,Maruti,IGNIS,3.9K,3.9K
Nov-20,Maruti,Ertiga,9.6K,9.6K
Nov-20,Maruti,XL6,3.4K,3.4K
Nov-20,Maruti,CELERIO,6.5K,6.5K
Nov-20,Maruti,Vitara Brezza,7.8K,7.8K
Nov-20,Maruti,Swift,18.5K,18.5K
Nov-20,Maruti,Baleno,17.9K,17.9K
Nov-20,Maruti,DZIRE,13.5K,13.5K
Nov-20,Maruti,S-Cross,2.9K,2.9K
Nov-20,Maruti,Ciaz,1.9K,1.9K
Nov-20,Maruti,Gypsy,93.0,93.0
Nov-20,Morris Garage,Hector,3.4K,3.4K
Nov-20,Morris Garage,Gloster,627.0,627.0
Nov-20,Morris Garage,ZS EV,110.0,110.0
Nov-20,Nissan,Redi-GO,829.0,829.0
Nov-20,Nissan,GO,13.0,13.0
Nov-20,Nissan,GO+,17.0,17.0
Nov-20,Nissan,KICKS,158.0,158.0
Nov-20,Renault,KWID,5.0K,5.0K
Nov-20,Renault,TRIBER,4.8K,4.8K
Nov-20,Renault,Duster,416.0,416.0
Nov-20,Skoda,Octavia,20.0,20.0
Nov-20,Skoda,Rapid,813.0,813.0
Nov-20,Skoda,Karoq,5.0,5.0
Nov-20,Skoda,SUPERB,218.0,218.0
Nov-20,Tata,Tiago,5.9K,5.9K
Nov-20,Tata,ALTROZ,6.3K,6.3K
Nov-20,Tata,TIGOR,1.3K,1.3K
Nov-20,Tata,NEXON,6.0K,6.0K
Nov-20,Tata,HARRIER,2.2K,2.2K
Nov-20,Toyota,Innova + Hycross,2.2K,2.2K
Nov-20,Toyota,YARIS,345.0,345.0
Nov-20,Toyota,URBAN CRUISER,2.8K,2.8K
Nov-20,Toyota,GLANZA,2.4K,2.4K
Nov-20,Toyota,Fortuner,656.0,656.0
Nov-20,Toyota,Camry,32.0,32.0
Nov-20,Toyota,VELLFIRE,23.0,23.0
Nov-20,Volkswagen,Polo,1.1K,1.1K
Nov-20,Volkswagen,Vento,125.0,125.0
Nov-20,Volkswagen,T-ROC,19.0,19.0
Nov-20,Volkswagen,TIGUAN,138.0,138.0
Nov-20,Grand Total,Grand Total,2.9L,2.9L
