date,company,model,monthly_sales,total_sales
Sep-23,Citroen,C3,179.0,179.0
Sep-23,Citroen,Ë C3,166.0,166.0
Sep-23,Citroen,C3 Aircross,400.0,400.0
Sep-23,Citroen,C5 Aircross,3.0,3.0
Sep-23,Fiat,COMPASS,391.0,391.0
Sep-23,Fiat,Meridian,90.0,90.0
Sep-23,Honda,Amaze,2.6K,2.6K
Sep-23,Honda,City,1.6K,1.6K
Sep-23,Honda,ELEVATE,5.7K,5.7K
Sep-23,Hyundai,Grand i10,5.2K,5.2K
Sep-23,Hyundai,i20 Elite,6.5K,6.5K
Sep-23,Hyundai,Xcent/Aura,3.9K,3.9K
Sep-23,Hyundai,EXTER,8.6K,8.6K
Sep-23,Hyundai,Venue,12.2K,12.2K
Sep-23,Hyundai,Creta,12.7K,12.7K
Sep-23,Hyundai,Verna,2.6K,2.6K
Sep-23,Hyundai,ALCAZAR,2.0K,2.0K
Sep-23,Hyundai,Tucson,237.0,237.0
Sep-23,Hyundai,KONA,69.0,69.0
Sep-23,Hyundai,IONIQ 5,176.0,176.0
Sep-23,Kia,SELTOS,10.6K,10.6K
Sep-23,Kia,SONET,5.0K,5.0K
Sep-23,Kia,CARENS,4.3K,4.3K
Sep-23,Kia,EV6,150.0,150.0
Sep-23,Mahindra,XUV 700,8.6K,8.6K
Sep-23,Mahindra,Bolero,9.5K,9.5K
Sep-23,Mahindra,Thar,5.4K,5.4K
Sep-23,Mahindra,XUV 300,5.0K,5.0K
Sep-23,Mahindra,XUV 400,825.0,825.0
Sep-23,Mahindra,Marazzo,144.0,144.0
Sep-23,Mahindra,Scorpio,11.8K,11.8K
Sep-23,Maruti,Alto,7.8K,7.8K
Sep-23,Maruti,Eeco,11.1K,11.1K
Sep-23,Maruti,S Presso,2.6K,2.6K
Sep-23,Maruti,Wagon R,16.3K,16.3K
Sep-23,Maruti,IGNIS,2.1K,2.1K
Sep-23,Maruti,Ertiga,13.5K,13.5K
Sep-23,Maruti,XL6,4.5K,4.5K
Sep-23,Maruti,CELERIO,3.2K,3.2K
Sep-23,Maruti,Vitara Brezza,15.0K,15.0K
Sep-23,Maruti,Swift,14.7K,14.7K
Sep-23,Maruti,Baleno,18.4K,18.4K
Sep-23,Maruti,FRONX,11.5K,11.5K
Sep-23,Maruti,JIMNY,2.7K,2.7K
Sep-23,Maruti,INVICTO,389.0,389.0
Sep-23,Maruti,DZIRE,13.9K,13.9K
Sep-23,Maruti,Ciaz,1.5K,1.5K
Sep-23,Maruti,Grand Vitara,11.7K,11.7K
Sep-23,Morris Garage,Hector,2.7K,2.7K
Sep-23,Morris Garage,Gloster,201.0,201.0
Sep-23,Morris Garage,Astor,901.0,901.0
Sep-23,Morris Garage,COMET,1.0K,1.0K
Sep-23,Morris Garage,ZS EV,228.0,228.0
Sep-23,Nissan,MAGNITE,2.5K,2.5K
Sep-23,Renault,KWID,747.0,747.0
Sep-23,Renault,KIGER,980.0,980.0
Sep-23,Renault,TRIBER,1.6K,1.6K
Sep-23,Skoda,KUSHAQ,2.3K,2.3K
Sep-23,Skoda,SLAVIA,1.6K,1.6K
Sep-23,Skoda,KODIAQ,191.0,191.0
Sep-23,Tata,Tiago,6.8K,6.8K
Sep-23,Tata,PUNCH,13.0K,13.0K
Sep-23,Tata,ALTROZ,6.7K,6.7K
Sep-23,Tata,TIGOR,1.5K,1.5K
Sep-23,Tata,NEXON,15.3K,15.3K
Sep-23,Tata,SAFARI,516.0,516.0
Sep-23,Tata,HARRIER,926.0,926.0
Sep-23,Toyota,Innova + Hycross,8.9K,8.9K
Sep-23,Toyota,GLANZA,4.7K,4.7K
Sep-23,Toyota,Fortuner,2.9K,2.9K
Sep-23,Toyota,Camry,259.0,259.0
Sep-23,Toyota,RUMION,1.5K,1.5K
Sep-23,Toyota,HYRYDER,3.8K,3.8K
Sep-23,Toyota,HILUX,143.0,143.0
Sep-23,Volkswagen,VIRTUS,1.8K,1.8K
Sep-23,Volkswagen,TAIGUN,1.6K,1.6K
Sep-23,Volkswagen,TIGUAN,191.0,191.0
Sep-23,Grand Total,Grand Total,3.6L,3.6L
