company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta E,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta E,Displacement,1497 cc
HYUNDAI,CRETA,Creta E,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta E,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta E,No. of Cylinders,4
HYUNDAI,CRETA,Creta E,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta E,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta E,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta E,Turbo Charger,NO
HYUNDAI,CRETA,Creta E,Transmission Type,Manual
HYUNDAI,CRETA,Creta E,Gearbox,6-Speed
HYUNDAI,CRETA,Creta E,Drive Type,FWD
HYUNDAI,CRETA,Creta E,Fuel Type,Petrol
HYUNDAI,CRETA,Creta E,Petrol Mileage ARAI,17.4 kmpl
HYUNDAI,CRETA,Creta E,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta E,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta E,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta E,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta E,Steering Type,Electric
HYUNDAI,CRETA,Creta E,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta E,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta E,Front Brake Type,Disc
HYUNDAI,CRETA,Creta E,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta E,Length,4330 mm
HYUNDAI,CRETA,Creta E,Width,1790 mm
HYUNDAI,CRETA,Creta E,Height,1635 mm
HYUNDAI,CRETA,Creta E,Seating Capacity,5
HYUNDAI,CRETA,Creta E,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta E,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta E,Front Tread,1536 mm
HYUNDAI,CRETA,Creta E,No. of Doors,5
HYUNDAI,CRETA,Creta E,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta E,Power Steering,YES
HYUNDAI,CRETA,Creta E,Air Conditioner,YES
HYUNDAI,CRETA,Creta E,Heater,YES
HYUNDAI,CRETA,Creta E,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta E,Ventilated Seats,NO
HYUNDAI,CRETA,Creta E,Electric Adjustable Seats,NO
HYUNDAI,CRETA,Creta E,Automatic Climate Control,NO
HYUNDAI,CRETA,Creta E,Accessory Power Outlet,YES
