company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta EX(O) iVT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta EX(O) iVT,Displacement,1497 cc
HYUNDAI,CRETA,Creta EX(O) iVT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta EX(O) iVT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta EX(O) iVT,No. of Cylinders,4
HYUNDAI,CRETA,Creta EX(O) iVT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta EX(O) iVT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta EX(O) iVT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta EX(O) iVT,Turbo Charger,NO
HYUNDAI,CRETA,Creta EX(O) iVT,Transmission Type,Automatic
HYUNDAI,CRETA,Creta EX(O) iVT,Gearbox,6-Speed iVT
HYUNDAI,CRETA,Creta EX(O) iVT,Drive Type,FWD
HYUNDAI,CRETA,Creta EX(O) iVT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta EX(O) iVT,Petrol Mileage ARAI,17.7 kmpl
HYUNDAI,CRETA,Creta EX(O) iVT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta EX(O) iVT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta EX(O) iVT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta EX(O) iVT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta EX(O) iVT,Steering Type,Electric
HYUNDAI,CRETA,Creta EX(O) iVT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta EX(O) iVT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta EX(O) iVT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta EX(O) iVT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta EX(O) iVT,Length,4330 mm
HYUNDAI,CRETA,Creta EX(O) iVT,Width,1790 mm
HYUNDAI,CRETA,Creta EX(O) iVT,Height,1635 mm
HYUNDAI,CRETA,Creta EX(O) iVT,Seating Capacity,5
HYUNDAI,CRETA,Creta EX(O) iVT,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta EX(O) iVT,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta EX(O) iVT,No. of Doors,5
HYUNDAI,CRETA,Creta EX(O) iVT,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta EX(O) iVT,Power Steering,YES
HYUNDAI,CRETA,Creta EX(O) iVT,Air Conditioner,YES
HYUNDAI,CRETA,Creta EX(O) iVT,Heater,YES
HYUNDAI,CRETA,Creta EX(O) iVT,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta EX(O) iVT,Ventilated Seats,NO
HYUNDAI,CRETA,Creta EX(O) iVT,Electric Adjustable Seats,NO
HYUNDAI,CRETA,Creta EX(O) iVT,Automatic Climate Control,NO
HYUNDAI,CRETA,Creta EX(O) iVT,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta EX(O) iVT,Trunk Light,NO
HYUNDAI,CRETA,Creta EX(O) iVT,Vanity Mirror,YES
HYUNDAI,CRETA,Creta EX(O) iVT,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta EX(O) iVT,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta EX(O) iVT,Rear Seat Centre Arm Rest,YES
