company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta King Diesel,Engine Type,1.5L U2 CRDi
HYUNDAI,CRETA,Creta King Diesel,Displacement,1493 cc
HYUNDAI,CRETA,Creta King Diesel,Max Power,114bhp@4000rpm
HYUNDAI,CRETA,Creta King Diesel,Max Torque,250Nm@1500-2750rpm
HYUNDAI,CRETA,Creta King Diesel,No. of Cylinders,4
HYUNDAI,CRETA,Creta King Diesel,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta King Diesel,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta King Diesel,Fuel Supply System,CRDi
HYUNDAI,CRETA,Creta King Diesel,Turbo Charger,YES
HYUNDAI,CRETA,Creta King Diesel,Transmission Type,Manual
HYUNDAI,CRETA,Creta King Diesel,Gearbox,6-Speed
HYUNDAI,CRETA,Creta King Diesel,Drive Type,FWD
HYUNDAI,CRETA,Creta King Diesel,Fuel Type,Diesel
HYUNDAI,CRETA,Creta King Diesel,Diesel Mileage ARAI,21.8 kmpl
HYUNDAI,CRETA,Creta King Diesel,Diesel Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta King Diesel,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta King Diesel,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta King Diesel,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta King Diesel,Steering Type,Electric
HYUNDAI,CRETA,Creta King Diesel,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta King Diesel,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta King Diesel,Front Brake Type,Disc
HYUNDAI,CRETA,Creta King Diesel,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta King Diesel,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta King Diesel,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta King Diesel,Length,4330 mm
HYUNDAI,CRETA,Creta King Diesel,Width,1790 mm
HYUNDAI,CRETA,Creta King Diesel,Height,1635 mm
HYUNDAI,CRETA,Creta King Diesel,Seating Capacity,5
HYUNDAI,CRETA,Creta King Diesel,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta King Diesel,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta King Diesel,No. of Doors,5
HYUNDAI,CRETA,Creta King Diesel,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta King Diesel,Power Steering,YES
HYUNDAI,CRETA,Creta King Diesel,Air Conditioner,YES
HYUNDAI,CRETA,Creta King Diesel,Heater,YES
HYUNDAI,CRETA,Creta King Diesel,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta King Diesel,Ventilated Seats,YES
HYUNDAI,CRETA,Creta King Diesel,Electric Adjustable Seats,Front
HYUNDAI,CRETA,Creta King Diesel,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta King Diesel,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta King Diesel,Trunk Light,YES
HYUNDAI,CRETA,Creta King Diesel,Vanity Mirror,YES
HYUNDAI,CRETA,Creta King Diesel,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta King Diesel,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta King Diesel,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta King Diesel,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta King Diesel,Rear AC Vents,YES
HYUNDAI,CRETA,Creta King Diesel,Cruise Control,YES
HYUNDAI,CRETA,Creta King Diesel,Parking Sensors,Front & Rear
HYUNDAI,CRETA,Creta King Diesel,Foldable Rear Seat,60:40 Split
HYUNDAI,CRETA,Creta King Diesel,KeyLess Entry,YES
HYUNDAI,CRETA,Creta King Diesel,Engine Start/Stop Button,YES
HYUNDAI,CRETA,Creta King Diesel,Cooled Glovebox,YES
HYUNDAI,CRETA,Creta King Diesel,Voice Commands,YES
HYUNDAI,CRETA,Creta King Diesel,Paddle Shifters,NO
HYUNDAI,CRETA,Creta King Diesel,USB Charger,Front & Rear
HYUNDAI,CRETA,Creta King Diesel,Central Console Armrest,With Storage
HYUNDAI,CRETA,Creta King Diesel,Hands-Free Tailgate,NO
HYUNDAI,CRETA,Creta King Diesel,Idle Start-Stop System,YES
HYUNDAI,CRETA,Creta King Diesel,Rear Window Sunblind,YES
HYUNDAI,CRETA,Creta King Diesel,Automatic Headlamps,YES
HYUNDAI,CRETA,Creta King Diesel,Follow Me Home Headlamps,YES
HYUNDAI,CRETA,Creta King Diesel,Additional Features,Sunglass holder
HYUNDAI,CRETA,Creta King Diesel,Voice assisted sunroof,YES
HYUNDAI,CRETA,Creta King Diesel,Drive Mode Types,NA
HYUNDAI,CRETA,Creta King Diesel,Power Windows,Front & Rear
HYUNDAI,CRETA,Creta King Diesel,Cup Holders,Front & Rear
HYUNDAI,CRETA,Creta King Diesel,Tachometer,YES
HYUNDAI,CRETA,Creta King Diesel,Glove Box,YES
HYUNDAI,CRETA,Creta King Diesel,Digital Odometer,YES
HYUNDAI,CRETA,Creta King Diesel,Dual Tone Dashboard,YES
HYUNDAI,CRETA,Creta King Diesel,Additional Features,Rear parcel tray
HYUNDAI,CRETA,Creta King Diesel,Digital Cluster,Full
HYUNDAI,CRETA,Creta King Diesel,Digital Cluster Size,10.25 Inch
HYUNDAI,CRETA,Creta King Diesel,Upholstery,Leatherette
HYUNDAI,CRETA,Creta King Diesel,Rear Window Wiper,YES
HYUNDAI,CRETA,Creta King Diesel,Rear Window Washer,YES
HYUNDAI,CRETA,Creta King Diesel,Rear Window Defogger,YES
HYUNDAI,CRETA,Creta King Diesel,Wheel Covers,NO
HYUNDAI,CRETA,Creta King Diesel,Alloy Wheels,YES
HYUNDAI,CRETA,Creta King Diesel,Rear Spoiler,YES
HYUNDAI,CRETA,Creta King Diesel,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,CRETA,Creta King Diesel,Integrated Antenna,YES
HYUNDAI,CRETA,Creta King Diesel,Projector Headlamps,NO
HYUNDAI,CRETA,Creta King Diesel,Roof Rails,YES
HYUNDAI,CRETA,Creta King Diesel,Antenna,Shark Fin
HYUNDAI,CRETA,Creta King Diesel,Sunroof,Panoramic
HYUNDAI,CRETA,Creta King Diesel,Boot Opening,Electronic
HYUNDAI,CRETA,Creta King Diesel,Puddle Lamps,YES
HYUNDAI,CRETA,Creta King Diesel,Outside Rear View Mirror (ORVM),Powered & Folding
HYUNDAI,CRETA,Creta King Diesel,Tyre Size,215/55 R18
HYUNDAI,CRETA,Creta King Diesel,Tyre Type,Radial Tubeless
HYUNDAI,CRETA,Creta King Diesel,LED DRLs,YES
HYUNDAI,CRETA,Creta King Diesel,LED Headlamps,YES
HYUNDAI,CRETA,Creta King Diesel,LED Taillights,YES
HYUNDAI,CRETA,Creta King Diesel,Anti-lock Braking System (ABS),YES
HYUNDAI,CRETA,Creta King Diesel,Central Locking,YES
HYUNDAI,CRETA,Creta King Diesel,Child Safety Locks,YES
HYUNDAI,CRETA,Creta King Diesel,Anti-Theft Alarm,YES
HYUNDAI,CRETA,Creta King Diesel,No. of Airbags,6
HYUNDAI,CRETA,Creta King Diesel,Driver Airbag,YES
HYUNDAI,CRETA,Creta King Diesel,Passenger Airbag,YES
HYUNDAI,CRETA,Creta King Diesel,Side Airbag,YES
HYUNDAI,CRETA,Creta King Diesel,Side Airbag-Rear,NO
HYUNDAI,CRETA,Creta King Diesel,Day & Night Rear View Mirror,YES
HYUNDAI,CRETA,Creta King Diesel,Curtain Airbag,YES
HYUNDAI,CRETA,Creta King Diesel,Electronic Brakeforce Distribution (EBD),YES
HYUNDAI,CRETA,Creta King Diesel,Seat Belt Warning,YES
HYUNDAI,CRETA,Creta King Diesel,Door Ajar Warning,YES
HYUNDAI,CRETA,Creta King Diesel,Traction Control,NO
HYUNDAI,CRETA,Creta King Diesel,Tyre Pressure Monitoring System (TPMS),YES
HYUNDAI,CRETA,Creta King Diesel,Engine Immobilizer,YES
HYUNDAI,CRETA,Creta King Diesel,Electronic Stability Control (ESC),YES
HYUNDAI,CRETA,Creta King Diesel,Rear Camera,With Guidedlines
HYUNDAI,CRETA,Creta King Diesel,Anti-Theft Device,YES
HYUNDAI,CRETA,Creta King Diesel,Anti-Pinch Power Windows,Driver's Window
HYUNDAI,CRETA,Creta King Diesel,Speed Alert,YES
HYUNDAI,CRETA,Creta King Diesel,Speed Sensing Auto Door Lock,YES
HYUNDAI,CRETA,Creta King Diesel,Knee Airbags,NO
HYUNDAI,CRETA,Creta King Diesel,ISOFIX Child Seat Mounts,YES
HYUNDAI,CRETA,Creta King Diesel,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
HYUNDAI,CRETA,Creta King Diesel,Hill Assist,YES
HYUNDAI,CRETA,Creta King Diesel,Impact Sensing Auto Door Unlock,YES
HYUNDAI,CRETA,Creta King Diesel,360 View Camera,YES
HYUNDAI,CRETA,Creta King Diesel,Radio,YES
HYUNDAI,CRETA,Creta King Diesel,Integrated 2DIN Audio,YES
HYUNDAI,CRETA,Creta King Diesel,Wireless Phone Charging,YES
HYUNDAI,CRETA,Creta King Diesel,Bluetooth Connectivity,YES
HYUNDAI,CRETA,Creta King Diesel,Touchscreen,YES
HYUNDAI,CRETA,Creta King Diesel,Touchscreen Size,10.25 inch
HYUNDAI,CRETA,Creta King Diesel,Connectivity,Android Auto
HYUNDAI,CRETA,Creta King Diesel,Android Auto,YES
HYUNDAI,CRETA,Creta King Diesel,Apple CarPlay,YES
HYUNDAI,CRETA,Creta King Diesel,No. of Speakers,5
