company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta SX (O) Knight DT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta SX (O) Knight DT,Displacement,1497 cc
HYUNDAI,CRETA,Creta SX (O) Knight DT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta SX (O) Knight DT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta SX (O) Knight DT,No. of Cylinders,4
HYUNDAI,CRETA,Creta SX (O) Knight DT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta SX (O) Knight DT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta SX (O) Knight DT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta SX (O) Knight DT,Turbo Charger,NO
HYUNDAI,CRETA,Creta SX (O) Knight DT,Transmission Type,Manual
HYUNDAI,CRETA,Creta SX (O) Knight DT,Gearbox,6-Speed
HYUNDAI,CRETA,Creta SX (O) Knight DT,Drive Type,FWD
HYUNDAI,CRETA,Creta SX (O) Knight DT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta SX (O) Knight DT,Petrol Mileage ARAI,17.4 kmpl
HYUNDAI,CRETA,Creta SX (O) Knight DT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta SX (O) Knight DT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta SX (O) Knight DT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta SX (O) Knight DT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta SX (O) Knight DT,Steering Type,Electric
HYUNDAI,CRETA,Creta SX (O) Knight DT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta SX (O) Knight DT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta SX (O) Knight DT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta SX (O) Knight DT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta SX (O) Knight DT,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta SX (O) Knight DT,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta SX (O) Knight DT,Length,4330 mm
HYUNDAI,CRETA,Creta SX (O) Knight DT,Width,1790 mm
HYUNDAI,CRETA,Creta SX (O) Knight DT,Height,1635 mm
