company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta SX (O) iVT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta SX (O) iVT,Displacement,1497 cc
HYUNDAI,CRETA,Creta SX (O) iVT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta SX (O) iVT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta SX (O) iVT,No. of Cylinders,4
HYUNDAI,CRETA,Creta SX (O) iVT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta SX (O) iVT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta SX (O) iVT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta SX (O) iVT,Turbo Charger,NO
HYUNDAI,CRETA,Creta SX (O) iVT,Transmission Type,Automatic
HYUNDAI,CRETA,Creta SX (O) iVT,Gearbox,6-Speed iVT
HYUNDAI,CRETA,Creta SX (O) iVT,Drive Type,FWD
HYUNDAI,CRETA,Creta SX (O) iVT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta SX (O) iVT,Petrol Mileage ARAI,17.7 kmpl
HYUNDAI,CRETA,Creta SX (O) iVT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta SX (O) iVT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta SX (O) iVT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta SX (O) iVT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta SX (O) iVT,Steering Type,Electric
HYUNDAI,CRETA,Creta SX (O) iVT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta SX (O) iVT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta SX (O) iVT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta SX (O) iVT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta SX (O) iVT,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta SX (O) iVT,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta SX (O) iVT,Length,4330 mm
HYUNDAI,CRETA,Creta SX (O) iVT,Width,1790 mm
HYUNDAI,CRETA,Creta SX (O) iVT,Height,1635 mm
HYUNDAI,CRETA,Creta SX (O) iVT,Seating Capacity,5
HYUNDAI,CRETA,Creta SX (O) iVT,Ground Clearance Unladen,190 mm
