company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta SX DT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta SX DT,Displacement,1497 cc
HYUNDAI,CRETA,Creta SX DT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta SX DT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta SX DT,No. of Cylinders,4
HYUNDAI,CRETA,Creta SX DT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta SX DT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta SX DT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta SX DT,Turbo Charger,NO
HYUNDAI,CRETA,Creta SX DT,Transmission Type,Manual
HYUNDAI,CRETA,Creta SX DT,Gearbox,6-Speed
HYUNDAI,CRETA,Creta SX DT,Drive Type,FWD
HYUNDAI,CRETA,Creta SX DT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta SX DT,Petrol Mileage ARAI,17.4 kmpl
HYUNDAI,CRETA,Creta SX DT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta SX DT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta SX DT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta SX DT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta SX DT,Steering Type,Electric
HYUNDAI,CRETA,Creta SX DT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta SX DT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta SX DT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta SX DT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta SX DT,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta SX DT,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta SX DT,Length,4330 mm
HYUNDAI,CRETA,Creta SX DT,Width,1790 mm
HYUNDAI,CRETA,Creta SX DT,Height,1635 mm
HYUNDAI,CRETA,Creta SX DT,Seating Capacity,5
HYUNDAI,CRETA,Creta SX DT,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta SX DT,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta SX DT,No. of Doors,5
HYUNDAI,CRETA,Creta SX DT,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta SX DT,Power Steering,YES
HYUNDAI,CRETA,Creta SX DT,Air Conditioner,YES
HYUNDAI,CRETA,Creta SX DT,Heater,YES
HYUNDAI,CRETA,Creta SX DT,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta SX DT,Ventilated Seats,NO
HYUNDAI,CRETA,Creta SX DT,Electric Adjustable Seats,NO
HYUNDAI,CRETA,Creta SX DT,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta SX DT,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta SX DT,Trunk Light,YES
HYUNDAI,CRETA,Creta SX DT,Vanity Mirror,YES
HYUNDAI,CRETA,Creta SX DT,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta SX DT,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta SX DT,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta SX DT,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta SX DT,Rear AC Vents,YES
HYUNDAI,CRETA,Creta SX DT,Cruise Control,YES
HYUNDAI,CRETA,Creta SX DT,Parking Sensors,Rear
HYUNDAI,CRETA,Creta SX DT,Foldable Rear Seat,60:40 Split
HYUNDAI,CRETA,Creta SX DT,KeyLess Entry,YES
HYUNDAI,CRETA,Creta SX DT,Engine Start/Stop Button,YES
HYUNDAI,CRETA,Creta SX DT,Cooled Glovebox,YES
HYUNDAI,CRETA,Creta SX DT,Voice Commands,YES
HYUNDAI,CRETA,Creta SX DT,Paddle Shifters,NO
HYUNDAI,CRETA,Creta SX DT,USB Charger,Front & Rear
HYUNDAI,CRETA,Creta SX DT,Central Console Armrest,With Storage
