company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta SX Premium DT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta SX Premium DT,Displacement,1497 cc
HYUNDAI,CRETA,Creta SX Premium DT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta SX Premium DT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta SX Premium DT,No. of Cylinders,4
HYUNDAI,CRETA,Creta SX Premium DT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta SX Premium DT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta SX Premium DT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta SX Premium DT,Turbo Charger,NO
HYUNDAI,CRETA,Creta SX Premium DT,Transmission Type,Manual
HYUNDAI,CRETA,Creta SX Premium DT,Gearbox,6-Speed
HYUNDAI,CRETA,Creta SX Premium DT,Drive Type,FWD
HYUNDAI,CRETA,Creta SX Premium DT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta SX Premium DT,Petrol Mileage ARAI,17.4 kmpl
HYUNDAI,CRETA,Creta SX Premium DT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta SX Premium DT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta SX Premium DT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta SX Premium DT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta SX Premium DT,Steering Type,Electric
HYUNDAI,CRETA,Creta SX Premium DT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta SX Premium DT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta SX Premium DT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta SX Premium DT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta SX Premium DT,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta SX Premium DT,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta SX Premium DT,Length,4330 mm
HYUNDAI,CRETA,Creta SX Premium DT,Width,1790 mm
HYUNDAI,CRETA,Creta SX Premium DT,Height,1635 mm
HYUNDAI,CRETA,Creta SX Premium DT,Seating Capacity,5
HYUNDAI,CRETA,Creta SX Premium DT,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta SX Premium DT,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta SX Premium DT,No. of Doors,5
HYUNDAI,CRETA,Creta SX Premium DT,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta SX Premium DT,Power Steering,YES
HYUNDAI,CRETA,Creta SX Premium DT,Air Conditioner,YES
HYUNDAI,CRETA,Creta SX Premium DT,Heater,YES
HYUNDAI,CRETA,Creta SX Premium DT,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta SX Premium DT,Ventilated Seats,YES
HYUNDAI,CRETA,Creta SX Premium DT,Electric Adjustable Seats,NO
HYUNDAI,CRETA,Creta SX Premium DT,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta SX Premium DT,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta SX Premium DT,Trunk Light,YES
HYUNDAI,CRETA,Creta SX Premium DT,Vanity Mirror,YES
HYUNDAI,CRETA,Creta SX Premium DT,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta SX Premium DT,Adjustable Headrest,YES
HYUNDAI,CRETA,Creta SX Premium DT,Rear Seat Centre Arm Rest,YES
HYUNDAI,CRETA,Creta SX Premium DT,Height Adjustable Front Seat Belts,YES
HYUNDAI,CRETA,Creta SX Premium DT,Rear AC Vents,YES
HYUNDAI,CRETA,Creta SX Premium DT,Cruise Control,YES
HYUNDAI,CRETA,Creta SX Premium DT,Parking Sensors,Rear
HYUNDAI,CRETA,Creta SX Premium DT,Foldable Rear Seat,60:40 Split
HYUNDAI,CRETA,Creta SX Premium DT,KeyLess Entry,YES
HYUNDAI,CRETA,Creta SX Premium DT,Engine Start/Stop Button,YES
HYUNDAI,CRETA,Creta SX Premium DT,Cooled Glovebox,YES
HYUNDAI,CRETA,Creta SX Premium DT,Voice Commands,YES
HYUNDAI,CRETA,Creta SX Premium DT,Paddle Shifters,NO
HYUNDAI,CRETA,Creta SX Premium DT,USB Charger,Front & Rear
HYUNDAI,CRETA,Creta SX Premium DT,Central Console Armrest,With Storage
HYUNDAI,CRETA,Creta SX Premium DT,Hands-Free Tailgate,NO
HYUNDAI,CRETA,Creta SX Premium DT,Idle Start-Stop System,YES
HYUNDAI,CRETA,Creta SX Premium DT,Rear Window Sunblind,YES
HYUNDAI,CRETA,Creta SX Premium DT,Automatic Headlamps,YES
HYUNDAI,CRETA,Creta SX Premium DT,Follow Me Home Headlamps,YES
HYUNDAI,CRETA,Creta SX Premium DT,Additional Features,Sunglass holder
HYUNDAI,CRETA,Creta SX Premium DT,Voice assisted sunroof,YES
HYUNDAI,CRETA,Creta SX Premium DT,Drive Mode Types,NA
HYUNDAI,CRETA,Creta SX Premium DT,Power Windows,Front & Rear
HYUNDAI,CRETA,Creta SX Premium DT,Tachometer,YES
HYUNDAI,CRETA,Creta SX Premium DT,Glove Box,YES
HYUNDAI,CRETA,Creta SX Premium DT,Digital Odometer,YES
HYUNDAI,CRETA,Creta SX Premium DT,Dual Tone Dashboard,YES
HYUNDAI,CRETA,Creta SX Premium DT,Additional Features,Rear parcel tray
HYUNDAI,CRETA,Creta SX Premium DT,Digital Cluster,YES
HYUNDAI,CRETA,Creta SX Premium DT,Upholstery,Leatherette
HYUNDAI,CRETA,Creta SX Premium DT,Rear Window Wiper,YES
HYUNDAI,CRETA,Creta SX Premium DT,Rear Window Washer,YES
HYUNDAI,CRETA,Creta SX Premium DT,Rear Window Defogger,YES
HYUNDAI,CRETA,Creta SX Premium DT,Wheel Covers,NO
HYUNDAI,CRETA,Creta SX Premium DT,Alloy Wheels,YES
HYUNDAI,CRETA,Creta SX Premium DT,Rear Spoiler,YES
HYUNDAI,CRETA,Creta SX Premium DT,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,CRETA,Creta SX Premium DT,Integrated Antenna,YES
HYUNDAI,CRETA,Creta SX Premium DT,Projector Headlamps,NO
HYUNDAI,CRETA,Creta SX Premium DT,Roof Rails,YES
HYUNDAI,CRETA,Creta SX Premium DT,Antenna,Shark Fin
HYUNDAI,CRETA,Creta SX Premium DT,Sunroof,Panoramic
HYUNDAI,CRETA,Creta SX Premium DT,Boot Opening,Electronic
HYUNDAI,CRETA,Creta SX Premium DT,Puddle Lamps,YES
HYUNDAI,CRETA,Creta SX Premium DT,Tyre Size,215/55 R18
