company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta SX Tech DT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta SX Tech DT,Displacement,1497 cc
HYUNDAI,CRETA,Creta SX Tech DT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta SX Tech DT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta SX Tech DT,No. of Cylinders,4
HYUNDAI,CRETA,Creta SX Tech DT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta SX Tech DT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta SX Tech DT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta SX Tech DT,Turbo Charger,NO
HYUNDAI,CRETA,Creta SX Tech DT,Transmission Type,Manual
HYUNDAI,CRETA,Creta SX Tech DT,Gearbox,6-Speed
HYUNDAI,CRETA,Creta SX Tech DT,Drive Type,FWD
HYUNDAI,CRETA,Creta SX Tech DT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta SX Tech DT,Petrol Mileage ARAI,17.4 kmpl
HYUNDAI,CRETA,Creta SX Tech DT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta SX Tech DT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta SX Tech DT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta SX Tech DT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta SX Tech DT,Steering Type,Electric
HYUNDAI,CRETA,Creta SX Tech DT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta SX Tech DT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta SX Tech DT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta SX Tech DT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta SX Tech DT,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta SX Tech DT,Alloy Wheel Size Rear,18 Inch
