company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta SX Tech iVT,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta SX Tech iVT,Displacement,1497 cc
HYUNDAI,CRETA,Creta SX Tech iVT,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta SX Tech iVT,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta SX Tech iVT,No. of Cylinders,4
HYUNDAI,CRETA,Creta SX Tech iVT,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta SX Tech iVT,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta SX Tech iVT,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta SX Tech iVT,Turbo Charger,NO
HYUNDAI,CRETA,Creta SX Tech iVT,Transmission Type,Automatic
HYUNDAI,CRETA,Creta SX Tech iVT,Gearbox,6-Speed iVT
HYUNDAI,CRETA,Creta SX Tech iVT,Drive Type,FWD
HYUNDAI,CRETA,Creta SX Tech iVT,Fuel Type,Petrol
HYUNDAI,CRETA,Creta SX Tech iVT,Petrol Mileage ARAI,17.7 kmpl
HYUNDAI,CRETA,Creta SX Tech iVT,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta SX Tech iVT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta SX Tech iVT,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta SX Tech iVT,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta SX Tech iVT,Steering Type,Electric
HYUNDAI,CRETA,Creta SX Tech iVT,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta SX Tech iVT,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta SX Tech iVT,Front Brake Type,Disc
HYUNDAI,CRETA,Creta SX Tech iVT,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta SX Tech iVT,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta SX Tech iVT,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta SX Tech iVT,Length,4330 mm
HYUNDAI,CRETA,Creta SX Tech iVT,Width,1790 mm
HYUNDAI,CRETA,Creta SX Tech iVT,Height,1635 mm
HYUNDAI,CRETA,Creta SX Tech iVT,Seating Capacity,5
HYUNDAI,CRETA,Creta SX Tech iVT,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta SX Tech iVT,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta SX Tech iVT,No. of Doors,5
HYUNDAI,CRETA,Creta SX Tech iVT,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta SX Tech iVT,Power Steering,YES
HYUNDAI,CRETA,Creta SX Tech iVT,Air Conditioner,YES
HYUNDAI,CRETA,Creta SX Tech iVT,Heater,YES
HYUNDAI,CRETA,Creta SX Tech iVT,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta SX Tech iVT,Ventilated Seats,NO
HYUNDAI,CRETA,Creta SX Tech iVT,Electric Adjustable Seats,NO
HYUNDAI,CRETA,Creta SX Tech iVT,Automatic Climate Control,YES
HYUNDAI,CRETA,Creta SX Tech iVT,Accessory Power Outlet,YES
HYUNDAI,CRETA,Creta SX Tech iVT,Trunk Light,YES
HYUNDAI,CRETA,Creta SX Tech iVT,Vanity Mirror,YES
HYUNDAI,CRETA,Creta SX Tech iVT,Rear Reading Lamp,YES
HYUNDAI,CRETA,Creta SX Tech iVT,Adjustable Headrest,YES
