company,model,variant,feature_name,feature_details
HYUNDAI,CRETA,Creta SX,Engine Type,1.5L MPi
HYUNDAI,CRETA,Creta SX,Displacement,1497 cc
HYUNDAI,CRETA,Creta SX,Max Power,113.18bhp@6300rpm
HYUNDAI,CRETA,Creta SX,Max Torque,143.8Nm@4500rpm
HYUNDAI,CRETA,Creta SX,No. of Cylinders,4
HYUNDAI,CRETA,Creta SX,Valves Per Cylinder,4
HYUNDAI,CRETA,Creta SX,Valve Configuration,DOHC
HYUNDAI,CRETA,Creta SX,Fuel Supply System,MPi
HYUNDAI,CRETA,Creta SX,Turbo Charger,NO
HYUNDAI,CRETA,Creta SX,Transmission Type,Manual
HYUNDAI,CRETA,Creta SX,Gearbox,6-Speed
HYUNDAI,CRETA,Creta SX,Drive Type,FWD
HYUNDAI,CRETA,Creta SX,Fuel Type,Petrol
HYUNDAI,CRETA,Creta SX,Petrol Mileage ARAI,17.4 kmpl
HYUNDAI,CRETA,Creta SX,Petrol Fuel Tank Capacity,50 Litres
HYUNDAI,CRETA,Creta SX,Emission Norm Compliance,BS VI 2.0
HYUNDAI,CRETA,Creta SX,Front Suspension,MacPherson Strut suspension
HYUNDAI,CRETA,Creta SX,Rear Suspension,Rear twist beam
HYUNDAI,CRETA,Creta SX,Steering Type,Electric
HYUNDAI,CRETA,Creta SX,Steering Column,Tilt & Telescopic
HYUNDAI,CRETA,Creta SX,Turning Radius,5.3 m
HYUNDAI,CRETA,Creta SX,Front Brake Type,Disc
HYUNDAI,CRETA,Creta SX,Rear Brake Type,Disc
HYUNDAI,CRETA,Creta SX,Alloy Wheel Size Front,18 Inch
HYUNDAI,CRETA,Creta SX,Alloy Wheel Size Rear,18 Inch
HYUNDAI,CRETA,Creta SX,Length,4330 mm
HYUNDAI,CRETA,Creta SX,Width,1790 mm
HYUNDAI,CRETA,Creta SX,Height,1635 mm
HYUNDAI,CRETA,Creta SX,Seating Capacity,5
HYUNDAI,CRETA,Creta SX,Ground Clearance Unladen,190 mm
HYUNDAI,CRETA,Creta SX,Wheel Base,2610 mm
HYUNDAI,CRETA,Creta SX,No. of Doors,5
HYUNDAI,CRETA,Creta SX,Reported Boot Space,433 Litres
HYUNDAI,CRETA,Creta SX,Power Steering,YES
HYUNDAI,CRETA,Creta SX,Air Conditioner,YES
HYUNDAI,CRETA,Creta SX,Heater,YES
HYUNDAI,CRETA,Creta SX,Height Adjustable Driver Seat,YES
HYUNDAI,CRETA,Creta SX,Ventilated Seats,NO
HYUNDAI,CRETA,Creta SX,Electric Adjustable Seats,NO
HYUNDAI,CRETA,Creta SX,Automatic Climate Control,YES
