company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter S Smart AMT,Engine Type,1.2 l Kappa
HYUNDAI,EXTER,Exter S Smart AMT,Displacement,1197 cc
HYUNDAI,EXTER,Exter S Smart AMT,Max Power,81.8bhp@6000rpm
HYUNDAI,EXTER,Exter S Smart AMT,Max Torque,113.8Nm@4000rpm
HYUNDAI,EXTER,Exter S Smart AMT,No. of Cylinders,4
HYUNDAI,EXTER,Exter S Smart AMT,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter S Smart AMT,Transmission Type,Automatic
HYUNDAI,EXTER,Exter S Smart AMT,Gearbox,5 Speed AMT
HYUNDAI,EXTER,Exter S Smart AMT,Drive Type,FWD
HYUNDAI,EXTER,Exter S Smart AMT,Fuel Type,Petrol
HYUNDAI,EXTER,Exter S Smart AMT,Petrol Mileage ARAI,19.2 kmpl
HYUNDAI,EXTER,Exter S Smart AMT,Petrol Fuel Tank Capacity,37 Litres
HYUNDAI,EXTER,Exter S Smart AMT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter S Smart AMT,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter S Smart AMT,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter S Smart AMT,Shock Absorbers Type,Gas Type
HYUNDAI,EXTER,Exter S Smart AMT,Steering Type,Electric
HYUNDAI,EXTER,Exter S Smart AMT,Steering Column,NO
HYUNDAI,EXTER,Exter S Smart AMT,Front Brake Type,Disc
HYUNDAI,EXTER,Exter S Smart AMT,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter S Smart AMT,Length,3815 mm
HYUNDAI,EXTER,Exter S Smart AMT,Width,1710 mm
HYUNDAI,EXTER,Exter S Smart AMT,Height,1631 mm
HYUNDAI,EXTER,Exter S Smart AMT,Seating Capacity,5
HYUNDAI,EXTER,Exter S Smart AMT,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter S Smart AMT,No. of Doors,5
HYUNDAI,EXTER,Exter S Smart AMT,Reported Boot Space,391 Litres
HYUNDAI,EXTER,Exter S Smart AMT,Power Steering,YES
HYUNDAI,EXTER,Exter S Smart AMT,Air Conditioner,YES
HYUNDAI,EXTER,Exter S Smart AMT,Heater,YES
HYUNDAI,EXTER,Exter S Smart AMT,Adjustable Steering,NO
HYUNDAI,EXTER,Exter S Smart AMT,Height Adjustable Driver Seat,YES
HYUNDAI,EXTER,Exter S Smart AMT,Automatic Climate Control,NO
HYUNDAI,EXTER,Exter S Smart AMT,Accessory Power Outlet,YES
HYUNDAI,EXTER,Exter S Smart AMT,Trunk Light,NO
HYUNDAI,EXTER,Exter S Smart AMT,Vanity Mirror,YES
HYUNDAI,EXTER,Exter S Smart AMT,Rear Reading Lamp,YES
HYUNDAI,EXTER,Exter S Smart AMT,Rear Seat Headrest,Adjustable
HYUNDAI,EXTER,Exter S Smart AMT,Rear AC Vents,YES
HYUNDAI,EXTER,Exter S Smart AMT,Cruise Control,NO
HYUNDAI,EXTER,Exter S Smart AMT,Parking Sensors,Rear
HYUNDAI,EXTER,Exter S Smart AMT,Foldable Rear Seat,Bench Folding
HYUNDAI,EXTER,Exter S Smart AMT,KeyLess Entry,YES
HYUNDAI,EXTER,Exter S Smart AMT,Engine Start/Stop Button,NO
HYUNDAI,EXTER,Exter S Smart AMT,Cooled Glovebox,NO
HYUNDAI,EXTER,Exter S Smart AMT,Voice Commands,YES
HYUNDAI,EXTER,Exter S Smart AMT,Paddle Shifters,NO
HYUNDAI,EXTER,Exter S Smart AMT,USB Charger,Front
HYUNDAI,EXTER,Exter S Smart AMT,Tailgate Ajar Warning,YES
HYUNDAI,EXTER,Exter S Smart AMT,Luggage Hook & Net,YES
HYUNDAI,EXTER,Exter S Smart AMT,Battery Saver,YES
HYUNDAI,EXTER,Exter S Smart AMT,Idle Start-Stop System,YES
HYUNDAI,EXTER,Exter S Smart AMT,Rear Window Sunblind,NO
HYUNDAI,EXTER,Exter S Smart AMT,Rear Windscreen Sunblind,NO
HYUNDAI,EXTER,Exter S Smart AMT,Automatic Headlamps,NO
HYUNDAI,EXTER,Exter S Smart AMT,Follow Me Home Headlamps,YES
HYUNDAI,EXTER,Exter S Smart AMT,Additional Features,Rear parcel tray
HYUNDAI,EXTER,Exter S Smart AMT,Voice assisted sunroof,NO
HYUNDAI,EXTER,Exter S Smart AMT,Power Windows,Front & Rear
HYUNDAI,EXTER,Exter S Smart AMT,Tachometer,YES
HYUNDAI,EXTER,Exter S Smart AMT,Glove Box,YES
HYUNDAI,EXTER,Exter S Smart AMT,Digital Cluster,YES
HYUNDAI,EXTER,Exter S Smart AMT,Upholstery,Fabric
HYUNDAI,EXTER,Exter S Smart AMT,Adjustable Headlamps,YES
HYUNDAI,EXTER,Exter S Smart AMT,Rear Window Wiper,NO
HYUNDAI,EXTER,Exter S Smart AMT,Rear Window Washer,NO
HYUNDAI,EXTER,Exter S Smart AMT,Rear Window Defogger,NO
HYUNDAI,EXTER,Exter S Smart AMT,Wheel Covers,YES
HYUNDAI,EXTER,Exter S Smart AMT,Alloy Wheels,NO
HYUNDAI,EXTER,Exter S Smart AMT,Rear Spoiler,NO
HYUNDAI,EXTER,Exter S Smart AMT,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,EXTER,Exter S Smart AMT,Projector Headlamps,NO
HYUNDAI,EXTER,Exter S Smart AMT,Halogen Headlamps,YES
HYUNDAI,EXTER,Exter S Smart AMT,Roof Rails,NO
HYUNDAI,EXTER,Exter S Smart AMT,Antenna,Micro pole
HYUNDAI,EXTER,Exter S Smart AMT,Sunroof,NO
HYUNDAI,EXTER,Exter S Smart AMT,Boot Opening,Electronic
HYUNDAI,EXTER,Exter S Smart AMT,Outside Rear View Mirror (ORVM),Powered & Folding
HYUNDAI,EXTER,Exter S Smart AMT,Tyre Size,165/70 R14
HYUNDAI,EXTER,Exter S Smart AMT,Tyre Type,Radial Tubeless
HYUNDAI,EXTER,Exter S Smart AMT,Wheel Size,14 Inch
HYUNDAI,EXTER,Exter S Smart AMT,LED DRLs,YES
HYUNDAI,EXTER,Exter S Smart AMT,LED Taillights,YES
HYUNDAI,EXTER,Exter S Smart AMT,Anti-lock Braking System (ABS),YES
HYUNDAI,EXTER,Exter S Smart AMT,Central Locking,YES
HYUNDAI,EXTER,Exter S Smart AMT,Child Safety Locks,YES
HYUNDAI,EXTER,Exter S Smart AMT,Anti-Theft Alarm,YES
HYUNDAI,EXTER,Exter S Smart AMT,No. of Airbags,6
HYUNDAI,EXTER,Exter S Smart AMT,Driver Airbag,YES
HYUNDAI,EXTER,Exter S Smart AMT,Passenger Airbag,YES
HYUNDAI,EXTER,Exter S Smart AMT,Side Airbag,YES
HYUNDAI,EXTER,Exter S Smart AMT,Side Airbag-Rear,NO
HYUNDAI,EXTER,Exter S Smart AMT,Day & Night Rear View Mirror,YES
HYUNDAI,EXTER,Exter S Smart AMT,Curtain Airbag,YES
HYUNDAI,EXTER,Exter S Smart AMT,Electronic Brakeforce Distribution (EBD),YES
HYUNDAI,EXTER,Exter S Smart AMT,Seat Belt Warning,YES
HYUNDAI,EXTER,Exter S Smart AMT,Door Ajar Warning,YES
HYUNDAI,EXTER,Exter S Smart AMT,Tyre Pressure Monitoring System (TPMS),YES
HYUNDAI,EXTER,Exter S Smart AMT,Engine Immobilizer,YES
HYUNDAI,EXTER,Exter S Smart AMT,Electronic Stability Control (ESC),YES
HYUNDAI,EXTER,Exter S Smart AMT,Rear Camera,NO
HYUNDAI,EXTER,Exter S Smart AMT,Anti-Theft Device,YES
HYUNDAI,EXTER,Exter S Smart AMT,Speed Alert,YES
HYUNDAI,EXTER,Exter S Smart AMT,Speed Sensing Auto Door Lock,YES
HYUNDAI,EXTER,Exter S Smart AMT,ISOFIX Child Seat Mounts,YES
HYUNDAI,EXTER,Exter S Smart AMT,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
HYUNDAI,EXTER,Exter S Smart AMT,Hill Assist,YES
HYUNDAI,EXTER,Exter S Smart AMT,Impact Sensing Auto Door Unlock,YES
HYUNDAI,EXTER,Exter S Smart AMT,Radio,NO
HYUNDAI,EXTER,Exter S Smart AMT,Wireless Phone Charging,NO
HYUNDAI,EXTER,Exter S Smart AMT,Bluetooth Connectivity,NO
HYUNDAI,EXTER,Exter S Smart AMT,Touchscreen,NO
HYUNDAI,EXTER,Exter S Smart AMT,Touchscreen Size,inch
HYUNDAI,EXTER,Exter S Smart AMT,Android Auto,NO
HYUNDAI,EXTER,Exter S Smart AMT,Apple CarPlay,NO
HYUNDAI,EXTER,Exter S Smart AMT,Usb Ports,YES
HYUNDAI,EXTER,Exter S Smart AMT,Inbuilt Apps,NO
HYUNDAI,EXTER,Exter S Smart AMT,Speakers,Front & Rear
