company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter SX AMT,Engine Type,1.2 l Kappa
HYUNDAI,EXTER,Exter SX AMT,Displacement,1197 cc
HYUNDAI,EXTER,Exter SX AMT,Max Power,81.8bhp@6000rpm
HYUNDAI,EXTER,Exter SX AMT,Max Torque,113.8Nm@4000rpm
HYUNDAI,EXTER,Exter SX AMT,No. of Cylinders,4
HYUNDAI,EXTER,Exter SX AMT,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter SX AMT,Transmission Type,Automatic
HYUNDAI,EXTER,Exter SX AMT,Gearbox,5 Speed AMT
HYUNDAI,EXTER,Exter SX AMT,Drive Type,FWD
HYUNDAI,EXTER,Exter SX AMT,Fuel Type,Petrol
HYUNDAI,EXTER,Exter SX AMT,Petrol Mileage ARAI,19.2 kmpl
HYUNDAI,EXTER,Exter SX AMT,Petrol Fuel Tank Capacity,37 Litres
HYUNDAI,EXTER,Exter SX AMT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter SX AMT,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter SX AMT,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter SX AMT,Shock Absorbers Type,Gas Type
HYUNDAI,EXTER,Exter SX AMT,Steering Type,Electric
HYUNDAI,EXTER,Exter SX AMT,Steering Column,Tilt
HYUNDAI,EXTER,Exter SX AMT,Front Brake Type,Disc
HYUNDAI,EXTER,Exter SX AMT,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter SX AMT,Length,3815 mm
HYUNDAI,EXTER,Exter SX AMT,Width,1710 mm
HYUNDAI,EXTER,Exter SX AMT,Height,1631 mm
HYUNDAI,EXTER,Exter SX AMT,Seating Capacity,5
HYUNDAI,EXTER,Exter SX AMT,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter SX AMT,No. of Doors,5
HYUNDAI,EXTER,Exter SX AMT,Reported Boot Space,391 Litres
HYUNDAI,EXTER,Exter SX AMT,Power Steering,YES
HYUNDAI,EXTER,Exter SX AMT,Air Conditioner,YES
HYUNDAI,EXTER,Exter SX AMT,Heater,YES
HYUNDAI,EXTER,Exter SX AMT,Height Adjustable Driver Seat,YES
HYUNDAI,EXTER,Exter SX AMT,Automatic Climate Control,YES
HYUNDAI,EXTER,Exter SX AMT,Accessory Power Outlet,YES
HYUNDAI,EXTER,Exter SX AMT,Trunk Light,NO
HYUNDAI,EXTER,Exter SX AMT,Vanity Mirror,YES
HYUNDAI,EXTER,Exter SX AMT,Rear Reading Lamp,YES
HYUNDAI,EXTER,Exter SX AMT,Rear Seat Headrest,Adjustable
HYUNDAI,EXTER,Exter SX AMT,Rear AC Vents,YES
HYUNDAI,EXTER,Exter SX AMT,Cruise Control,YES
HYUNDAI,EXTER,Exter SX AMT,Parking Sensors,Rear
HYUNDAI,EXTER,Exter SX AMT,Foldable Rear Seat,Bench Folding
HYUNDAI,EXTER,Exter SX AMT,KeyLess Entry,YES
HYUNDAI,EXTER,Exter SX AMT,Engine Start/Stop Button,NO
HYUNDAI,EXTER,Exter SX AMT,Cooled Glovebox,NO
HYUNDAI,EXTER,Exter SX AMT,Voice Commands,YES
HYUNDAI,EXTER,Exter SX AMT,Paddle Shifters,YES
HYUNDAI,EXTER,Exter SX AMT,USB Charger,Front
HYUNDAI,EXTER,Exter SX AMT,Tailgate Ajar Warning,YES
HYUNDAI,EXTER,Exter SX AMT,Luggage Hook & Net,YES
HYUNDAI,EXTER,Exter SX AMT,Idle Start-Stop System,YES
HYUNDAI,EXTER,Exter SX AMT,Automatic Headlamps,NO
HYUNDAI,EXTER,Exter SX AMT,Follow Me Home Headlamps,YES
HYUNDAI,EXTER,Exter SX AMT,Additional Features,Rear parcel tray
HYUNDAI,EXTER,Exter SX AMT,Voice assisted sunroof,NO
