company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter SX Opt AMT,Engine Type,1.2 l Kappa
HYUNDAI,EXTER,Exter SX Opt AMT,Displacement,1197 cc
HYUNDAI,EXTER,Exter SX Opt AMT,Max Power,81.8bhp@6000rpm
HYUNDAI,EXTER,Exter SX Opt AMT,Max Torque,113.8Nm@4000rpm
HYUNDAI,EXTER,Exter SX Opt AMT,No. of Cylinders,4
HYUNDAI,EXTER,Exter SX Opt AMT,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter SX Opt AMT,Transmission Type,Automatic
HYUNDAI,EXTER,Exter SX Opt AMT,Gearbox,5 Speed AMT
HYUNDAI,EXTER,Exter SX Opt AMT,Drive Type,FWD
HYUNDAI,EXTER,Exter SX Opt AMT,Fuel Type,Petrol
HYUNDAI,EXTER,Exter SX Opt AMT,Petrol Mileage ARAI,19.2 kmpl
HYUNDAI,EXTER,Exter SX Opt AMT,Petrol Fuel Tank Capacity,37 Litres
HYUNDAI,EXTER,Exter SX Opt AMT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter SX Opt AMT,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter SX Opt AMT,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter SX Opt AMT,Shock Absorbers Type,Gas type
HYUNDAI,EXTER,Exter SX Opt AMT,Steering Type,Electric
HYUNDAI,EXTER,Exter SX Opt AMT,Steering Column,Tilt
HYUNDAI,EXTER,Exter SX Opt AMT,Front Brake Type,Disc
HYUNDAI,EXTER,Exter SX Opt AMT,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter SX Opt AMT,Alloy Wheel Size Front,15 Inch
HYUNDAI,EXTER,Exter SX Opt AMT,Alloy Wheel Size Rear,15 Inch
HYUNDAI,EXTER,Exter SX Opt AMT,Length,3815 mm
HYUNDAI,EXTER,Exter SX Opt AMT,Width,1710 mm
HYUNDAI,EXTER,Exter SX Opt AMT,Height,1631 mm
HYUNDAI,EXTER,Exter SX Opt AMT,Seating Capacity,5
HYUNDAI,EXTER,Exter SX Opt AMT,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter SX Opt AMT,No. of Doors,5
HYUNDAI,EXTER,Exter SX Opt AMT,Reported Boot Space,391 Litres
HYUNDAI,EXTER,Exter SX Opt AMT,Power Steering,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Air Conditioner,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Heater,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Height Adjustable Driver Seat,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Automatic Climate Control,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Accessory Power Outlet,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Trunk Light,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Vanity Mirror,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Rear Reading Lamp,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Rear Seat Headrest,Adjustable
HYUNDAI,EXTER,Exter SX Opt AMT,Rear AC Vents,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Cruise Control,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Parking Sensors,Rear
HYUNDAI,EXTER,Exter SX Opt AMT,Foldable Rear Seat,Bench Folding
HYUNDAI,EXTER,Exter SX Opt AMT,KeyLess Entry,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Engine Start/Stop Button,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Cooled Glovebox,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Voice Commands,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Paddle Shifters,YES
HYUNDAI,EXTER,Exter SX Opt AMT,USB Charger,Front
HYUNDAI,EXTER,Exter SX Opt AMT,Tailgate Ajar Warning,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Luggage Hook & Net,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Battery Saver,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Idle Start-Stop System,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Automatic Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Follow Me Home Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Additional Features,Rear parcel tray
HYUNDAI,EXTER,Exter SX Opt AMT,Voice assisted sunroof,NO
HYUNDAI,EXTER,Exter SX Opt AMT,Power Windows,Front & Rear
HYUNDAI,EXTER,Exter SX Opt AMT,Tachometer,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Glove Box,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Digital Cluster,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Upholstery,Leatherette
HYUNDAI,EXTER,Exter SX Opt AMT,Adjustable Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Rear Window Wiper,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Rear Window Washer,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Rear Window Defogger,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Wheel Covers,NO
HYUNDAI,EXTER,Exter SX Opt AMT,Alloy Wheels,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Rear Spoiler,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Projector Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Halogen Headlamps,NO
HYUNDAI,EXTER,Exter SX Opt AMT,Roof Rails,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Antenna,Shark fin
HYUNDAI,EXTER,Exter SX Opt AMT,Sunroof,Single Pane
HYUNDAI,EXTER,Exter SX Opt AMT,Boot Opening,Electronic
HYUNDAI,EXTER,Exter SX Opt AMT,Outside Rear View Mirror (ORVM),Powered & Folding
HYUNDAI,EXTER,Exter SX Opt AMT,Tyre Size,175/65 R15
HYUNDAI,EXTER,Exter SX Opt AMT,Tyre Type,Radial Tubeless
HYUNDAI,EXTER,Exter SX Opt AMT,LED DRLs,YES
HYUNDAI,EXTER,Exter SX Opt AMT,LED Taillights,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Anti-lock Braking System (ABS),YES
HYUNDAI,EXTER,Exter SX Opt AMT,Central Locking,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Child Safety Locks,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Anti-Theft Alarm,YES
HYUNDAI,EXTER,Exter SX Opt AMT,No. of Airbags,6
HYUNDAI,EXTER,Exter SX Opt AMT,Driver Airbag,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Passenger Airbag,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Side Airbag,YES
HYUNDAI,EXTER,Exter SX Opt AMT,Side Airbag-Rear,NO
HYUNDAI,EXTER,Exter SX Opt AMT,Day & Night Rear View Mirror,YES
