company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Engine Type,1.2 l Kappa
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Displacement,1197 cc
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Max Power,81.8bhp@6000rpm
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Max Torque,113.8Nm@4000rpm
HYUNDAI,EXTER,Exter SX Opt Connect Knight,No. of Cylinders,4
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Transmission Type,Manual
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Gearbox,5-Speed
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Drive Type,FWD
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Fuel Type,Petrol
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Petrol Mileage ARAI,19.4 kmpl
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Petrol Fuel Tank Capacity,37 Litres
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Shock Absorbers Type,Gas Type
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Steering Type,Electric
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Steering Column,Tilt
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Front Brake Type,Disc
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Alloy Wheel Size Front,15 Inch
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Alloy Wheel Size Rear,15 Inch
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Length,3815 mm
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Width,1710 mm
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Height,1631 mm
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Seating Capacity,5
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter SX Opt Connect Knight,No. of Doors,5
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Reported Boot Space,391 Litres
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Power Steering,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Air Conditioner,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Heater,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Height Adjustable Driver Seat,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Automatic Climate Control,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Accessory Power Outlet,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Trunk Light,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Vanity Mirror,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Rear Reading Lamp,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Rear Seat Headrest,Adjustable
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Rear AC Vents,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Cruise Control,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Parking Sensors,Rear
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Foldable Rear Seat,Bench Folding
HYUNDAI,EXTER,Exter SX Opt Connect Knight,KeyLess Entry,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Engine Start/Stop Button,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Cooled Glovebox,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Voice Commands,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Paddle Shifters,NO
HYUNDAI,EXTER,Exter SX Opt Connect Knight,USB Charger,Front
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Tailgate Ajar Warning,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Luggage Hook & Net,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Battery Saver,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Idle Start-Stop System,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Automatic Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Follow Me Home Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Additional Features,Rear parcel tray
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Voice assisted sunroof,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Power Windows,Front & Rear
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Tachometer,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Glove Box,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Digital Cluster,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Upholstery,Leatherette
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Adjustable Headlamps,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Rear Window Wiper,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Rear Window Washer,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Rear Window Defogger,YES
HYUNDAI,EXTER,Exter SX Opt Connect Knight,Wheel Covers,NO
