company,model,variant,feature_name,feature_details
HYUNDAI,EXTER,Exter SX Opt,Engine Type,1.2 l Kappa
HYUNDAI,EXTER,Exter SX Opt,Displacement,1197 cc
HYUNDAI,EXTER,Exter SX Opt,Max Power,81.8bhp@6000rpm
HYUNDAI,EXTER,Exter SX Opt,Max Torque,113.8Nm@4000rpm
HYUNDAI,EXTER,Exter SX Opt,No. of Cylinders,4
HYUNDAI,EXTER,Exter SX Opt,Valves Per Cylinder,4
HYUNDAI,EXTER,Exter SX Opt,Transmission Type,Manual
HYUNDAI,EXTER,Exter SX Opt,Gearbox,5-Speed
HYUNDAI,EXTER,Exter SX Opt,Drive Type,FWD
HYUNDAI,EXTER,Exter SX Opt,Fuel Type,Petrol
HYUNDAI,EXTER,Exter SX Opt,Petrol Mileage ARAI,19.4 kmpl
HYUNDAI,EXTER,Exter SX Opt,Petrol Fuel Tank Capacity,37 Litres
HYUNDAI,EXTER,Exter SX Opt,Emission Norm Compliance,BS VI 2.0
HYUNDAI,EXTER,Exter SX Opt,Front Suspension,MacPherson Strut suspension
HYUNDAI,EXTER,Exter SX Opt,Rear Suspension,Rear twist beam
HYUNDAI,EXTER,Exter SX Opt,Shock Absorbers Type,Gas Type
HYUNDAI,EXTER,Exter SX Opt,Steering Type,Electric
HYUNDAI,EXTER,Exter SX Opt,Steering Column,Tilt
HYUNDAI,EXTER,Exter SX Opt,Front Brake Type,Disc
HYUNDAI,EXTER,Exter SX Opt,Rear Brake Type,Drum
HYUNDAI,EXTER,Exter SX Opt,Alloy Wheel Size Front,15 Inch
HYUNDAI,EXTER,Exter SX Opt,Alloy Wheel Size Rear,15 Inch
HYUNDAI,EXTER,Exter SX Opt,Length,3815 mm
HYUNDAI,EXTER,Exter SX Opt,Width,1710 mm
HYUNDAI,EXTER,Exter SX Opt,Height,1631 mm
HYUNDAI,EXTER,Exter SX Opt,Seating Capacity,5
HYUNDAI,EXTER,Exter SX Opt,Wheel Base,2450 mm
HYUNDAI,EXTER,Exter SX Opt,No. of Doors,5
HYUNDAI,EXTER,Exter SX Opt,Reported Boot Space,391 Litres
HYUNDAI,EXTER,Exter SX Opt,Power Steering,YES
HYUNDAI,EXTER,Exter SX Opt,Air Conditioner,YES
HYUNDAI,EXTER,Exter SX Opt,Heater,YES
HYUNDAI,EXTER,Exter SX Opt,Height Adjustable Driver Seat,YES
HYUNDAI,EXTER,Exter SX Opt,Automatic Climate Control,YES
HYUNDAI,EXTER,Exter SX Opt,Accessory Power Outlet,YES
