company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Engine Type,U2 1.5 l CRDi
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Displacement,1493 cc
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Max Power,114bhp@4000rpm
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Max Torque,250Nm@1500-2750rpm
HYUNDAI,VENUE,Venue HX 10 Diesel AT,No. of Cylinders,4
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Fuel Supply System,CRDi
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Turbo Charger,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Transmission Type,Automatic
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Gearbox,6 -Speed AT
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Fuel Type,Diesel
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Diesel Mileage ARAI,17.9 kmpl
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Diesel Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Rear Brake Type,Disc
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Alloy Wheel Size Front,16 Inch
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Alloy Wheel Size Rear,16 Inch
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Length,3995 mm
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Width,1800 mm
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Height,1665 mm
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 10 Diesel AT,No. of Doors,5
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Power Steering,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Heater,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Height Adjustable Driver Seat,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Ventilated Seats,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Electric Adjustable Seats,Front
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Automatic Climate Control,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Accessory Power Outlet,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Trunk Light,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Vanity Mirror,NO
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Rear Seat Headrest,Adjustable
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Adjustable Headrest,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Rear Seat Centre Arm Rest,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Rear AC Vents,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Cruise Control,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Parking Sensors,Front & Rear
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Foldable Rear Seat,60:40 Split
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Smart Access Card Entry,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,KeyLess Entry,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Engine Start/Stop Button,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Cooled Glovebox,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Voice Commands,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Paddle Shifters,YES
HYUNDAI,VENUE,Venue HX 10 Diesel AT,USB Charger,Front & Rear
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Central Console Armrest,With Storage
HYUNDAI,VENUE,Venue HX 10 Diesel AT,Drive Modes,3
