company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Engine Type,1.0 l Kappa Turbo
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Displacement,998 cc
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Max Power,118bhp@6000rpm
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Max Torque,172Nm@1500-4000rpm
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,No. of Cylinders,3
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Fuel Supply System,GDi
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Turbo Charger,YES
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Transmission Type,Automatic
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Gearbox,7-Speed DCT
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Fuel Type,Petrol
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Petrol Mileage ARAI,20 kmpl
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Petrol Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 10 Turbo DCT Dual Tone,Front Brake Type,Disc
