company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 2,Engine Type,1.2 l Kappa MPi
HYUNDAI,VENUE,Venue HX 2,Displacement,1197 cc
HYUNDAI,VENUE,Venue HX 2,Max Power,82bhp@6000rpm
HYUNDAI,VENUE,Venue HX 2,Max Torque,114.7Nm@4200rpm
HYUNDAI,VENUE,Venue HX 2,No. of Cylinders,4
HYUNDAI,VENUE,Venue HX 2,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 2,Fuel Supply System,MPi
HYUNDAI,VENUE,Venue HX 2,Turbo Charger,NO
HYUNDAI,VENUE,Venue HX 2,Transmission Type,Manual
HYUNDAI,VENUE,Venue HX 2,Gearbox,5-Speed
HYUNDAI,VENUE,Venue HX 2,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 2,Fuel Type,Petrol
HYUNDAI,VENUE,Venue HX 2,Petrol Mileage ARAI,18.5 kmpl
HYUNDAI,VENUE,Venue HX 2,Petrol Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 2,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 2,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 2,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 2,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 2,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 2,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 2,Rear Brake Type,Drum
HYUNDAI,VENUE,Venue HX 2,Length,3995 mm
HYUNDAI,VENUE,Venue HX 2,Width,1800 mm
HYUNDAI,VENUE,Venue HX 2,Height,1665 mm
HYUNDAI,VENUE,Venue HX 2,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 2,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 2,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 2,No. of Doors,5
HYUNDAI,VENUE,Venue HX 2,Power Steering,YES
HYUNDAI,VENUE,Venue HX 2,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 2,Heater,YES
HYUNDAI,VENUE,Venue HX 2,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 2,Height Adjustable Driver Seat,NO
HYUNDAI,VENUE,Venue HX 2,Ventilated Seats,NO
HYUNDAI,VENUE,Venue HX 2,Electric Adjustable Seats,NO
HYUNDAI,VENUE,Venue HX 2,Automatic Climate Control,NO
HYUNDAI,VENUE,Venue HX 2,Accessory Power Outlet,YES
HYUNDAI,VENUE,Venue HX 2,Trunk Light,NO
HYUNDAI,VENUE,Venue HX 2,Vanity Mirror,NO
HYUNDAI,VENUE,Venue HX 2,Rear Seat Headrest,Integrated
HYUNDAI,VENUE,Venue HX 2,Adjustable Headrest,YES
HYUNDAI,VENUE,Venue HX 2,Rear Seat Centre Arm Rest,NO
HYUNDAI,VENUE,Venue HX 2,Rear AC Vents,YES
HYUNDAI,VENUE,Venue HX 2,Cruise Control,NO
HYUNDAI,VENUE,Venue HX 2,Parking Sensors,Rear
HYUNDAI,VENUE,Venue HX 2,Foldable Rear Seat,Bench Folding
HYUNDAI,VENUE,Venue HX 2,Smart Access Card Entry,YES
HYUNDAI,VENUE,Venue HX 2,KeyLess Entry,YES
HYUNDAI,VENUE,Venue HX 2,Engine Start/Stop Button,NO
HYUNDAI,VENUE,Venue HX 2,Cooled Glovebox,NO
HYUNDAI,VENUE,Venue HX 2,Voice Commands,YES
HYUNDAI,VENUE,Venue HX 2,Paddle Shifters,NO
HYUNDAI,VENUE,Venue HX 2,USB Charger,Front & Rear
HYUNDAI,VENUE,Venue HX 2,Central Console Armrest,NO
HYUNDAI,VENUE,Venue HX 2,Drive Modes,NO
HYUNDAI,VENUE,Venue HX 2,Idle Start-Stop System,NO
