company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 5 Diesel,Engine Type,U2 1.5 l CRDi
HYUNDAI,VENUE,Venue HX 5 Diesel,Displacement,1493 cc
HYUNDAI,VENUE,Venue HX 5 Diesel,Max Power,114bhp@4000rpm
HYUNDAI,VENUE,Venue HX 5 Diesel,Max Torque,250Nm@1500-2750rpm
HYUNDAI,VENUE,Venue HX 5 Diesel,No. of Cylinders,4
HYUNDAI,VENUE,Venue HX 5 Diesel,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 5 Diesel,Fuel Supply System,CRDi
HYUNDAI,VENUE,Venue HX 5 Diesel,Turbo Charger,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Transmission Type,Manual
HYUNDAI,VENUE,Venue HX 5 Diesel,Gearbox,6 - Speed
HYUNDAI,VENUE,Venue HX 5 Diesel,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 5 Diesel,Fuel Type,Diesel
HYUNDAI,VENUE,Venue HX 5 Diesel,Diesel Mileage ARAI,20.99 kmpl
HYUNDAI,VENUE,Venue HX 5 Diesel,Diesel Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 5 Diesel,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 5 Diesel,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 5 Diesel,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 5 Diesel,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 5 Diesel,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 5 Diesel,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 5 Diesel,Rear Brake Type,Drum
HYUNDAI,VENUE,Venue HX 5 Diesel,Length,3995 mm
HYUNDAI,VENUE,Venue HX 5 Diesel,Width,1800 mm
HYUNDAI,VENUE,Venue HX 5 Diesel,Height,1665 mm
HYUNDAI,VENUE,Venue HX 5 Diesel,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 5 Diesel,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 5 Diesel,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 5 Diesel,No. of Doors,5
HYUNDAI,VENUE,Venue HX 5 Diesel,Power Steering,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Heater,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 5 Diesel,Height Adjustable Driver Seat,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Ventilated Seats,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Electric Adjustable Seats,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Automatic Climate Control,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Accessory Power Outlet,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Trunk Light,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Vanity Mirror,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Rear Seat Headrest,Integrated
HYUNDAI,VENUE,Venue HX 5 Diesel,Adjustable Headrest,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Rear Seat Centre Arm Rest,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Rear AC Vents,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Cruise Control,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Parking Sensors,Rear
HYUNDAI,VENUE,Venue HX 5 Diesel,Foldable Rear Seat,Bench Folding
HYUNDAI,VENUE,Venue HX 5 Diesel,Smart Access Card Entry,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,KeyLess Entry,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Engine Start/Stop Button,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Cooled Glovebox,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Voice Commands,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Paddle Shifters,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,USB Charger,Front & Rear
HYUNDAI,VENUE,Venue HX 5 Diesel,Central Console Armrest,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Luggage Hook & Net,YES
HYUNDAI,VENUE,Venue HX 5 Diesel,Drive Modes,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Idle Start-Stop System,NO
HYUNDAI,VENUE,Venue HX 5 Diesel,Rear Window Sunblind,NO
