company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Engine Type,1.2 l Kappa MPi
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Displacement,1197 cc
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Max Power,82bhp@6000rpm
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Max Torque,114.7Nm@4200rpm
HYUNDAI,VENUE,Venue HX 6 Dual Tone,No. of Cylinders,4
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Fuel Supply System,MPi
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Turbo Charger,NO
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Transmission Type,Manual
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Gearbox,5-Speed
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Fuel Type,Petrol
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Petrol Mileage ARAI,18.5 kmpl
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Petrol Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Rear Brake Type,Drum
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Length,3995 mm
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Width,1800 mm
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Height,1665 mm
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 6 Dual Tone,No. of Doors,5
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Power Steering,YES
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Heater,YES
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 6 Dual Tone,Height Adjustable Driver Seat,YES
