company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Engine Type,1.0 l Kappa Turbo
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Displacement,998 cc
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Max Power,118bhp@6000rpm
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Max Torque,172Nm@1500-4000rpm
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,No. of Cylinders,3
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Fuel Supply System,GDi
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Turbo Charger,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Transmission Type,Automatic
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Gearbox,7-Speed DCT
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Fuel Type,Petrol
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Petrol Mileage ARAI,20 kmpl
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Petrol Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Rear Brake Type,Drum
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Length,3995 mm
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Width,1800 mm
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Height,1665 mm
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,No. of Doors,5
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Power Steering,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Heater,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Height Adjustable Driver Seat,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Ventilated Seats,NO
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Electric Adjustable Seats,NO
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Automatic Climate Control,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Accessory Power Outlet,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Trunk Light,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Vanity Mirror,NO
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Rear Seat Headrest,Adjustable
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Adjustable Headrest,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Rear Seat Centre Arm Rest,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Rear AC Vents,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Cruise Control,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Parking Sensors,Rear
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Foldable Rear Seat,60:40 Split
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Smart Access Card Entry,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,KeyLess Entry,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Engine Start/Stop Button,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Cooled Glovebox,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Voice Commands,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Paddle Shifters,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,USB Charger,Front & Rear
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Central Console Armrest,With Storage
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Drive Modes,NO
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Idle Start-Stop System,NO
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Rear Window Sunblind,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Automatic Headlamps,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Follow Me Home Headlamps,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Voice assisted sunroof,NO
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Drive Mode Types,##changes##
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Power Windows,Front & Rear
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Cup Holders,Front & Rear
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Tachometer,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Glove Box,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Additional Features,Rear parcel tray
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Digital Cluster,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Digital Cluster Size,10.66
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Upholstery,Fabric
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Rear Window Wiper,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Rear Window Washer,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Rear Window Defogger,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Wheel Covers,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Alloy Wheels,NO
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Rear Spoiler,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Outside Rear View Mirror Turn Indicators,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Chrome Grille,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Projector Headlamps,NO
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Roof Rails,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Automatic Headlamps,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Antenna,Shark Fin
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Sunroof,Single Pane
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Puddle Lamps,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Outside Rear View Mirror (ORVM),Powered & Folding
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Tyre Size,215/60 R16
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Tyre Type,Tubeless Radial
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Wheel Size,16 Inch
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,LED DRLs,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,LED Headlamps,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,LED Taillights,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Anti-lock Braking System (ABS),YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Central Locking,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Child Safety Locks,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Anti-Theft Alarm,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,No. of Airbags,6
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Driver Airbag,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Passenger Airbag,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Side Airbag,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Side Airbag-Rear,NO
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Day & Night Rear View Mirror,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Curtain Airbag,YES
HYUNDAI,VENUE,Venue HX 6 Turbo DCT,Electronic Brakeforce Distribution (EBD),YES
