company,model,variant,feature_name,feature_details
HYUNDAI,VENUE,Venue HX 8 Turbo,Engine Type,1.0 l Kappa Turbo
HYUNDAI,VENUE,Venue HX 8 Turbo,Displacement,998 cc
HYUNDAI,VENUE,Venue HX 8 Turbo,Max Power,118bhp@6000rpm
HYUNDAI,VENUE,Venue HX 8 Turbo,Max Torque,172Nm@1500-4000rpm
HYUNDAI,VENUE,Venue HX 8 Turbo,No. of Cylinders,3
HYUNDAI,VENUE,Venue HX 8 Turbo,Valves Per Cylinder,4
HYUNDAI,VENUE,Venue HX 8 Turbo,Fuel Supply System,GDi
HYUNDAI,VENUE,Venue HX 8 Turbo,Turbo Charger,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Transmission Type,Manual
HYUNDAI,VENUE,Venue HX 8 Turbo,Gearbox,6-Speed
HYUNDAI,VENUE,Venue HX 8 Turbo,Drive Type,FWD
HYUNDAI,VENUE,Venue HX 8 Turbo,Fuel Type,Petrol
HYUNDAI,VENUE,Venue HX 8 Turbo,Petrol Mileage ARAI,18.74 kmpl
HYUNDAI,VENUE,Venue HX 8 Turbo,Petrol Fuel Tank Capacity,45 Litres
HYUNDAI,VENUE,Venue HX 8 Turbo,Emission Norm Compliance,BS VI 2.0
HYUNDAI,VENUE,Venue HX 8 Turbo,Front Suspension,MacPherson Strut suspension
HYUNDAI,VENUE,Venue HX 8 Turbo,Rear Suspension,Rear twist beam
HYUNDAI,VENUE,Venue HX 8 Turbo,Steering Type,Electric
HYUNDAI,VENUE,Venue HX 8 Turbo,Steering Column,Tilt
HYUNDAI,VENUE,Venue HX 8 Turbo,Front Brake Type,Disc
HYUNDAI,VENUE,Venue HX 8 Turbo,Rear Brake Type,Drum
HYUNDAI,VENUE,Venue HX 8 Turbo,Alloy Wheel Size Front,16 Inch
HYUNDAI,VENUE,Venue HX 8 Turbo,Alloy Wheel Size Rear,16 Inch
HYUNDAI,VENUE,Venue HX 8 Turbo,Length,3995 mm
HYUNDAI,VENUE,Venue HX 8 Turbo,Width,1800 mm
HYUNDAI,VENUE,Venue HX 8 Turbo,Height,1665 mm
HYUNDAI,VENUE,Venue HX 8 Turbo,Boot Space,375 Litres
HYUNDAI,VENUE,Venue HX 8 Turbo,Seating Capacity,5
HYUNDAI,VENUE,Venue HX 8 Turbo,Wheel Base,2520 mm
HYUNDAI,VENUE,Venue HX 8 Turbo,No. of Doors,5
HYUNDAI,VENUE,Venue HX 8 Turbo,Power Steering,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Air Conditioner,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Heater,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Adjustable Steering,Height only
HYUNDAI,VENUE,Venue HX 8 Turbo,Height Adjustable Driver Seat,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Ventilated Seats,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Electric Adjustable Seats,Front
HYUNDAI,VENUE,Venue HX 8 Turbo,Automatic Climate Control,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Accessory Power Outlet,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Trunk Light,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Vanity Mirror,NO
HYUNDAI,VENUE,Venue HX 8 Turbo,Rear Seat Headrest,Adjustable
HYUNDAI,VENUE,Venue HX 8 Turbo,Adjustable Headrest,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Rear Seat Centre Arm Rest,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Rear AC Vents,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Cruise Control,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Parking Sensors,Rear
HYUNDAI,VENUE,Venue HX 8 Turbo,Foldable Rear Seat,60:40 Split
HYUNDAI,VENUE,Venue HX 8 Turbo,Smart Access Card Entry,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,KeyLess Entry,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Engine Start/Stop Button,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Cooled Glovebox,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Voice Commands,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Paddle Shifters,NO
HYUNDAI,VENUE,Venue HX 8 Turbo,USB Charger,Front & Rear
HYUNDAI,VENUE,Venue HX 8 Turbo,Central Console Armrest,With Storage
HYUNDAI,VENUE,Venue HX 8 Turbo,Drive Modes,NO
HYUNDAI,VENUE,Venue HX 8 Turbo,Idle Start-Stop System,NO
HYUNDAI,VENUE,Venue HX 8 Turbo,Rear Window Sunblind,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Automatic Headlamps,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Follow Me Home Headlamps,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Voice assisted sunroof,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Drive Mode Types,NO
HYUNDAI,VENUE,Venue HX 8 Turbo,Power Windows,Front & Rear
HYUNDAI,VENUE,Venue HX 8 Turbo,Cup Holders,Front & Rear
HYUNDAI,VENUE,Venue HX 8 Turbo,Tachometer,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Glove Box,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Lighting,Ambient light
HYUNDAI,VENUE,Venue HX 8 Turbo,Additional Features,Rear parcel tray
HYUNDAI,VENUE,Venue HX 8 Turbo,Digital Cluster,YES
HYUNDAI,VENUE,Venue HX 8 Turbo,Digital Cluster Size,10.66
HYUNDAI,VENUE,Venue HX 8 Turbo,Upholstery,Leatherette
