company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTE Opt iVT,Engine Type,SmartStream G1.5
KIA,SELTOS,Seltos HTE Opt iVT,Displacement,1497 cc
KIA,SELTOS,Seltos HTE Opt iVT,Max Power,113bhp@6300rpm
KIA,SELTOS,Seltos HTE Opt iVT,Max Torque,114Nm@4500rpm
KIA,SELTOS,Seltos HTE Opt iVT,No. of Cylinders,4
KIA,SELTOS,Seltos HTE Opt iVT,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTE Opt iVT,Fuel Supply System,MPi
KIA,SELTOS,Seltos HTE Opt iVT,Turbo Charger,NO
KIA,SELTOS,Seltos HTE Opt iVT,Transmission Type,Automatic
KIA,SELTOS,Seltos HTE Opt iVT,Gearbox,6-Speed
KIA,SELTOS,Seltos HTE Opt iVT,Drive Type,2WD
KIA,SELTOS,Seltos HTE Opt iVT,Fuel Type,Petrol
KIA,SELTOS,Seltos HTE Opt iVT,Petrol Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTE Opt iVT,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTE Opt iVT,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTE Opt iVT,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTE Opt iVT,Steering Type,Electric
KIA,SELTOS,Seltos HTE Opt iVT,Steering Column,Tilt
KIA,SELTOS,Seltos HTE Opt iVT,Front Brake Type,Disc
KIA,SELTOS,Seltos HTE Opt iVT,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTE Opt iVT,Length,4460 mm
KIA,SELTOS,Seltos HTE Opt iVT,Width,1830 mm
KIA,SELTOS,Seltos HTE Opt iVT,Height,1635 mm
KIA,SELTOS,Seltos HTE Opt iVT,Boot Space,447 Litres
KIA,SELTOS,Seltos HTE Opt iVT,Seating Capacity,5
KIA,SELTOS,Seltos HTE Opt iVT,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTE Opt iVT,No. of Doors,5
KIA,SELTOS,Seltos HTE Opt iVT,Power Steering,YES
KIA,SELTOS,Seltos HTE Opt iVT,Air Conditioner,YES
KIA,SELTOS,Seltos HTE Opt iVT,Heater,YES
KIA,SELTOS,Seltos HTE Opt iVT,Adjustable Steering,Height only
KIA,SELTOS,Seltos HTE Opt iVT,Height Adjustable Driver Seat,YES
KIA,SELTOS,Seltos HTE Opt iVT,Ventilated Seats,NO
KIA,SELTOS,Seltos HTE Opt iVT,Electric Adjustable Seats,NO
KIA,SELTOS,Seltos HTE Opt iVT,Automatic Climate Control,NO
KIA,SELTOS,Seltos HTE Opt iVT,Accessory Power Outlet,YES
KIA,SELTOS,Seltos HTE Opt iVT,Vanity Mirror,YES
KIA,SELTOS,Seltos HTE Opt iVT,Rear Reading Lamp,YES
KIA,SELTOS,Seltos HTE Opt iVT,Rear Seat Headrest,Adjustable
KIA,SELTOS,Seltos HTE Opt iVT,Adjustable Headrest,YES
KIA,SELTOS,Seltos HTE Opt iVT,Rear Seat Centre Arm Rest,YES
KIA,SELTOS,Seltos HTE Opt iVT,Rear AC Vents,YES
KIA,SELTOS,Seltos HTE Opt iVT,Lumbar Support,NO
KIA,SELTOS,Seltos HTE Opt iVT,Cruise Control,YES
KIA,SELTOS,Seltos HTE Opt iVT,Parking Sensors,Rear
KIA,SELTOS,Seltos HTE Opt iVT,Foldable Rear Seat,60:40 Split
KIA,SELTOS,Seltos HTE Opt iVT,KeyLess Entry,YES
