company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTK Opt Diesel,Engine Type,1.5l CRDi VGT
KIA,SELTOS,Seltos HTK Opt Diesel,Displacement,1493 cc
KIA,SELTOS,Seltos HTK Opt Diesel,Max Power,114bhp@4000rpm
KIA,SELTOS,Seltos HTK Opt Diesel,Max Torque,250Nm@1500-2750rpm
KIA,SELTOS,Seltos HTK Opt Diesel,No. of Cylinders,4
KIA,SELTOS,Seltos HTK Opt Diesel,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTK Opt Diesel,Fuel Supply System,CRDI
KIA,SELTOS,Seltos HTK Opt Diesel,Turbo Charger,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Transmission Type,Manual
KIA,SELTOS,Seltos HTK Opt Diesel,Gearbox,6-Speed
KIA,SELTOS,Seltos HTK Opt Diesel,Drive Type,2WD
KIA,SELTOS,Seltos HTK Opt Diesel,Fuel Type,Diesel
KIA,SELTOS,Seltos HTK Opt Diesel,Diesel Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTK Opt Diesel,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTK Opt Diesel,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTK Opt Diesel,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTK Opt Diesel,Steering Type,Electric
KIA,SELTOS,Seltos HTK Opt Diesel,Steering Column,Tilt & Telescopic
KIA,SELTOS,Seltos HTK Opt Diesel,Front Brake Type,Disc
KIA,SELTOS,Seltos HTK Opt Diesel,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTK Opt Diesel,Length,4460 mm
KIA,SELTOS,Seltos HTK Opt Diesel,Width,1830 mm
KIA,SELTOS,Seltos HTK Opt Diesel,Height,1635 mm
KIA,SELTOS,Seltos HTK Opt Diesel,Boot Space,447 Litres
KIA,SELTOS,Seltos HTK Opt Diesel,Seating Capacity,5
KIA,SELTOS,Seltos HTK Opt Diesel,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTK Opt Diesel,No. of Doors,5
KIA,SELTOS,Seltos HTK Opt Diesel,Power Steering,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Air Conditioner,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Heater,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Adjustable Steering,Height & Reach
KIA,SELTOS,Seltos HTK Opt Diesel,Height Adjustable Driver Seat,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Ventilated Seats,NO
KIA,SELTOS,Seltos HTK Opt Diesel,Electric Adjustable Seats,NO
KIA,SELTOS,Seltos HTK Opt Diesel,Automatic Climate Control,NO
KIA,SELTOS,Seltos HTK Opt Diesel,Accessory Power Outlet,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Vanity Mirror,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Rear Reading Lamp,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Rear Seat Headrest,Adjustable
KIA,SELTOS,Seltos HTK Opt Diesel,Adjustable Headrest,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Rear Seat Centre Arm Rest,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Rear AC Vents,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Lumbar Support,NO
KIA,SELTOS,Seltos HTK Opt Diesel,Cruise Control,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Parking Sensors,Front & Rear
KIA,SELTOS,Seltos HTK Opt Diesel,Foldable Rear Seat,60:40 Split
KIA,SELTOS,Seltos HTK Opt Diesel,KeyLess Entry,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Engine Start/Stop Button,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Paddle Shifters,NO
KIA,SELTOS,Seltos HTK Opt Diesel,USB Charger,Front & Rear
KIA,SELTOS,Seltos HTK Opt Diesel,Central Console Armrest,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Tailgate Ajar Warning,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Drive Modes,NO
KIA,SELTOS,Seltos HTK Opt Diesel,Rear Window Sunblind,YES
KIA,SELTOS,Seltos HTK Opt Diesel,Additional Features,Sunglass Holder
KIA,SELTOS,Seltos HTK Opt Diesel,Drive Mode Types,NO
KIA,SELTOS,Seltos HTK Opt Diesel,Power Windows,Front & Rear
