company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTX A iVT,Engine Type,SmartStream G1.5
KIA,SELTOS,Seltos HTX A iVT,Displacement,1497 cc
KIA,SELTOS,Seltos HTX A iVT,Max Power,113bhp@6300rpm
KIA,SELTOS,Seltos HTX A iVT,Max Torque,144Nm@4500rpm
KIA,SELTOS,Seltos HTX A iVT,No. of Cylinders,4
KIA,SELTOS,Seltos HTX A iVT,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTX A iVT,Fuel Supply System,MPi
KIA,SELTOS,Seltos HTX A iVT,Turbo Charger,NO
KIA,SELTOS,Seltos HTX A iVT,Transmission Type,Automatic
KIA,SELTOS,Seltos HTX A iVT,Gearbox,6-Speed
KIA,SELTOS,Seltos HTX A iVT,Drive Type,2WD
KIA,SELTOS,Seltos HTX A iVT,Fuel Type,Petrol
KIA,SELTOS,Seltos HTX A iVT,Petrol Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTX A iVT,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTX A iVT,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTX A iVT,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTX A iVT,Steering Type,Electric
KIA,SELTOS,Seltos HTX A iVT,Steering Column,Tilt & Telescopic
KIA,SELTOS,Seltos HTX A iVT,Front Brake Type,Disc
KIA,SELTOS,Seltos HTX A iVT,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTX A iVT,Alloy Wheel Size Front,17 Inch
KIA,SELTOS,Seltos HTX A iVT,Alloy Wheel Size Rear,17 Inch
KIA,SELTOS,Seltos HTX A iVT,Length,4460 mm
KIA,SELTOS,Seltos HTX A iVT,Width,1830 mm
KIA,SELTOS,Seltos HTX A iVT,Height,1635 mm
KIA,SELTOS,Seltos HTX A iVT,Boot Space,447 Litres
KIA,SELTOS,Seltos HTX A iVT,Seating Capacity,5
KIA,SELTOS,Seltos HTX A iVT,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTX A iVT,No. of Doors,5
KIA,SELTOS,Seltos HTX A iVT,Power Steering,YES
KIA,SELTOS,Seltos HTX A iVT,Air Conditioner,YES
KIA,SELTOS,Seltos HTX A iVT,Heater,YES
KIA,SELTOS,Seltos HTX A iVT,Adjustable Steering,Height & Reach
KIA,SELTOS,Seltos HTX A iVT,Height Adjustable Driver Seat,YES
KIA,SELTOS,Seltos HTX A iVT,Ventilated Seats,YES
KIA,SELTOS,Seltos HTX A iVT,Electric Adjustable Seats,Front
KIA,SELTOS,Seltos HTX A iVT,Automatic Climate Control,YES
KIA,SELTOS,Seltos HTX A iVT,Accessory Power Outlet,YES
KIA,SELTOS,Seltos HTX A iVT,Vanity Mirror,YES
KIA,SELTOS,Seltos HTX A iVT,Rear Reading Lamp,YES
KIA,SELTOS,Seltos HTX A iVT,Rear Seat Headrest,Adjustable
KIA,SELTOS,Seltos HTX A iVT,Adjustable Headrest,YES
KIA,SELTOS,Seltos HTX A iVT,Rear Seat Centre Arm Rest,YES
KIA,SELTOS,Seltos HTX A iVT,Rear AC Vents,YES
KIA,SELTOS,Seltos HTX A iVT,Lumbar Support,NO
KIA,SELTOS,Seltos HTX A iVT,Cruise Control,YES
KIA,SELTOS,Seltos HTX A iVT,Parking Sensors,Front & Rear
KIA,SELTOS,Seltos HTX A iVT,Foldable Rear Seat,60:40 Split
KIA,SELTOS,Seltos HTX A iVT,KeyLess Entry,YES
KIA,SELTOS,Seltos HTX A iVT,Engine Start/Stop Button,YES
KIA,SELTOS,Seltos HTX A iVT,Paddle Shifters,YES
KIA,SELTOS,Seltos HTX A iVT,USB Charger,Front & Rear
KIA,SELTOS,Seltos HTX A iVT,Central Console Armrest,YES
KIA,SELTOS,Seltos HTX A iVT,Tailgate Ajar Warning,YES
KIA,SELTOS,Seltos HTX A iVT,Drive Modes,3
KIA,SELTOS,Seltos HTX A iVT,Rear Window Sunblind,YES
KIA,SELTOS,Seltos HTX A iVT,Additional Features,Sunglass Holder
KIA,SELTOS,Seltos HTX A iVT,Drive Mode Types,ECO | NORMAL | SPORTS
KIA,SELTOS,Seltos HTX A iVT,Power Windows,Front & Rear
KIA,SELTOS,Seltos HTX A iVT,Cup Holders,Front & Rear
KIA,SELTOS,Seltos HTX A iVT,Tachometer,YES
KIA,SELTOS,Seltos HTX A iVT,Leather Wrapped Steering Wheel,YES
KIA,SELTOS,Seltos HTX A iVT,Glove Box,YES
KIA,SELTOS,Seltos HTX A iVT,Lighting,Ambient light
KIA,SELTOS,Seltos HTX A iVT,Additional Features,Rear Parcel Shelf
KIA,SELTOS,Seltos HTX A iVT,Digital Cluster,YES
KIA,SELTOS,Seltos HTX A iVT,Digital Cluster Size,12.3
KIA,SELTOS,Seltos HTX A iVT,Upholstery,Leatherette
