company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos HTX,Engine Type,SmartStream G1.5
KIA,SELTOS,Seltos HTX,Displacement,1497 cc
KIA,SELTOS,Seltos HTX,Max Power,113bhp@6300rpm
KIA,SELTOS,Seltos HTX,Max Torque,144Nm@4500rpm
KIA,SELTOS,Seltos HTX,No. of Cylinders,4
KIA,SELTOS,Seltos HTX,Valves Per Cylinder,4
KIA,SELTOS,Seltos HTX,Fuel Supply System,MPi
KIA,SELTOS,Seltos HTX,Turbo Charger,NO
KIA,SELTOS,Seltos HTX,Transmission Type,Manual
KIA,SELTOS,Seltos HTX,Gearbox,6-Speed
KIA,SELTOS,Seltos HTX,Drive Type,2WD
KIA,SELTOS,Seltos HTX,Fuel Type,Petrol
KIA,SELTOS,Seltos HTX,Petrol Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos HTX,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos HTX,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos HTX,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos HTX,Steering Type,Electric
KIA,SELTOS,Seltos HTX,Steering Column,Tilt & Telescopic
KIA,SELTOS,Seltos HTX,Front Brake Type,Disc
KIA,SELTOS,Seltos HTX,Rear Brake Type,Disc
KIA,SELTOS,Seltos HTX,Length,4460 mm
KIA,SELTOS,Seltos HTX,Width,1830 mm
KIA,SELTOS,Seltos HTX,Height,1635 mm
KIA,SELTOS,Seltos HTX,Boot Space,447 Litres
KIA,SELTOS,Seltos HTX,Seating Capacity,5
KIA,SELTOS,Seltos HTX,Wheel Base,2690 mm
KIA,SELTOS,Seltos HTX,No. of Doors,5
KIA,SELTOS,Seltos HTX,Power Steering,YES
KIA,SELTOS,Seltos HTX,Air Conditioner,YES
KIA,SELTOS,Seltos HTX,Heater,YES
KIA,SELTOS,Seltos HTX,Adjustable Steering,Height & Reach
KIA,SELTOS,Seltos HTX,Height Adjustable Driver Seat,YES
KIA,SELTOS,Seltos HTX,Ventilated Seats,YES
KIA,SELTOS,Seltos HTX,Electric Adjustable Seats,NO
KIA,SELTOS,Seltos HTX,Automatic Climate Control,YES
