company,model,variant,feature_name,feature_details
KIA,SELTOS,Seltos X-Line iVT,Engine Type,SmartStream G1.5
KIA,SELTOS,Seltos X-Line iVT,Displacement,1497 cc
KIA,SELTOS,Seltos X-Line iVT,Max Power,113bhp@6300rpm
KIA,SELTOS,Seltos X-Line iVT,Max Torque,144Nm@4500rpm
KIA,SELTOS,Seltos X-Line iVT,No. of Cylinders,4
KIA,SELTOS,Seltos X-Line iVT,Valves Per Cylinder,4
KIA,SELTOS,Seltos X-Line iVT,Fuel Supply System,MPi
KIA,SELTOS,Seltos X-Line iVT,Turbo Charger,NO
KIA,SELTOS,Seltos X-Line iVT,Transmission Type,Automatic
KIA,SELTOS,Seltos X-Line iVT,Gearbox,6-Speed
KIA,SELTOS,Seltos X-Line iVT,Drive Type,2WD
KIA,SELTOS,Seltos X-Line iVT,Fuel Type,Petrol
KIA,SELTOS,Seltos X-Line iVT,Petrol Fuel Tank Capacity,47 Litres
KIA,SELTOS,Seltos X-Line iVT,Emission Norm Compliance,BS VI 2.0
KIA,SELTOS,Seltos X-Line iVT,Front Suspension,MacPherson Strut suspension
KIA,SELTOS,Seltos X-Line iVT,Rear Suspension,Rear twist beam
KIA,SELTOS,Seltos X-Line iVT,Steering Type,Electric
KIA,SELTOS,Seltos X-Line iVT,Steering Column,Tilt & Telescopic
KIA,SELTOS,Seltos X-Line iVT,Front Brake Type,Disc
KIA,SELTOS,Seltos X-Line iVT,Rear Brake Type,Disc
KIA,SELTOS,Seltos X-Line iVT,Alloy Wheel Size Front,18 Inch
KIA,SELTOS,Seltos X-Line iVT,Alloy Wheel Size Rear,18 Inch
KIA,SELTOS,Seltos X-Line iVT,Length,4460 mm
KIA,SELTOS,Seltos X-Line iVT,Width,1830 mm
KIA,SELTOS,Seltos X-Line iVT,Height,1635 mm
KIA,SELTOS,Seltos X-Line iVT,Boot Space,447 Litres
KIA,SELTOS,Seltos X-Line iVT,Seating Capacity,5
KIA,SELTOS,Seltos X-Line iVT,Wheel Base,2690 mm
KIA,SELTOS,Seltos X-Line iVT,No. of Doors,5
KIA,SELTOS,Seltos X-Line iVT,Power Steering,YES
KIA,SELTOS,Seltos X-Line iVT,Air Conditioner,YES
KIA,SELTOS,Seltos X-Line iVT,Heater,YES
KIA,SELTOS,Seltos X-Line iVT,Adjustable Steering,Height & Reach
KIA,SELTOS,Seltos X-Line iVT,Height Adjustable Driver Seat,YES
KIA,SELTOS,Seltos X-Line iVT,Ventilated Seats,YES
KIA,SELTOS,Seltos X-Line iVT,Electric Adjustable Seats,Front
KIA,SELTOS,Seltos X-Line iVT,Automatic Climate Control,YES
KIA,SELTOS,Seltos X-Line iVT,Accessory Power Outlet,YES
KIA,SELTOS,Seltos X-Line iVT,Vanity Mirror,YES
KIA,SELTOS,Seltos X-Line iVT,Rear Reading Lamp,YES
KIA,SELTOS,Seltos X-Line iVT,Rear Seat Headrest,Adjustable
KIA,SELTOS,Seltos X-Line iVT,Adjustable Headrest,YES
KIA,SELTOS,Seltos X-Line iVT,Rear Seat Centre Arm Rest,YES
KIA,SELTOS,Seltos X-Line iVT,Rear AC Vents,YES
KIA,SELTOS,Seltos X-Line iVT,Lumbar Support,YES
KIA,SELTOS,Seltos X-Line iVT,Cruise Control,YES
KIA,SELTOS,Seltos X-Line iVT,Parking Sensors,Front & Rear
KIA,SELTOS,Seltos X-Line iVT,Foldable Rear Seat,60:40 Split
KIA,SELTOS,Seltos X-Line iVT,KeyLess Entry,YES
KIA,SELTOS,Seltos X-Line iVT,Engine Start/Stop Button,YES
KIA,SELTOS,Seltos X-Line iVT,Paddle Shifters,YES
KIA,SELTOS,Seltos X-Line iVT,USB Charger,Front & Rear
KIA,SELTOS,Seltos X-Line iVT,Central Console Armrest,YES
KIA,SELTOS,Seltos X-Line iVT,Tailgate Ajar Warning,YES
KIA,SELTOS,Seltos X-Line iVT,Drive Modes,3
KIA,SELTOS,Seltos X-Line iVT,Rear Window Sunblind,YES
KIA,SELTOS,Seltos X-Line iVT,Additional Features,Sunglass Holder
KIA,SELTOS,Seltos X-Line iVT,Drive Mode Types,ECO | NORMAL | SPORTS
KIA,SELTOS,Seltos X-Line iVT,Power Windows,Front & Rear
