company,model,variant,feature_name,feature_details
KIA,SONET,Sonet HTK Plus (O) Diesel,Engine Type,1.5L CRDi VGT
KIA,SONET,Sonet HTK Plus (O) Diesel,Displacement,1493 cc
KIA,SONET,Sonet HTK Plus (O) Diesel,Max Power,114bhp@4000rpm
KIA,SONET,Sonet HTK Plus (O) Diesel,Max Torque,250Nm@1500-2750rpm
KIA,SONET,Sonet HTK Plus (O) Diesel,No. of Cylinders,4
KIA,SONET,Sonet HTK Plus (O) Diesel,Valves Per Cylinder,4
KIA,SONET,Sonet HTK Plus (O) Diesel,Fuel Supply System,CRDi
KIA,SONET,Sonet HTK Plus (O) Diesel,Turbo Charger,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Transmission Type,Manual
KIA,SONET,Sonet HTK Plus (O) Diesel,Gearbox,6-Speed
KIA,SONET,Sonet HTK Plus (O) Diesel,Drive Type,FWD
KIA,SONET,Sonet HTK Plus (O) Diesel,Fuel Type,Diesel
KIA,SONET,Sonet HTK Plus (O) Diesel,Diesel Mileage ARAI,24.1 kmpl
KIA,SONET,Sonet HTK Plus (O) Diesel,Diesel Fuel Tank Capacity,45 Litres
KIA,SONET,Sonet HTK Plus (O) Diesel,Emission Norm Compliance,BS VI 2.0
KIA,SONET,Sonet HTK Plus (O) Diesel,Front Suspension,MacPherson Strut suspension
KIA,SONET,Sonet HTK Plus (O) Diesel,Rear Suspension,Rear twist beam
KIA,SONET,Sonet HTK Plus (O) Diesel,Steering Type,Electric
KIA,SONET,Sonet HTK Plus (O) Diesel,Steering Column,Tilt
KIA,SONET,Sonet HTK Plus (O) Diesel,Front Brake Type,Disc
KIA,SONET,Sonet HTK Plus (O) Diesel,Rear Brake Type,Drum
KIA,SONET,Sonet HTK Plus (O) Diesel,Length,3995 mm
KIA,SONET,Sonet HTK Plus (O) Diesel,Width,1790 mm
KIA,SONET,Sonet HTK Plus (O) Diesel,Height,1642 mm
KIA,SONET,Sonet HTK Plus (O) Diesel,Boot Space,385 Litres
KIA,SONET,Sonet HTK Plus (O) Diesel,Seating Capacity,5
KIA,SONET,Sonet HTK Plus (O) Diesel,Wheel Base,2500 mm
KIA,SONET,Sonet HTK Plus (O) Diesel,No. of Doors,5
KIA,SONET,Sonet HTK Plus (O) Diesel,Power Steering,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Air Conditioner,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Heater,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Adjustable Steering,Height only
KIA,SONET,Sonet HTK Plus (O) Diesel,Height Adjustable Driver Seat,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Ventilated Seats,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Electric Adjustable Seats,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Automatic Climate Control,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Air Quality Control,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Accessory Power Outlet,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Vanity Mirror,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Rear Reading Lamp,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Rear Seat Headrest,Adjustable
KIA,SONET,Sonet HTK Plus (O) Diesel,Adjustable Headrest,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Rear Seat Centre Arm Rest,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Rear AC Vents,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Active noise cancellation,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Parking Sensors,Front & Rear
KIA,SONET,Sonet HTK Plus (O) Diesel,Foldable Rear Seat,Bench Folding
KIA,SONET,Sonet HTK Plus (O) Diesel,KeyLess Entry,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Engine Start/Stop Button,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Voice Commands,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Paddle Shifters,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,USB Charger,Front & Rear
KIA,SONET,Sonet HTK Plus (O) Diesel,Central Console Armrest,With Storage
KIA,SONET,Sonet HTK Plus (O) Diesel,Tailgate Ajar Warning,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Hands-Free Tailgate,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Gear Shift Indicator,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Luggage Hook & Net,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Battery Saver,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Drive Modes,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Idle Start-Stop System,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Rear Window Sunblind,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Rear Windscreen Sunblind,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Automatic Headlamps,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Follow Me Home Headlamps,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Additional Features,Sunglass Holder
KIA,SONET,Sonet HTK Plus (O) Diesel,Drive Mode Types,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Power Windows,Front & Rear
KIA,SONET,Sonet HTK Plus (O) Diesel,Cup Holders,Front & Rear
KIA,SONET,Sonet HTK Plus (O) Diesel,Tachometer,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Leather Wrapped Steering Wheel,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Leather wrap gear-shift selector,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Glove Box,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Cigarette Lighter,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Folding Table in The Rear,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Dual Tone Dashboard,NO
KIA,SONET,Sonet HTK Plus (O) Diesel,Digital Cluster,YES
KIA,SONET,Sonet HTK Plus (O) Diesel,Digital Cluster Size,4.2
KIA,SONET,Sonet HTK Plus (O) Diesel,Upholstery,Leatherette
