company,model,variant,feature_name,feature_details
KIA,SONET,Sonet HTK Plus (O),Engine Type,Smartstream G1.2
KIA,SONET,Sonet HTK Plus (O),Displacement,1197 cc
KIA,SONET,Sonet HTK Plus (O),Max Power,81.8bhp@6000rpm
KIA,SONET,Sonet HTK Plus (O),Max Torque,115Nm@4200rpm
KIA,SONET,Sonet HTK Plus (O),No. of Cylinders,4
KIA,SONET,Sonet HTK Plus (O),Valves Per Cylinder,4
KIA,SONET,Sonet HTK Plus (O),Fuel Supply System,MPi
KIA,SONET,Sonet HTK Plus (O),Turbo Charger,NO
KIA,SONET,Sonet HTK Plus (O),Transmission Type,Manual
KIA,SONET,Sonet HTK Plus (O),Gearbox,5-Speed
KIA,SONET,Sonet HTK Plus (O),Drive Type,FWD
KIA,SONET,Sonet HTK Plus (O),Fuel Type,Petrol
KIA,SONET,Sonet HTK Plus (O),Petrol Mileage ARAI,18.4 kmpl
KIA,SONET,Sonet HTK Plus (O),Petrol Fuel Tank Capacity,45 Litres
KIA,SONET,Sonet HTK Plus (O),Emission Norm Compliance,BS VI 2.0
KIA,SONET,Sonet HTK Plus (O),Front Suspension,MacPherson Strut suspension
KIA,SONET,Sonet HTK Plus (O),Rear Suspension,Rear twist beam
KIA,SONET,Sonet HTK Plus (O),Steering Type,Electric
KIA,SONET,Sonet HTK Plus (O),Steering Column,Tilt
KIA,SONET,Sonet HTK Plus (O),Front Brake Type,Disc
KIA,SONET,Sonet HTK Plus (O),Rear Brake Type,Drum
KIA,SONET,Sonet HTK Plus (O),Length,3995 mm
KIA,SONET,Sonet HTK Plus (O),Width,1790 mm
KIA,SONET,Sonet HTK Plus (O),Height,1642 mm
KIA,SONET,Sonet HTK Plus (O),Boot Space,385 Litres
KIA,SONET,Sonet HTK Plus (O),Seating Capacity,5
KIA,SONET,Sonet HTK Plus (O),Wheel Base,2500 mm
KIA,SONET,Sonet HTK Plus (O),No. of Doors,5
KIA,SONET,Sonet HTK Plus (O),Power Steering,YES
KIA,SONET,Sonet HTK Plus (O),Air Conditioner,YES
KIA,SONET,Sonet HTK Plus (O),Heater,YES
KIA,SONET,Sonet HTK Plus (O),Adjustable Steering,Height only
KIA,SONET,Sonet HTK Plus (O),Height Adjustable Driver Seat,YES
KIA,SONET,Sonet HTK Plus (O),Ventilated Seats,NO
KIA,SONET,Sonet HTK Plus (O),Electric Adjustable Seats,NO
KIA,SONET,Sonet HTK Plus (O),Automatic Climate Control,YES
KIA,SONET,Sonet HTK Plus (O),Air Quality Control,NO
KIA,SONET,Sonet HTK Plus (O),Accessory Power Outlet,YES
KIA,SONET,Sonet HTK Plus (O),Vanity Mirror,YES
KIA,SONET,Sonet HTK Plus (O),Rear Reading Lamp,YES
KIA,SONET,Sonet HTK Plus (O),Rear Seat Headrest,Adjustable
KIA,SONET,Sonet HTK Plus (O),Adjustable Headrest,YES
KIA,SONET,Sonet HTK Plus (O),Rear Seat Centre Arm Rest,YES
KIA,SONET,Sonet HTK Plus (O),Rear AC Vents,YES
KIA,SONET,Sonet HTK Plus (O),Active noise cancellation,NO
KIA,SONET,Sonet HTK Plus (O),Parking Sensors,Front & Rear
KIA,SONET,Sonet HTK Plus (O),Foldable Rear Seat,Bench Folding
KIA,SONET,Sonet HTK Plus (O),KeyLess Entry,YES
KIA,SONET,Sonet HTK Plus (O),Engine Start/Stop Button,YES
KIA,SONET,Sonet HTK Plus (O),Voice Commands,YES
KIA,SONET,Sonet HTK Plus (O),Paddle Shifters,NO
KIA,SONET,Sonet HTK Plus (O),USB Charger,Front & Rear
KIA,SONET,Sonet HTK Plus (O),Central Console Armrest,With Storage
KIA,SONET,Sonet HTK Plus (O),Tailgate Ajar Warning,YES
KIA,SONET,Sonet HTK Plus (O),Hands-Free Tailgate,NO
KIA,SONET,Sonet HTK Plus (O),Gear Shift Indicator,YES
KIA,SONET,Sonet HTK Plus (O),Luggage Hook & Net,YES
KIA,SONET,Sonet HTK Plus (O),Battery Saver,YES
KIA,SONET,Sonet HTK Plus (O),Drive Modes,NO
KIA,SONET,Sonet HTK Plus (O),Idle Start-Stop System,YES
KIA,SONET,Sonet HTK Plus (O),Rear Window Sunblind,YES
KIA,SONET,Sonet HTK Plus (O),Rear Windscreen Sunblind,NO
KIA,SONET,Sonet HTK Plus (O),Automatic Headlamps,YES
KIA,SONET,Sonet HTK Plus (O),Follow Me Home Headlamps,YES
KIA,SONET,Sonet HTK Plus (O),Additional Features,Sunglass Holder
KIA,SONET,Sonet HTK Plus (O),Drive Mode Types,NO
KIA,SONET,Sonet HTK Plus (O),Power Windows,Front & Rear
KIA,SONET,Sonet HTK Plus (O),Cup Holders,Front & Rear
KIA,SONET,Sonet HTK Plus (O),Tachometer,YES
KIA,SONET,Sonet HTK Plus (O),Leather Wrapped Steering Wheel,YES
