company,model,variant,feature_name,feature_details
KIA,SONET,Sonet HTK Plus Diesel,Engine Type,1.5L CRDi VGT
KIA,SONET,Sonet HTK Plus Diesel,Displacement,1493 cc
KIA,SONET,Sonet HTK Plus Diesel,Max Power,114bhp@4000rpm
KIA,SONET,Sonet HTK Plus Diesel,Max Torque,250Nm@1500-2750rpm
KIA,SONET,Sonet HTK Plus Diesel,No. of Cylinders,4
KIA,SONET,Sonet HTK Plus Diesel,Valves Per Cylinder,4
KIA,SONET,Sonet HTK Plus Diesel,Fuel Supply System,CRDi
KIA,SONET,Sonet HTK Plus Diesel,Turbo Charger,YES
KIA,SONET,Sonet HTK Plus Diesel,Transmission Type,Manual
KIA,SONET,Sonet HTK Plus Diesel,Gearbox,6-Speed
KIA,SONET,Sonet HTK Plus Diesel,Drive Type,FWD
KIA,SONET,Sonet HTK Plus Diesel,Fuel Type,Diesel
KIA,SONET,Sonet HTK Plus Diesel,Diesel Mileage ARAI,24.1 kmpl
KIA,SONET,Sonet HTK Plus Diesel,Diesel Fuel Tank Capacity,45 Litres
KIA,SONET,Sonet HTK Plus Diesel,Emission Norm Compliance,BS VI 2.0
KIA,SONET,Sonet HTK Plus Diesel,Front Suspension,MacPherson Strut suspension
KIA,SONET,Sonet HTK Plus Diesel,Rear Suspension,Rear twist beam
KIA,SONET,Sonet HTK Plus Diesel,Steering Type,Electric
KIA,SONET,Sonet HTK Plus Diesel,Steering Column,Tilt
KIA,SONET,Sonet HTK Plus Diesel,Front Brake Type,Disc
KIA,SONET,Sonet HTK Plus Diesel,Rear Brake Type,Drum
KIA,SONET,Sonet HTK Plus Diesel,Length,3995 mm
KIA,SONET,Sonet HTK Plus Diesel,Width,1790 mm
KIA,SONET,Sonet HTK Plus Diesel,Height,1642 mm
KIA,SONET,Sonet HTK Plus Diesel,Boot Space,385 Litres
KIA,SONET,Sonet HTK Plus Diesel,Seating Capacity,5
KIA,SONET,Sonet HTK Plus Diesel,Wheel Base,2500 mm
KIA,SONET,Sonet HTK Plus Diesel,No. of Doors,5
KIA,SONET,Sonet HTK Plus Diesel,Power Steering,YES
KIA,SONET,Sonet HTK Plus Diesel,Air Conditioner,YES
KIA,SONET,Sonet HTK Plus Diesel,Heater,YES
KIA,SONET,Sonet HTK Plus Diesel,Adjustable Steering,Height only
KIA,SONET,Sonet HTK Plus Diesel,Height Adjustable Driver Seat,YES
KIA,SONET,Sonet HTK Plus Diesel,Ventilated Seats,NO
KIA,SONET,Sonet HTK Plus Diesel,Electric Adjustable Seats,NO
KIA,SONET,Sonet HTK Plus Diesel,Automatic Climate Control,YES
KIA,SONET,Sonet HTK Plus Diesel,Air Quality Control,NO
KIA,SONET,Sonet HTK Plus Diesel,Accessory Power Outlet,YES
KIA,SONET,Sonet HTK Plus Diesel,Vanity Mirror,YES
KIA,SONET,Sonet HTK Plus Diesel,Rear Reading Lamp,YES
KIA,SONET,Sonet HTK Plus Diesel,Rear Seat Headrest,Adjustable
KIA,SONET,Sonet HTK Plus Diesel,Adjustable Headrest,YES
KIA,SONET,Sonet HTK Plus Diesel,Rear Seat Centre Arm Rest,YES
KIA,SONET,Sonet HTK Plus Diesel,Rear AC Vents,YES
