company,model,variant,feature_name,feature_details
MAHINDRA,BOLERO,Bolero B4,Engine Type,mHAWK75
MAHINDRA,BOLERO,Bolero B4,Displacement,1493 cc
MAHINDRA,BOLERO,Bolero B4,Max Power,74.96bhp@3600rpm
MAHINDRA,BOLERO,Bolero B4,Max Torque,210Nm@1600-2200rpm
MAHINDRA,BOLERO,Bolero B4,No. of Cylinders,3
MAHINDRA,BOLERO,Bolero B4,Valves Per Cylinder,4
MAHINDRA,BOLERO,Bolero B4,Valve Configuration,SOHC
MAHINDRA,BOLERO,Bolero B4,Turbo Charger,YES
MAHINDRA,BOLERO,Bolero B4,Transmission Type,Manual
MAHINDRA,BOLERO,Bolero B4,Gearbox,5-Speed
MAHINDRA,BOLERO,Bolero B4,Drive Type,RWD
MAHINDRA,BOLERO,Bolero B4,Fuel Type,Diesel
MAHINDRA,BOLERO,Bolero B4,Diesel Mileage ARAI,16 kmpl
MAHINDRA,BOLERO,Bolero B4,Diesel Fuel Tank Capacity,60 Litres
MAHINDRA,BOLERO,Bolero B4,Emission Norm Compliance,BS VI 2.0
MAHINDRA,BOLERO,Bolero B4,Rear Suspension,Leaf spring suspension
MAHINDRA,BOLERO,Bolero B4,Steering Type,Electric
MAHINDRA,BOLERO,Bolero B4,Steering Column,Power
MAHINDRA,BOLERO,Bolero B4,Turning Radius,5.8 m
MAHINDRA,BOLERO,Bolero B4,Front Brake Type,disc
MAHINDRA,BOLERO,Bolero B4,Rear Brake Type,drum
MAHINDRA,BOLERO,Bolero B4,Length,3995 mm
MAHINDRA,BOLERO,Bolero B4,Width,1745 mm
MAHINDRA,BOLERO,Bolero B4,Height,1880 mm
MAHINDRA,BOLERO,Bolero B4,Seating Capacity,7
MAHINDRA,BOLERO,Bolero B4,Wheel Base,2680 mm
MAHINDRA,BOLERO,Bolero B4,No. of Doors,5
MAHINDRA,BOLERO,Bolero B4,Power Steering,YES
MAHINDRA,BOLERO,Bolero B4,Air Conditioner,YES
MAHINDRA,BOLERO,Bolero B4,Heater,YES
MAHINDRA,BOLERO,Bolero B4,Adjustable Steering,NO
