company,model,variant,feature_name,feature_details
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Engine Type,K15C
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Displacement,1462 cc
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Max Power,86.63bhp@5500rpm
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Max Torque,121.5Nm@4200rpm
MARUTI,ERTIGA,Ertiga VXi (O) CNG,No. of Cylinders,4
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Valves Per Cylinder,4
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Transmission Type,Manual
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Gearbox,5-Speed
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Drive Type,FWD
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Fuel Type,CNG
MARUTI,ERTIGA,Ertiga VXi (O) CNG,CNG Mileage ARAI,26.11 km/kg
MARUTI,ERTIGA,Ertiga VXi (O) CNG,CNG Fuel Tank Capacity,60 Litres
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Emission Norm Compliance,BS VI 2.0
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Front Suspension,MacPherson Strut suspension
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Rear Suspension,Rear twist beam
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Steering Type,Power
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Steering Column,Tilt
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Turning Radius,5.2 m
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Front Brake Type,Disc
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Rear Brake Type,Drum
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Length,4395 mm
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Width,1735 mm
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Height,1690 mm
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Seating Capacity,7
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Wheel Base,2740 mm
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Kerb Weight,1250-1255 kg
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Gross Weight,1820 kg
MARUTI,ERTIGA,Ertiga VXi (O) CNG,No. of Doors,5
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Reported Boot Space,209 Litres
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Power Steering,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Air Conditioner,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Heater,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Height Adjustable Driver Seat,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Automatic Climate Control,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Accessory Power Outlet,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Vanity Mirror,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Rear Reading Lamp,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Adjustable Headrest,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Rear Seat Centre Arm Rest,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Height Adjustable Front Seat Belts,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Rear AC Vents,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Cruise Control,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Parking Sensors,Rear
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Foldable Rear Seat,60:40 Split
MARUTI,ERTIGA,Ertiga VXi (O) CNG,KeyLess Entry,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Engine Start/Stop Button,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Paddle Shifters,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Central Console Armrest,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Gear Shift Indicator,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Idle Start-Stop System,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Automatic Headlamps,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Follow Me Home Headlamps,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Tachometer,YES
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Leather Wrapped Steering Wheel,NO
MARUTI,ERTIGA,Ertiga VXi (O) CNG,Glove Box,YES
