company,model,variant,feature_name,feature_details
MARUTI,FRONX,FRONX Delta Plus Opt,Engine Type,"1.2L Dual Jet, Dual VVT"
MARUTI,FRONX,FRONX Delta Plus Opt,Displacement,1197 cc
MARUTI,FRONX,FRONX Delta Plus Opt,Max Power,88.50bhp@6000rpm
MARUTI,FRONX,FRONX Delta Plus Opt,Max Torque,113Nm@4400rpm
MARUTI,FRONX,FRONX Delta Plus Opt,No. of Cylinders,4
MARUTI,FRONX,FRONX Delta Plus Opt,Valves Per Cylinder,4
MARUTI,FRONX,FRONX Delta Plus Opt,Turbo Charger,NO
MARUTI,FRONX,FRONX Delta Plus Opt,Transmission Type,Manual
MARUTI,FRONX,FRONX Delta Plus Opt,Gearbox,5-Speed
MARUTI,FRONX,FRONX Delta Plus Opt,Drive Type,FWD
MARUTI,FRONX,FRONX Delta Plus Opt,Fuel Type,Petrol
MARUTI,FRONX,FRONX Delta Plus Opt,Petrol Mileage ARAI,21.79 kmpl
MARUTI,FRONX,FRONX Delta Plus Opt,Petrol Fuel Tank Capacity,37 Litres
MARUTI,FRONX,FRONX Delta Plus Opt,Emission Norm Compliance,BS VI 2.0
MARUTI,FRONX,FRONX Delta Plus Opt,Top Speed,180 kmph
MARUTI,FRONX,FRONX Delta Plus Opt,Front Suspension,MacPherson Strut suspension
MARUTI,FRONX,FRONX Delta Plus Opt,Rear Suspension,Rear twist beam
MARUTI,FRONX,FRONX Delta Plus Opt,Steering Type,Electric
MARUTI,FRONX,FRONX Delta Plus Opt,Steering Column,Tilt
MARUTI,FRONX,FRONX Delta Plus Opt,Turning Radius,4.9 m
MARUTI,FRONX,FRONX Delta Plus Opt,Front Brake Type,Disc
MARUTI,FRONX,FRONX Delta Plus Opt,Rear Brake Type,Drum
MARUTI,FRONX,FRONX Delta Plus Opt,Alloy Wheel Size Front,16 Inch
MARUTI,FRONX,FRONX Delta Plus Opt,Alloy Wheel Size Rear,16 Inch
MARUTI,FRONX,FRONX Delta Plus Opt,Length,3995 mm
MARUTI,FRONX,FRONX Delta Plus Opt,Width,1765 mm
MARUTI,FRONX,FRONX Delta Plus Opt,Height,1550 mm
MARUTI,FRONX,FRONX Delta Plus Opt,Boot Space,308 Litres
MARUTI,FRONX,FRONX Delta Plus Opt,Seating Capacity,5
MARUTI,FRONX,FRONX Delta Plus Opt,Wheel Base,2520 mm
MARUTI,FRONX,FRONX Delta Plus Opt,Kerb Weight,960-970 kg
MARUTI,FRONX,FRONX Delta Plus Opt,Gross Weight,1450 kg
MARUTI,FRONX,FRONX Delta Plus Opt,No. of Doors,5
MARUTI,FRONX,FRONX Delta Plus Opt,Power Steering,YES
MARUTI,FRONX,FRONX Delta Plus Opt,Air Conditioner,YES
MARUTI,FRONX,FRONX Delta Plus Opt,Heater,YES
MARUTI,FRONX,FRONX Delta Plus Opt,Height Adjustable Driver Seat,NO
MARUTI,FRONX,FRONX Delta Plus Opt,Automatic Climate Control,YES
MARUTI,FRONX,FRONX Delta Plus Opt,Rear Reading Lamp,YES
MARUTI,FRONX,FRONX Delta Plus Opt,Adjustable Headrest,YES
MARUTI,FRONX,FRONX Delta Plus Opt,Rear AC Vents,NO
MARUTI,FRONX,FRONX Delta Plus Opt,Cruise Control,NO
MARUTI,FRONX,FRONX Delta Plus Opt,Parking Sensors,Rear
MARUTI,FRONX,FRONX Delta Plus Opt,Real-Time Vehicle Tracking,NO
MARUTI,FRONX,FRONX Delta Plus Opt,Foldable Rear Seat,60:40 Split
MARUTI,FRONX,FRONX Delta Plus Opt,KeyLess Entry,YES
MARUTI,FRONX,FRONX Delta Plus Opt,Engine Start/Stop Button,NO
MARUTI,FRONX,FRONX Delta Plus Opt,Voice Commands,YES
MARUTI,FRONX,FRONX Delta Plus Opt,Paddle Shifters,NO
MARUTI,FRONX,FRONX Delta Plus Opt,USB Charger,Front
MARUTI,FRONX,FRONX Delta Plus Opt,Central Console Armrest,NO
