company,model,variant,feature_name,feature_details
MARUTI,FRONX,FRONX Delta Plus,Engine Type,"1.2L Dual Jet, Dual VVT"
MARUTI,FRONX,FRONX Delta Plus,Displacement,1197 cc
MARUTI,FRONX,FRONX Delta Plus,Max Power,88.50bhp@6000rpm
MARUTI,FRONX,FRONX Delta Plus,Max Torque,113Nm@4400rpm
MARUTI,FRONX,FRONX Delta Plus,No. of Cylinders,4
MARUTI,FRONX,FRONX Delta Plus,Valves Per Cylinder,4
MARUTI,FRONX,FRONX Delta Plus,Turbo Charger,NO
MARUTI,FRONX,FRONX Delta Plus,Transmission Type,Manual
MARUTI,FRONX,FRONX Delta Plus,Gearbox,5-Speed
MARUTI,FRONX,FRONX Delta Plus,Drive Type,FWD
MARUTI,FRONX,FRONX Delta Plus,Fuel Type,Petrol
MARUTI,FRONX,FRONX Delta Plus,Petrol Mileage ARAI,21.79 kmpl
MARUTI,FRONX,FRONX Delta Plus,Petrol Fuel Tank Capacity,37 Litres
MARUTI,FRONX,FRONX Delta Plus,Emission Norm Compliance,BS VI 2.0
MARUTI,FRONX,FRONX Delta Plus,Top Speed,180 kmph
MARUTI,FRONX,FRONX Delta Plus,Front Suspension,MacPherson Strut suspension
MARUTI,FRONX,FRONX Delta Plus,Rear Suspension,Rear twist beam
MARUTI,FRONX,FRONX Delta Plus,Steering Type,Electric
MARUTI,FRONX,FRONX Delta Plus,Steering Column,Tilt
MARUTI,FRONX,FRONX Delta Plus,Turning Radius,4.9 m
MARUTI,FRONX,FRONX Delta Plus,Front Brake Type,Disc
MARUTI,FRONX,FRONX Delta Plus,Rear Brake Type,Drum
MARUTI,FRONX,FRONX Delta Plus,Alloy Wheel Size Front,16 Inch
MARUTI,FRONX,FRONX Delta Plus,Alloy Wheel Size Rear,16 Inch
MARUTI,FRONX,FRONX Delta Plus,Length,3995 mm
MARUTI,FRONX,FRONX Delta Plus,Width,1765 mm
MARUTI,FRONX,FRONX Delta Plus,Height,1550 mm
MARUTI,FRONX,FRONX Delta Plus,Boot Space,308 Litres
MARUTI,FRONX,FRONX Delta Plus,Seating Capacity,5
MARUTI,FRONX,FRONX Delta Plus,Wheel Base,2520 mm
MARUTI,FRONX,FRONX Delta Plus,Kerb Weight,965-970 kg
MARUTI,FRONX,FRONX Delta Plus,Gross Weight,1450 kg
MARUTI,FRONX,FRONX Delta Plus,No. of Doors,5
MARUTI,FRONX,FRONX Delta Plus,Power Steering,YES
MARUTI,FRONX,FRONX Delta Plus,Air Conditioner,YES
MARUTI,FRONX,FRONX Delta Plus,Heater,YES
MARUTI,FRONX,FRONX Delta Plus,Height Adjustable Driver Seat,NO
MARUTI,FRONX,FRONX Delta Plus,Automatic Climate Control,YES
