company,model,variant,feature_name,feature_details
MARUTI,FRONX,FRONX Zeta Turbo AT,Engine Type,1.0L Turbo Boosterjet
MARUTI,FRONX,FRONX Zeta Turbo AT,Displacement,998 cc
MARUTI,FRONX,FRONX Zeta Turbo AT,Max Power,98.69bhp@5500rpm
MARUTI,FRONX,FRONX Zeta Turbo AT,Max Torque,147.6Nm@2000-4500rpm
MARUTI,FRONX,FRONX Zeta Turbo AT,No. of Cylinders,3
MARUTI,FRONX,FRONX Zeta Turbo AT,Valves Per Cylinder,4
MARUTI,FRONX,FRONX Zeta Turbo AT,Turbo Charger,YES
MARUTI,FRONX,FRONX Zeta Turbo AT,Transmission Type,Automatic
MARUTI,FRONX,FRONX Zeta Turbo AT,Gearbox,6-Speed AT
MARUTI,FRONX,FRONX Zeta Turbo AT,Drive Type,FWD
MARUTI,FRONX,FRONX Zeta Turbo AT,Fuel Type,Petrol
MARUTI,FRONX,FRONX Zeta Turbo AT,Petrol Mileage ARAI,20.01 kmpl
MARUTI,FRONX,FRONX Zeta Turbo AT,Petrol Fuel Tank Capacity,37 Litres
MARUTI,FRONX,FRONX Zeta Turbo AT,Emission Norm Compliance,BS VI 2.0
MARUTI,FRONX,FRONX Zeta Turbo AT,Top Speed,180 kmph
MARUTI,FRONX,FRONX Zeta Turbo AT,Front Suspension,MacPherson Strut suspension
MARUTI,FRONX,FRONX Zeta Turbo AT,Rear Suspension,Rear twist beam
MARUTI,FRONX,FRONX Zeta Turbo AT,Steering Type,Electric
MARUTI,FRONX,FRONX Zeta Turbo AT,Steering Column,Tilt & Telescopic
MARUTI,FRONX,FRONX Zeta Turbo AT,Turning Radius,4.9 m
MARUTI,FRONX,FRONX Zeta Turbo AT,Front Brake Type,Disc
MARUTI,FRONX,FRONX Zeta Turbo AT,Rear Brake Type,Drum
MARUTI,FRONX,FRONX Zeta Turbo AT,Alloy Wheel Size Front,16 Inch
MARUTI,FRONX,FRONX Zeta Turbo AT,Alloy Wheel Size Rear,16 Inch
MARUTI,FRONX,FRONX Zeta Turbo AT,Length,3995 mm
MARUTI,FRONX,FRONX Zeta Turbo AT,Width,1765 mm
MARUTI,FRONX,FRONX Zeta Turbo AT,Height,1550 mm
MARUTI,FRONX,FRONX Zeta Turbo AT,Boot Space,308 Litres
MARUTI,FRONX,FRONX Zeta Turbo AT,Seating Capacity,5
MARUTI,FRONX,FRONX Zeta Turbo AT,Wheel Base,2520 mm
MARUTI,FRONX,FRONX Zeta Turbo AT,Kerb Weight,1055-1060 kg
MARUTI,FRONX,FRONX Zeta Turbo AT,Gross Weight,1480 kg
MARUTI,FRONX,FRONX Zeta Turbo AT,No. of Doors,5
MARUTI,FRONX,FRONX Zeta Turbo AT,Power Steering,YES
MARUTI,FRONX,FRONX Zeta Turbo AT,Air Conditioner,YES
MARUTI,FRONX,FRONX Zeta Turbo AT,Heater,YES
MARUTI,FRONX,FRONX Zeta Turbo AT,Height Adjustable Driver Seat,YES
MARUTI,FRONX,FRONX Zeta Turbo AT,Automatic Climate Control,YES
MARUTI,FRONX,FRONX Zeta Turbo AT,Rear Reading Lamp,YES
MARUTI,FRONX,FRONX Zeta Turbo AT,Adjustable Headrest,YES
MARUTI,FRONX,FRONX Zeta Turbo AT,Rear AC Vents,YES
MARUTI,FRONX,FRONX Zeta Turbo AT,Cruise Control,NO
MARUTI,FRONX,FRONX Zeta Turbo AT,Parking Sensors,Rear
