company,model,variant,feature_name,feature_details
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Engine Type,K15C With Mild Hybrid System
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Displacement,1462 cc
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Max Power,101.64bhp@6000rpm
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Max Torque,139Nm@4300rpm
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,No. of Cylinders,4
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Valves Per Cylinder,4
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Transmission Type,Manual
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Gearbox,5-Speed
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Drive Type,FWD
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Fuel Type,Petrol
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Petrol Mileage ARAI,21.11 kmpl
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Petrol Fuel Tank Capacity,45 Litres
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Emission Norm Compliance,BS VI 2.0
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Top Speed,135 kmph
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Front Suspension,MacPherson Strut suspension
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Rear Suspension,Rear twist beam
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Steering Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Steering Column,Tilt & Telescopic
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Steering Gear Type,Rack & Pinion
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Turning Radius,5.4 m
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Front Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Rear Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Alloy Wheel Size Front,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Alloy Wheel Size Rear,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Length,4345 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Width,1795 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Height,1645 mm
MARUTI,GRAND VITARA,Grand Vitara Alpha Opt,Boot Space,373 Litres
