company,model,variant,feature_name,feature_details
MARUTI,GRAND VITARA,Grand Vitara Delta,Engine Type,K15C With Mild Hybrid System
MARUTI,GRAND VITARA,Grand Vitara Delta,Displacement,1462 cc
MARUTI,GRAND VITARA,Grand Vitara Delta,Max Power,101.64bhp@6000rpm
MARUTI,GRAND VITARA,Grand Vitara Delta,Max Torque,139Nm@4300rpm
MARUTI,GRAND VITARA,Grand Vitara Delta,No. of Cylinders,4
MARUTI,GRAND VITARA,Grand Vitara Delta,Valves Per Cylinder,4
MARUTI,GRAND VITARA,Grand Vitara Delta,Transmission Type,Manual
MARUTI,GRAND VITARA,Grand Vitara Delta,Gearbox,5-Speed
MARUTI,GRAND VITARA,Grand Vitara Delta,Drive Type,FWD
MARUTI,GRAND VITARA,Grand Vitara Delta,Fuel Type,Petrol
MARUTI,GRAND VITARA,Grand Vitara Delta,Petrol Mileage ARAI,21.11 kmpl
MARUTI,GRAND VITARA,Grand Vitara Delta,Petrol Fuel Tank Capacity,45 Litres
MARUTI,GRAND VITARA,Grand Vitara Delta,Secondary Fuel Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Delta,Emission Norm Compliance,BS VI 2.0
MARUTI,GRAND VITARA,Grand Vitara Delta,Top Speed,135 kmph
MARUTI,GRAND VITARA,Grand Vitara Delta,Front Suspension,MacPherson Strut suspension
MARUTI,GRAND VITARA,Grand Vitara Delta,Rear Suspension,Rear twist beam
MARUTI,GRAND VITARA,Grand Vitara Delta,Steering Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Delta,Steering Column,Tilt & Telescopic
MARUTI,GRAND VITARA,Grand Vitara Delta,Steering Gear Type,Rack & Pinion
MARUTI,GRAND VITARA,Grand Vitara Delta,Turning Radius,5.4 m
MARUTI,GRAND VITARA,Grand Vitara Delta,Front Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Delta,Rear Brake Type,Disc
MARUTI,GRAND VITARA,Grand Vitara Delta,Length,4345 mm
MARUTI,GRAND VITARA,Grand Vitara Delta,Width,1795 mm
MARUTI,GRAND VITARA,Grand Vitara Delta,Height,1645 mm
MARUTI,GRAND VITARA,Grand Vitara Delta,Boot Space,373 Litres
MARUTI,GRAND VITARA,Grand Vitara Delta,Seating Capacity,5
MARUTI,GRAND VITARA,Grand Vitara Delta,Ground Clearance Unladen,210 mm
MARUTI,GRAND VITARA,Grand Vitara Delta,Wheel Base,2600 mm
MARUTI,GRAND VITARA,Grand Vitara Delta,Kerb Weight,1140-1185 kg
MARUTI,GRAND VITARA,Grand Vitara Delta,Gross Weight,1645 kg
MARUTI,GRAND VITARA,Grand Vitara Delta,No. of Doors,5
MARUTI,GRAND VITARA,Grand Vitara Delta,Power Steering,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Air Conditioner,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Heater,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Height Adjustable Driver Seat,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Ventilated Seats,NO
MARUTI,GRAND VITARA,Grand Vitara Delta,Automatic Climate Control,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Accessory Power Outlet,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Trunk Light,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Vanity Mirror,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Rear Reading Lamp,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Adjustable Headrest,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Rear Seat Centre Arm Rest,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Height Adjustable Front Seat Belts,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Rear AC Vents,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Cruise Control,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Parking Sensors,Rear
MARUTI,GRAND VITARA,Grand Vitara Delta,Real-Time Vehicle Tracking,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Foldable Rear Seat,60:40 Split
MARUTI,GRAND VITARA,Grand Vitara Delta,KeyLess Entry,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Engine Start/Stop Button,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Voice Commands,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Paddle Shifters,NO
MARUTI,GRAND VITARA,Grand Vitara Delta,USB Charger,Rear
MARUTI,GRAND VITARA,Grand Vitara Delta,Central Console Armrest,With Storage
MARUTI,GRAND VITARA,Grand Vitara Delta,Gear Shift Indicator,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Glove Box light,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Idle Start-Stop System,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Automatic Headlamps,NO
MARUTI,GRAND VITARA,Grand Vitara Delta,Follow Me Home Headlamps,NO
MARUTI,GRAND VITARA,Grand Vitara Delta,Tachometer,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Glove Box,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Digital Odometer,YES
MARUTI,GRAND VITARA,Grand Vitara Delta,Dual Tone Dashboard,YES
