company,model,variant,feature_name,feature_details
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Engine Type,K15C
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Displacement,1462 cc
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Max Power,87bhp@5500rpm
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Max Torque,121.5Nm@4200rpm
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,No. of Cylinders,4
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Valves Per Cylinder,4
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Transmission Type,Manual
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Gearbox,5-Speed
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Drive Type,FWD
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Fuel Type,CNG
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,CNG Mileage ARAI,26.6 km/kg
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Emission Norm Compliance,BS VI 2.0
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Top Speed,135 kmph
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Front Suspension,MacPherson Strut suspension
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Rear Suspension,Rear twist beam
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Steering Type,Electric
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Steering Column,Tilt & Telescopic
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Steering Gear Type,Rack & Pinion
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Turning Radius,5.4 m
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Front Brake Type,Ventilated Disc
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Rear Brake Type,Solid Disc
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Alloy Wheel Size Front,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Alloy Wheel Size Rear,17 Inch
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Length,4345 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Width,1795 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Height,1645 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Seating Capacity,5
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Ground Clearance Unladen,210 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Wheel Base,2600 mm
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,No. of Doors,5
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Reported Boot Space,373 Litres
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Power Steering,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Air Conditioner,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Heater,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Height Adjustable Driver Seat,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Ventilated Seats,NO
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Automatic Climate Control,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Accessory Power Outlet,YES
MARUTI,GRAND VITARA,Grand Vitara Zeta CNG,Trunk Light,YES
