company,model,variant,feature_name,feature_details
MARUTI,S PRESSO,S-Presso LXI CNG,Engine Type,K1OC CNG
MARUTI,S PRESSO,S-Presso LXI CNG,Displacement,998 cc
MARUTI,S PRESSO,S-Presso LXI CNG,Max Power,55.92bhp@5300rpm
MARUTI,S PRESSO,S-Presso LXI CNG,Max Torque,82.1Nm@3400rpm
MARUTI,S PRESSO,S-Presso LXI CNG,No. of Cylinders,3
MARUTI,S PRESSO,S-Presso LXI CNG,Valves Per Cylinder,4
MARUTI,S PRESSO,S-Presso LXI CNG,Transmission Type,Manual
MARUTI,S PRESSO,S-Presso LXI CNG,Gearbox,5-Speed
MARUTI,S PRESSO,S-Presso LXI CNG,Drive Type,FWD
MARUTI,S PRESSO,S-Presso LXI CNG,Fuel Type,CNG
MARUTI,S PRESSO,S-Presso LXI CNG,CNG Mileage ARAI,32.73 km/kg
MARUTI,S PRESSO,S-Presso LXI CNG,CNG Fuel Tank Capacity,55 Litres
MARUTI,S PRESSO,S-Presso LXI CNG,Emission Norm Compliance,BS VI 2.0
MARUTI,S PRESSO,S-Presso LXI CNG,Front Suspension,MacPherson Strut suspension
MARUTI,S PRESSO,S-Presso LXI CNG,Rear Suspension,Rear twist beam
MARUTI,S PRESSO,S-Presso LXI CNG,Turning Radius,4.5 m
MARUTI,S PRESSO,S-Presso LXI CNG,Front Brake Type,Ventilated Disc
MARUTI,S PRESSO,S-Presso LXI CNG,Rear Brake Type,Drum
MARUTI,S PRESSO,S-Presso LXI CNG,Length,3565 mm
MARUTI,S PRESSO,S-Presso LXI CNG,Width,1520 mm
MARUTI,S PRESSO,S-Presso LXI CNG,Height,1553 mm
MARUTI,S PRESSO,S-Presso LXI CNG,Seating Capacity,4
MARUTI,S PRESSO,S-Presso LXI CNG,Wheel Base,2380 mm
MARUTI,S PRESSO,S-Presso LXI CNG,Kerb Weight,834-854 kg
MARUTI,S PRESSO,S-Presso LXI CNG,Gross Weight,1170 kg
MARUTI,S PRESSO,S-Presso LXI CNG,No. of Doors,5
MARUTI,S PRESSO,S-Presso LXI CNG,Reported Boot Space,240 Litres
MARUTI,S PRESSO,S-Presso LXI CNG,Power Steering,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Air Conditioner,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Heater,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Accessory Power Outlet,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Parking Sensors,Rear
MARUTI,S PRESSO,S-Presso LXI CNG,KeyLess Entry,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Gear Shift Indicator,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Idle Start-Stop System,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Glove Box,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Digital Cluster,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Adjustable Headlamps,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Wheel Covers,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Integrated Antenna,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Halogen Headlamps,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Boot Opening,Manual
MARUTI,S PRESSO,S-Presso LXI CNG,Tyre Size,145/80 R13
MARUTI,S PRESSO,S-Presso LXI CNG,Tyre Type,"Tubeless,Radial"
MARUTI,S PRESSO,S-Presso LXI CNG,Wheel Size,13 Inch
MARUTI,S PRESSO,S-Presso LXI CNG,LED Taillights,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Anti-lock Braking System (ABS),YES
MARUTI,S PRESSO,S-Presso LXI CNG,Central Locking,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Child Safety Locks,YES
MARUTI,S PRESSO,S-Presso LXI CNG,No. of Airbags,2
MARUTI,S PRESSO,S-Presso LXI CNG,Driver Airbag,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Passenger Airbag,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Electronic Brakeforce Distribution (EBD),YES
MARUTI,S PRESSO,S-Presso LXI CNG,Seat Belt Warning,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Door Ajar Warning,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Engine Immobilizer,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Electronic Stability Control (ESC),YES
MARUTI,S PRESSO,S-Presso LXI CNG,Speed Alert,YES
MARUTI,S PRESSO,S-Presso LXI CNG,Speed Sensing Auto Door Lock,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
MARUTI,S PRESSO,S-Presso LXI CNG,Hill Assist,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Global NCAP Safety Rating,1 Star
MARUTI,S PRESSO,S-Presso LXI CNG,Radio,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Integrated 2DIN Audio,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Bluetooth Connectivity,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Touchscreen,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Android Auto,NO
MARUTI,S PRESSO,S-Presso LXI CNG,Apple CarPlay,NO
