company,model,variant,feature_name,feature_details
MARUTI,S PRESSO,S-Presso LXi,Engine Type,K10C
MARUTI,S PRESSO,S-Presso LXi,Displacement,998 cc
MARUTI,S PRESSO,S-Presso LXi,Max Power,65.71bhp@5500rpm
MARUTI,S PRESSO,S-Presso LXi,Max Torque,89Nm@3500rpm
MARUTI,S PRESSO,S-Presso LXi,No. of Cylinders,3
MARUTI,S PRESSO,S-Presso LXi,Valves Per Cylinder,4
MARUTI,S PRESSO,S-Presso LXi,Transmission Type,Manual
MARUTI,S PRESSO,S-Presso LXi,Gearbox,5-Speed
MARUTI,S PRESSO,S-Presso LXi,Drive Type,FWD
MARUTI,S PRESSO,S-Presso LXi,Fuel Type,Petrol
MARUTI,S PRESSO,S-Presso LXi,Petrol Mileage ARAI,24.12 kmpl
MARUTI,S PRESSO,S-Presso LXi,Petrol Fuel Tank Capacity,27 Litres
MARUTI,S PRESSO,S-Presso LXi,Emission Norm Compliance,BS VI 2.0
MARUTI,S PRESSO,S-Presso LXi,Top Speed,148 kmph
MARUTI,S PRESSO,S-Presso LXi,Front Suspension,MacPherson Strut suspension
MARUTI,S PRESSO,S-Presso LXi,Rear Suspension,Rear twist beam
MARUTI,S PRESSO,S-Presso LXi,Turning Radius,4.5 m
MARUTI,S PRESSO,S-Presso LXi,Front Brake Type,Ventilated Disc
MARUTI,S PRESSO,S-Presso LXi,Rear Brake Type,Drum
MARUTI,S PRESSO,S-Presso LXi,Length,3565 mm
MARUTI,S PRESSO,S-Presso LXi,Width,1520 mm
MARUTI,S PRESSO,S-Presso LXi,Height,1553 mm
MARUTI,S PRESSO,S-Presso LXi,Boot Space,240 Litres
MARUTI,S PRESSO,S-Presso LXi,Seating Capacity,5
MARUTI,S PRESSO,S-Presso LXi,Wheel Base,2380 mm
MARUTI,S PRESSO,S-Presso LXi,Kerb Weight,736-775 kg
MARUTI,S PRESSO,S-Presso LXi,Gross Weight,1170 kg
MARUTI,S PRESSO,S-Presso LXi,No. of Doors,5
MARUTI,S PRESSO,S-Presso LXi,Reported Ground Clearance (Unladen),180 mm
MARUTI,S PRESSO,S-Presso LXi,Power Steering,YES
MARUTI,S PRESSO,S-Presso LXi,Air Conditioner,YES
MARUTI,S PRESSO,S-Presso LXi,Heater,YES
MARUTI,S PRESSO,S-Presso LXi,Accessory Power Outlet,NO
MARUTI,S PRESSO,S-Presso LXi,Parking Sensors,Rear
MARUTI,S PRESSO,S-Presso LXi,KeyLess Entry,NO
MARUTI,S PRESSO,S-Presso LXi,Gear Shift Indicator,NO
MARUTI,S PRESSO,S-Presso LXi,Idle Start-Stop System,YES
MARUTI,S PRESSO,S-Presso LXi,Glove Box,YES
MARUTI,S PRESSO,S-Presso LXi,Digital Cluster,YES
MARUTI,S PRESSO,S-Presso LXi,Adjustable Headlamps,YES
MARUTI,S PRESSO,S-Presso LXi,Wheel Covers,NO
MARUTI,S PRESSO,S-Presso LXi,Integrated Antenna,NO
MARUTI,S PRESSO,S-Presso LXi,Halogen Headlamps,YES
MARUTI,S PRESSO,S-Presso LXi,Boot Opening,Manual
MARUTI,S PRESSO,S-Presso LXi,Tyre Size,145/80 R13
MARUTI,S PRESSO,S-Presso LXi,Tyre Type,"Tubeless, Radial"
MARUTI,S PRESSO,S-Presso LXi,Wheel Size,13 Inch
MARUTI,S PRESSO,S-Presso LXi,LED Taillights,YES
MARUTI,S PRESSO,S-Presso LXi,Anti-lock Braking System (ABS),YES
MARUTI,S PRESSO,S-Presso LXi,Central Locking,NO
MARUTI,S PRESSO,S-Presso LXi,Child Safety Locks,YES
MARUTI,S PRESSO,S-Presso LXi,No. of Airbags,2
MARUTI,S PRESSO,S-Presso LXi,Driver Airbag,YES
MARUTI,S PRESSO,S-Presso LXi,Passenger Airbag,YES
MARUTI,S PRESSO,S-Presso LXi,Electronic Brakeforce Distribution (EBD),YES
MARUTI,S PRESSO,S-Presso LXi,Seat Belt Warning,YES
MARUTI,S PRESSO,S-Presso LXi,Door Ajar Warning,NO
MARUTI,S PRESSO,S-Presso LXi,Engine Immobilizer,YES
MARUTI,S PRESSO,S-Presso LXi,Electronic Stability Control (ESC),YES
MARUTI,S PRESSO,S-Presso LXi,Speed Alert,YES
MARUTI,S PRESSO,S-Presso LXi,Speed Sensing Auto Door Lock,NO
MARUTI,S PRESSO,S-Presso LXi,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
MARUTI,S PRESSO,S-Presso LXi,Hill Assist,NO
MARUTI,S PRESSO,S-Presso LXi,Global NCAP Safety Rating,1 Star
MARUTI,S PRESSO,S-Presso LXi,Radio,NO
MARUTI,S PRESSO,S-Presso LXi,Integrated 2DIN Audio,NO
MARUTI,S PRESSO,S-Presso LXi,Bluetooth Connectivity,NO
MARUTI,S PRESSO,S-Presso LXi,Touchscreen,NO
MARUTI,S PRESSO,S-Presso LXi,Android Auto,NO
MARUTI,S PRESSO,S-Presso LXi,Apple CarPlay,NO
