company,model,variant,feature_name,feature_details
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Engine Type,K15B ISG Petrol Engine
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Displacement,1462 cc
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Max Power,103.26bhp@6000rpm
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Max Torque,138nm@4400rpm
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,No. of Cylinders,4
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Valves Per Cylinder,4
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Valve Configuration,DOHC
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Transmission Type,Automatic
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Gearbox,4 Speed
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Drive Type,FWD
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Fuel Type,Petrol
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Petrol Mileage ARAI,18.76 kmpl
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Petrol Fuel Tank Capacity,48 Litres
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Emission Norm Compliance,BS VI
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Front Suspension,MacPherson Strut with coil spring
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Rear Suspension,Torsion Beam With Coil Spring
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Steering Type,Electronic
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Steering Column,Tilt Steering
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Steering Gear Type,Rack & Pinion
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Turning Radius,5.2 metres
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Front Brake Type,Ventilated Disc
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Rear Brake Type,Drum
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Length,3995 mm
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Width,1790 mm
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Height,1640 mm
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Seating Capacity,5
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Wheel Base,2500 mm
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Kerb Weight,1135-1150 kg
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Gross Weight,1600 kg
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,No. of Doors,5
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Power Steering,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Power Boot,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Air Conditioner,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Heater,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Adjustable Steering,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Height Adjustable Driver Seat,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Ventilated Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Electric Adjustable Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Automatic Climate Control,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Air Quality Control,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Remote Climate Control (A/C),NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Remote Trunk Opener,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Remote Fuel Lid Opener,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Low Fuel Warning Light,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Accessory Power Outlet,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Trunk Light,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Vanity Mirror,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Rear Reading Lamp,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Rear Seat Headrest,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Adjustable Headrest,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Rear Seat Centre Arm Rest,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Height Adjustable Front Seat Belts,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Rear AC Vents,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Lumbar Support,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Active noise cancellation,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Cruise Control,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Parking Sensors,Rear
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Navigation System,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Find My Car location,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Real-Time Vehicle Tracking,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Foldable Rear Seat,Bench Folding
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Smart Access Card Entry,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Smart Key Band,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,KeyLess Entry,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Engine Start/Stop Button,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Cooled Glovebox,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Voice Commands,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Paddle Shifters,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,USB Charger,Front
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Central Console Armrest,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Tailgate Ajar Warning,YES
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Hands-Free Tailgate,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Gear Shift Indicator,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Rear Curtain,NO
MARUTI,VITARA BREZZA,Vitara Brezza VXI AT,Luggage Hook & Net,YES
