company,model,variant,feature_name,feature_details
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Engine Type,K15B Petrol Engine
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Displacement,1462 cc
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Max Power,103.26bhp@6000rpm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Max Torque,138nm@4400rpm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,No. of Cylinders,4
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Valves Per Cylinder,4
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Valve Configuration,DOHC
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Transmission Type,Manual
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Gearbox,5 Speed
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Drive Type,FWD
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Fuel Type,Petrol
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Petrol Mileage ARAI,17.03 kmpl
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Petrol Fuel Tank Capacity,48 Litres
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Emission Norm Compliance,BS VI
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Front Suspension,MacPherson Strut with coil spring
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Rear Suspension,Torsion Beam With Coil Spring
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Steering Type,Electronic
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Steering Column,Tilt Steering
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Steering Gear Type,Rack & Pinion
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Turning Radius,5.2 metres
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Front Brake Type,Ventilated Disc
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Rear Brake Type,Drum
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Length,3995 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Width,1790 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Height,1640 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Seating Capacity,5
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Wheel Base,2500 mm
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Kerb Weight,1110-1130 kg
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Gross Weight,1600 kg
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,No. of Doors,5
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Power Steering,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Power Boot,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Air Conditioner,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Heater,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Adjustable Steering,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Height Adjustable Driver Seat,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Ventilated Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Electric Adjustable Seats,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Automatic Climate Control,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Air Quality Control,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Remote Climate Control (A/C),NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Remote Trunk Opener,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Remote Fuel Lid Opener,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Low Fuel Warning Light,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Accessory Power Outlet,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Trunk Light,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Vanity Mirror,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Rear Reading Lamp,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Rear Seat Headrest,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Adjustable Headrest,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Rear Seat Centre Arm Rest,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Height Adjustable Front Seat Belts,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Rear AC Vents,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Lumbar Support,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Active noise cancellation,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Cruise Control,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Parking Sensors,Rear
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Navigation System,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Find My Car location,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Real-Time Vehicle Tracking,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Foldable Rear Seat,60:40 Split
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Smart Access Card Entry,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Smart Key Band,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,KeyLess Entry,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Engine Start/Stop Button,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Cooled Glovebox,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Voice Commands,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Paddle Shifters,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,USB Charger,Front
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Central Console Armrest,With Storage
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Tailgate Ajar Warning,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Hands-Free Tailgate,NO
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Gear Shift Indicator,YES
MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus,Rear Curtain,NO
