company,model,variant,feature_name,feature_details
MARUTI,XL6,XL6 Alpha Plus,Engine Type,K15C Smart Hybrid
MARUTI,XL6,XL6 Alpha Plus,Displacement,1462 cc
MARUTI,XL6,XL6 Alpha Plus,Max Power,101.64bhp@6000rpm
MARUTI,XL6,XL6 Alpha Plus,Max Torque,136.8Nm@4400rpm
MARUTI,XL6,XL6 Alpha Plus,No. of Cylinders,4
MARUTI,XL6,XL6 Alpha Plus,Valves Per Cylinder,4
MARUTI,XL6,XL6 Alpha Plus,Transmission Type,Manual
MARUTI,XL6,XL6 Alpha Plus,Gearbox,5-Speed
MARUTI,XL6,XL6 Alpha Plus,Drive Type,FWD
MARUTI,XL6,XL6 Alpha Plus,Fuel Type,Petrol
MARUTI,XL6,XL6 Alpha Plus,Petrol Mileage ARAI,20.97 kmpl
MARUTI,XL6,XL6 Alpha Plus,Petrol Fuel Tank Capacity,45 Litres
MARUTI,XL6,XL6 Alpha Plus,Emission Norm Compliance,BS VI 2.0
MARUTI,XL6,XL6 Alpha Plus,Top Speed,170 kmph
MARUTI,XL6,XL6 Alpha Plus,Front Suspension,MacPherson Strut suspension
MARUTI,XL6,XL6 Alpha Plus,Rear Suspension,Rear twist beam
MARUTI,XL6,XL6 Alpha Plus,Steering Column,Tilt and Telescopic
MARUTI,XL6,XL6 Alpha Plus,Turning Radius,5.2 m
MARUTI,XL6,XL6 Alpha Plus,Front Brake Type,Disc
MARUTI,XL6,XL6 Alpha Plus,Rear Brake Type,Drum
MARUTI,XL6,XL6 Alpha Plus,Alloy Wheel Size Front,16 Inch
MARUTI,XL6,XL6 Alpha Plus,Alloy Wheel Size Rear,16 Inch
MARUTI,XL6,XL6 Alpha Plus,Length,4445 mm
MARUTI,XL6,XL6 Alpha Plus,Width,1775 mm
MARUTI,XL6,XL6 Alpha Plus,Height,1755 mm
MARUTI,XL6,XL6 Alpha Plus,Boot Space,209 Litres
MARUTI,XL6,XL6 Alpha Plus,Seating Capacity,6
MARUTI,XL6,XL6 Alpha Plus,Wheel Base,2740 mm
MARUTI,XL6,XL6 Alpha Plus,Kerb Weight,1200 kg
MARUTI,XL6,XL6 Alpha Plus,Gross Weight,1740 kg
