company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Creative Plus PS Dark,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Creative Plus PS Dark,Displacement,1199 cc
TATA,NEXON,Nexon Creative Plus PS Dark,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Creative Plus PS Dark,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Creative Plus PS Dark,No. of Cylinders,3
TATA,NEXON,Nexon Creative Plus PS Dark,Valves Per Cylinder,4
TATA,NEXON,Nexon Creative Plus PS Dark,Turbo Charger,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Transmission Type,Manual
TATA,NEXON,Nexon Creative Plus PS Dark,Gearbox,6-Speed
TATA,NEXON,Nexon Creative Plus PS Dark,Drive Type,FWD
TATA,NEXON,Nexon Creative Plus PS Dark,Fuel Type,Petrol
TATA,NEXON,Nexon Creative Plus PS Dark,Petrol Mileage ARAI,17.44 kmpl
TATA,NEXON,Nexon Creative Plus PS Dark,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Creative Plus PS Dark,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Creative Plus PS Dark,Top Speed,180 kmph
TATA,NEXON,Nexon Creative Plus PS Dark,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Creative Plus PS Dark,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Creative Plus PS Dark,Steering Type,Electric
TATA,NEXON,Nexon Creative Plus PS Dark,Steering Column,Tilt
TATA,NEXON,Nexon Creative Plus PS Dark,Front Brake Type,Disc
TATA,NEXON,Nexon Creative Plus PS Dark,Rear Brake Type,Drum
TATA,NEXON,Nexon Creative Plus PS Dark,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Creative Plus PS Dark,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Creative Plus PS Dark,Length,3995 mm
TATA,NEXON,Nexon Creative Plus PS Dark,Width,1804 mm
TATA,NEXON,Nexon Creative Plus PS Dark,Height,1620 mm
TATA,NEXON,Nexon Creative Plus PS Dark,Boot Space,382 Litres
TATA,NEXON,Nexon Creative Plus PS Dark,Seating Capacity,5
TATA,NEXON,Nexon Creative Plus PS Dark,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Creative Plus PS Dark,Wheel Base,2498 mm
TATA,NEXON,Nexon Creative Plus PS Dark,No. of Doors,5
TATA,NEXON,Nexon Creative Plus PS Dark,Power Steering,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Air Conditioner,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Heater,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Adjustable Steering,Height only
TATA,NEXON,Nexon Creative Plus PS Dark,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Ventilated Seats,NO
TATA,NEXON,Nexon Creative Plus PS Dark,Automatic Climate Control,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Air Quality Control,NO
TATA,NEXON,Nexon Creative Plus PS Dark,Accessory Power Outlet,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Trunk Light,NO
TATA,NEXON,Nexon Creative Plus PS Dark,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Creative Plus PS Dark,Adjustable Headrest,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Rear Seat Centre Arm Rest,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Creative Plus PS Dark,Rear AC Vents,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Cruise Control,NO
TATA,NEXON,Nexon Creative Plus PS Dark,Parking Sensors,Front & Rear
TATA,NEXON,Nexon Creative Plus PS Dark,Foldable Rear Seat,60:40 Split
TATA,NEXON,Nexon Creative Plus PS Dark,KeyLess Entry,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Engine Start/Stop Button,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Cooled Glovebox,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Voice Commands,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Paddle Shifters,NO
TATA,NEXON,Nexon Creative Plus PS Dark,USB Charger,Front
TATA,NEXON,Nexon Creative Plus PS Dark,Central Console Armrest,YES
TATA,NEXON,Nexon Creative Plus PS Dark,Drive Modes,3
TATA,NEXON,Nexon Creative Plus PS Dark,Rear Window Sunblind,NO
TATA,NEXON,Nexon Creative Plus PS Dark,Automatic Headlamps,YES
