company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Creative Plus S AMT,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Creative Plus S AMT,Displacement,1199 cc
TATA,NEXON,Nexon Creative Plus S AMT,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Creative Plus S AMT,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Creative Plus S AMT,No. of Cylinders,3
TATA,NEXON,Nexon Creative Plus S AMT,Valves Per Cylinder,4
TATA,NEXON,Nexon Creative Plus S AMT,Turbo Charger,YES
TATA,NEXON,Nexon Creative Plus S AMT,Transmission Type,Automatic
TATA,NEXON,Nexon Creative Plus S AMT,Gearbox,6-Speed AMT
TATA,NEXON,Nexon Creative Plus S AMT,Drive Type,FWD
TATA,NEXON,Nexon Creative Plus S AMT,Fuel Type,Petrol
TATA,NEXON,Nexon Creative Plus S AMT,Petrol Mileage ARAI,17.18 kmpl
TATA,NEXON,Nexon Creative Plus S AMT,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Creative Plus S AMT,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Creative Plus S AMT,Top Speed,180 kmph
TATA,NEXON,Nexon Creative Plus S AMT,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Creative Plus S AMT,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Creative Plus S AMT,Steering Type,Electric
TATA,NEXON,Nexon Creative Plus S AMT,Steering Column,Tilt
TATA,NEXON,Nexon Creative Plus S AMT,Front Brake Type,Disc
TATA,NEXON,Nexon Creative Plus S AMT,Rear Brake Type,Drum
TATA,NEXON,Nexon Creative Plus S AMT,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Creative Plus S AMT,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Creative Plus S AMT,Length,3995 mm
TATA,NEXON,Nexon Creative Plus S AMT,Width,1804 mm
TATA,NEXON,Nexon Creative Plus S AMT,Height,1620 mm
TATA,NEXON,Nexon Creative Plus S AMT,Boot Space,382 Litres
TATA,NEXON,Nexon Creative Plus S AMT,Seating Capacity,5
TATA,NEXON,Nexon Creative Plus S AMT,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Creative Plus S AMT,Wheel Base,2498 mm
TATA,NEXON,Nexon Creative Plus S AMT,No. of Doors,5
TATA,NEXON,Nexon Creative Plus S AMT,Power Steering,YES
TATA,NEXON,Nexon Creative Plus S AMT,Air Conditioner,YES
TATA,NEXON,Nexon Creative Plus S AMT,Heater,YES
TATA,NEXON,Nexon Creative Plus S AMT,Adjustable Steering,Height only
TATA,NEXON,Nexon Creative Plus S AMT,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Creative Plus S AMT,Ventilated Seats,NO
TATA,NEXON,Nexon Creative Plus S AMT,Automatic Climate Control,YES
TATA,NEXON,Nexon Creative Plus S AMT,Air Quality Control,NO
TATA,NEXON,Nexon Creative Plus S AMT,Accessory Power Outlet,YES
TATA,NEXON,Nexon Creative Plus S AMT,Trunk Light,NO
TATA,NEXON,Nexon Creative Plus S AMT,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Creative Plus S AMT,Adjustable Headrest,YES
TATA,NEXON,Nexon Creative Plus S AMT,Rear Seat Centre Arm Rest,NO
TATA,NEXON,Nexon Creative Plus S AMT,Height Adjustable Front Seat Belts,NO
TATA,NEXON,Nexon Creative Plus S AMT,Rear AC Vents,YES
TATA,NEXON,Nexon Creative Plus S AMT,Cruise Control,YES
TATA,NEXON,Nexon Creative Plus S AMT,Parking Sensors,Rear
TATA,NEXON,Nexon Creative Plus S AMT,Foldable Rear Seat,Bench Folding
TATA,NEXON,Nexon Creative Plus S AMT,KeyLess Entry,YES
TATA,NEXON,Nexon Creative Plus S AMT,Engine Start/Stop Button,YES
TATA,NEXON,Nexon Creative Plus S AMT,Cooled Glovebox,YES
TATA,NEXON,Nexon Creative Plus S AMT,Voice Commands,YES
TATA,NEXON,Nexon Creative Plus S AMT,Paddle Shifters,YES
TATA,NEXON,Nexon Creative Plus S AMT,USB Charger,Front
TATA,NEXON,Nexon Creative Plus S AMT,Central Console Armrest,YES
TATA,NEXON,Nexon Creative Plus S AMT,Drive Modes,3
TATA,NEXON,Nexon Creative Plus S AMT,Rear Window Sunblind,NO
TATA,NEXON,Nexon Creative Plus S AMT,Automatic Headlamps,YES
TATA,NEXON,Nexon Creative Plus S AMT,Follow Me Home Headlamps,YES
TATA,NEXON,Nexon Creative Plus S AMT,Voice assisted sunroof,YES
TATA,NEXON,Nexon Creative Plus S AMT,Drive Mode Types,Eco|City|Sports
TATA,NEXON,Nexon Creative Plus S AMT,Power Windows,Front & Rear
TATA,NEXON,Nexon Creative Plus S AMT,Tachometer,YES
TATA,NEXON,Nexon Creative Plus S AMT,Leather Wrapped Steering Wheel,NO
TATA,NEXON,Nexon Creative Plus S AMT,Glove Box,YES
TATA,NEXON,Nexon Creative Plus S AMT,Digital Cluster,YES
TATA,NEXON,Nexon Creative Plus S AMT,Digital Cluster Size,4
TATA,NEXON,Nexon Creative Plus S AMT,Upholstery,Fabric
TATA,NEXON,Nexon Creative Plus S AMT,Adjustable Headlamps,YES
TATA,NEXON,Nexon Creative Plus S AMT,Rain Sensing Wiper,YES
TATA,NEXON,Nexon Creative Plus S AMT,Rear Window Wiper,YES
TATA,NEXON,Nexon Creative Plus S AMT,Rear Window Washer,YES
TATA,NEXON,Nexon Creative Plus S AMT,Rear Window Defogger,NO
TATA,NEXON,Nexon Creative Plus S AMT,Wheel Covers,NO
TATA,NEXON,Nexon Creative Plus S AMT,Alloy Wheels,YES
TATA,NEXON,Nexon Creative Plus S AMT,Rear Spoiler,YES
TATA,NEXON,Nexon Creative Plus S AMT,Outside Rear View Mirror Turn Indicators,YES
TATA,NEXON,Nexon Creative Plus S AMT,Integrated Antenna,YES
TATA,NEXON,Nexon Creative Plus S AMT,Cornering Foglamps,NO
TATA,NEXON,Nexon Creative Plus S AMT,Roof Rails,NO
TATA,NEXON,Nexon Creative Plus S AMT,Automatic Headlamps,YES
TATA,NEXON,Nexon Creative Plus S AMT,Fog Lights,NO
TATA,NEXON,Nexon Creative Plus S AMT,Antenna,Shark Fin
TATA,NEXON,Nexon Creative Plus S AMT,Sunroof,Single Pane
TATA,NEXON,Nexon Creative Plus S AMT,Outside Rear View Mirror (ORVM),Powered & Folding
TATA,NEXON,Nexon Creative Plus S AMT,Tyre Size,215/60 R16
TATA,NEXON,Nexon Creative Plus S AMT,Tyre Type,Radial Tubeless
TATA,NEXON,Nexon Creative Plus S AMT,LED DRLs,YES
TATA,NEXON,Nexon Creative Plus S AMT,LED Headlamps,YES
TATA,NEXON,Nexon Creative Plus S AMT,LED Taillights,YES
TATA,NEXON,Nexon Creative Plus S AMT,LED Fog Lamps,NO
TATA,NEXON,Nexon Creative Plus S AMT,Anti-lock Braking System (ABS),YES
TATA,NEXON,Nexon Creative Plus S AMT,Central Locking,YES
TATA,NEXON,Nexon Creative Plus S AMT,Child Safety Locks,YES
TATA,NEXON,Nexon Creative Plus S AMT,No. of Airbags,6
TATA,NEXON,Nexon Creative Plus S AMT,Driver Airbag,YES
TATA,NEXON,Nexon Creative Plus S AMT,Passenger Airbag,YES
TATA,NEXON,Nexon Creative Plus S AMT,Side Airbag,YES
TATA,NEXON,Nexon Creative Plus S AMT,Side Airbag-Rear,NO
TATA,NEXON,Nexon Creative Plus S AMT,Day & Night Rear View Mirror,YES
TATA,NEXON,Nexon Creative Plus S AMT,Curtain Airbag,YES
TATA,NEXON,Nexon Creative Plus S AMT,Electronic Brakeforce Distribution (EBD),YES
TATA,NEXON,Nexon Creative Plus S AMT,Seat Belt Warning,YES
TATA,NEXON,Nexon Creative Plus S AMT,Door Ajar Warning,YES
TATA,NEXON,Nexon Creative Plus S AMT,Tyre Pressure Monitoring System (TPMS),NO
TATA,NEXON,Nexon Creative Plus S AMT,Engine Immobilizer,YES
TATA,NEXON,Nexon Creative Plus S AMT,Electronic Stability Control (ESC),YES
TATA,NEXON,Nexon Creative Plus S AMT,Rear Camera,With Guidedlines
TATA,NEXON,Nexon Creative Plus S AMT,Speed Alert,YES
TATA,NEXON,Nexon Creative Plus S AMT,Speed Sensing Auto Door Lock,YES
TATA,NEXON,Nexon Creative Plus S AMT,ISOFIX Child Seat Mounts,YES
TATA,NEXON,Nexon Creative Plus S AMT,Pretensioners & Force Limiter Seatbelts,Driver and Passenger
TATA,NEXON,Nexon Creative Plus S AMT,Impact Sensing Auto Door Unlock,YES
TATA,NEXON,Nexon Creative Plus S AMT,360 View Camera,YES
TATA,NEXON,Nexon Creative Plus S AMT,Global NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Creative Plus S AMT,Global NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Creative Plus S AMT,Bharat NCAP Safety Rating,5 Star
TATA,NEXON,Nexon Creative Plus S AMT,Bharat NCAP Child Safety Rating,5 Star
TATA,NEXON,Nexon Creative Plus S AMT,Radio,YES
TATA,NEXON,Nexon Creative Plus S AMT,Wireless Phone Charging,NO
TATA,NEXON,Nexon Creative Plus S AMT,Bluetooth Connectivity,YES
TATA,NEXON,Nexon Creative Plus S AMT,Touchscreen,YES
TATA,NEXON,Nexon Creative Plus S AMT,Touchscreen Size,10.24 inch
TATA,NEXON,Nexon Creative Plus S AMT,Connectivity,"Android Auto, Apple CarPlay"
TATA,NEXON,Nexon Creative Plus S AMT,Android Auto,YES
TATA,NEXON,Nexon Creative Plus S AMT,Apple CarPlay,YES
TATA,NEXON,Nexon Creative Plus S AMT,No. of Speakers,4
TATA,NEXON,Nexon Creative Plus S AMT,Usb Ports,YES
TATA,NEXON,Nexon Creative Plus S AMT,Additional Features,Wireless Android Auto & Apple CarPlay
TATA,NEXON,Nexon Creative Plus S AMT,Speakers,Front & Rear
