company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Displacement,1199 cc
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,No. of Cylinders,3
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Valves Per Cylinder,4
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Turbo Charger,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Transmission Type,Automatic
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Gearbox,7-Speed DCA
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Drive Type,FWD
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Fuel Type,Petrol
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Petrol Mileage ARAI,17.01 kmpl
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Top Speed,180 kmph
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Steering Type,Electric
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Steering Column,Tilt
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Front Brake Type,Disc
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Rear Brake Type,Drum
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Length,3995 mm
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Width,1804 mm
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Height,1620 mm
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Boot Space,382 Litres
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Seating Capacity,5
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Wheel Base,2498 mm
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,No. of Doors,5
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Power Steering,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Air Conditioner,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Heater,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Adjustable Steering,Height only
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Ventilated Seats,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Automatic Climate Control,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Air Quality Control,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Accessory Power Outlet,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Trunk Light,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Adjustable Headrest,YES
TATA,NEXON,Nexon Fearless Plus A PS Red Dark DCA,Rear Seat Centre Arm Rest,YES
