company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Engine Type,1.2L Turbocharged Revotron
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Displacement,1199 cc
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Max Power,118.27bhp@5500rpm
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Max Torque,170Nm@1750-4000rpm
TATA,NEXON,Nexon Fearless Plus PS DT DCA,No. of Cylinders,3
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Valves Per Cylinder,4
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Turbo Charger,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Transmission Type,Automatic
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Gearbox,7-Speed DCA
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Drive Type,FWD
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Fuel Type,Petrol
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Petrol Mileage ARAI,17.01 kmpl
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Petrol Fuel Tank Capacity,44 Litres
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Top Speed,180 kmph
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Steering Type,Electric
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Steering Column,Tilt
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Front Brake Type,Disc
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Rear Brake Type,Drum
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Length,3995 mm
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Width,1804 mm
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Height,1620 mm
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Boot Space,382 Litres
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Seating Capacity,5
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Wheel Base,2498 mm
TATA,NEXON,Nexon Fearless Plus PS DT DCA,No. of Doors,5
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Power Steering,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Air Conditioner,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Heater,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Adjustable Steering,Height only
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Ventilated Seats,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Automatic Climate Control,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Air Quality Control,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Accessory Power Outlet,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Trunk Light,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Rear Seat Headrest,Adjustable
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Adjustable Headrest,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Rear Seat Centre Arm Rest,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Height Adjustable Front Seat Belts,YES
TATA,NEXON,Nexon Fearless Plus PS DT DCA,Rear AC Vents,YES
