company,model,variant,feature_name,feature_details
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Engine Type,1.2L Turbocharged Revotorq
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Displacement,1199 cc
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Max Power,99bhp@5000rpm
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Max Torque,170Nm@2000rpm
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,No. of Cylinders,3
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Valves Per Cylinder,4
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Turbo Charger,YES
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Transmission Type,Manual
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Gearbox,6-Speed
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Drive Type,FWD
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Fuel Type,CNG
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,CNG Mileage ARAI,17.44 km/kg
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,CNG Fuel Tank Capacity,60 Litres
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Emission Norm Compliance,BS VI 2.0
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Top Speed,180 kmph
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Front Suspension,MacPherson Strut suspension
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Rear Suspension,Rear twist beam
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Steering Type,Electric
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Steering Column,Tilt
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Front Brake Type,Disc
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Rear Brake Type,Drum
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Alloy Wheel Size Front,16 Inch
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Alloy Wheel Size Rear,16 Inch
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Length,3995 mm
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Width,1804 mm
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Height,1620 mm
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Boot Space,321 Litres
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Seating Capacity,5
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Ground Clearance Unladen,208 mm
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Wheel Base,2498 mm
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,No. of Doors,5
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Power Steering,YES
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Air Conditioner,YES
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Heater,YES
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Adjustable Steering,Height only
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Height Adjustable Driver Seat,YES
TATA,NEXON,Nexon Fearless Plus PS Dark CNG,Ventilated Seats,YES
